"","X.x","AGENCY_AREA","REPORTING_AREA","CATCHMENT","WATERBODY_TYPE_DESCRIPTION","WATER_BODY.x","SITE_ID","SITE_VERSION","NGR_PREFIX","EASTING","NORTHING","NGR_10_FIG.x","WFD_WATERBODY_ID","ALTITUDE","SLOPE","DIST_FROM_SOURCE","DISCHARGE","WIDTH","DEPTH","BOULDERS_COBBLES","PEBBLES_GRAVEL","SAND","SILT_CLAY","ALKALINITY","CONDUCTIVITY","TOTAL_HARDNESS","CALCIUM","BASE_DATA_DATE","MIN_SAMPLE_DATE","MAX_SAMPLE_DATE","COUNT_OF_SAMPLES","ECN_SITE_INV","SAMPLES_PER_SITE","X.y","WATER_BODY.y","NGR_10_FIG.y","SAMPLE_ID","SAMPLE_VERSION","REPLICATE_CODE","SAMPLE_DATE","SAMPLE_TYPE_DESCRIPTION","SAMPLE_METHOD_DESCRIPTION","SAMPLE_REASON","ANALYSIS_ID","DATE_OF_ANALYSIS","ANALYSIS_TYPE_DESCRIPTION","ANALYSIS_METHOD_DESCRIPTION","BMWP_N_TAXA","BMWP_TOTAL","BMWP_ASPT","WHPT_N_TAXA","WHPT_TOTAL","WHPT_ASPT","CCI_N_TAXA","CCI_CS_TOTAL","CCI_ASPT","CSmax_CoS","BMWP_CoS","CCI_CoS","CCI","DEHLI_N_TAXA","DIS_TOTAL","DEHLI","EPSI_ML_S_GRP","EPSI_ML_ALL_GRP","EPSI_MIXED_LEVEL_SCORE","EPSI_S_GRP","EPSI_ALL_GRP","EPSI_FAMILY_SCORE","LIFE_N_TAXA","LIFE_SCORES_TOTAL","LIFE_FAMILY_INDEX","LIFE_SPECIES_N_TAXA","LIFE_SPECIES_SCORES_TOTAL","LIFE_SPECIES_INDEX","PSI_ML_AB","PSI_ML_ABCD","PSI_MIXED_LEVEL_SCORE","PSI_AB","PSI_ABCD","PSI_FAMILY_SCORE","WHPT_NW_N_TAXA","WHPT_NW_TOTAL","WHPT_NW_ASPT","IS_THIRD_PARTY_DATA","SAMPLE_DATE_YEAR","SAMPLE_DATE_MONTH","identifier.x","sample.samplingPoint.notation","Orthophosphate, reactive as P_mg/l","Temperature of Water_cel","Oxygen, Dissolved as O2_mg/l","Ammoniacal Nitrogen as N_mg/l","pH_phunits","Nitrogen, Total Oxidised as N_mg/l","BOD : 5 Day ATU_mg/l","Ammonia un-ionised as N_mg/l","Oxygen, Dissolved, % Saturation_%","Solids, Suspended at 105 C_mg/l","Nitrate as N_mg/l","Nitrite as N_mg/l","Phosphorus, Total as P_mg/l","identifier.y","annelid","crustacean","flatworm (Turbellaria)","insect - beetle (Coleoptera)","insect - caddis fly (Trichoptera)","insect - dragonfly (Odonata)","insect - mayfly (Ephemeroptera)","insect - stonefly (Plecoptera)","insect - true fly (Diptera)","mollusc","macro_richness","total_abundance","ept_richness","ept_abundance"
"1",53,"THAMES - WEST","THAMES","AMPNEY BROOK","RIVER: Natural/semi-natural flowing fresh watercourse","AMPNEY BROOK",33218,1,"SP",7194,1757,"SP0719401757","GB106039030300",97,2,1.41,1,5,15,5,75,20,0,202,NA,NA,NA,"1995-01-01","1995-05-25","2006-11-23",12,FALSE,1,545,"AMPNEY BROOK","SP0719401757",353897,1,"",2002-10-08,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","Local monitoring",347493,"2003-02-18","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",28,148,5.29,34,185.1,5.44,28,45,1.61,5,5,5,8.04,26,131,5.04,16.38,23.13,70.82,10.31,15.22,67.74,29,206,7.1,32,245,7.66,38,75,50.67,35,69,50.72,34,182.5,5.37,"No",2002,10,"D02928A7-3A6A-4FE1-9FDB-505CC2D40C6A","TH-PUTR0175",0.0275,14.1,10.9,0.03,8.1,8.895,1.1,0.00065,106.3,3,NA,0.01995,NA,"D02928A7-3A6A-4FE1-9FDB-505CC2D40C6A",0,0,0,0,0,0,0,0,0,0,68,3701,21,1110
"2",85,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","VER",33449,1,"TL",12748,8590,"TL1274808590","GB106039029920",82,1.3,15.2,1,3,29,2,77,9,13,243.5,NA,NA,NA,"1995-01-01","1997-01-13","2022-09-12",51,FALSE,1,814,"VER","TL1274808590",360736,1,"",2002-10-01,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",354753,"2003-02-10","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",20,88,4.4,23,103.3,4.49,24,30,1.25,3,3,3,3.75,16,75,4.69,12.64,21.82,57.93,7.53,11.44,65.82,19,128,6.74,23,152,6.61,23,64,35.94,24,51,47.06,23,107.6,4.68,"No",2002,10,"274E5E06-0E2B-4FAE-9DB4-32C45668B7D6","TH-PCNR0093",0.06075,14.37,8.89,0.03625,7.5975,5.5025,1.1,0.00035,86.775,3.275,NA,0.033875,NA,"274E5E06-0E2B-4FAE-9DB4-32C45668B7D6",225,130,10,20,51,0,50,0,2115,126,28,2737,6,101
"3",92,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","MISBOURNE",33498,1,"SU",92029,99112,"SU9202999112","GB106039029830",107,3.6,4.94,1,9,50,0,60,5,35,209,NA,NA,NA,"2002-01-01","1996-06-17","2022-04-20",42,FALSE,1,941,"MISBOURNE","SU9202999112",353147,1,"",2002-10-15,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",346414,"2003-01-10","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",18,82,4.56,19,71.3,3.75,NA,NA,NA,NA,NA,NA,NA,12,41,3.42,0.63,1,63,1.25,6.88,18.17,16,90,5.63,NA,NA,NA,NA,3,0,4,40,10,19,80,4.21,"No",2002,10,"F38A2877-4867-4DB9-9B20-AF639CCAAE6E","TH-PCNR0071",0.0246666666666667,15.4333333333333,10.34,0.0456666666666667,7.55,3.52,1.13333333333333,0.000433333333333333,104.033333333333,3,NA,NA,NA,"F38A2877-4867-4DB9-9B20-AF639CCAAE6E",85,300,0,2,4,0,2,0,37,220,19,654,4,6
"4",144,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","VER",33750,1,"TL",10949,11734,"TL1094911734","GB106039029920",92,1.6,10.57,1,4,20,1,22,0,77,256.8,NA,NA,NA,"2003-01-01","1993-04-05","2022-09-17",56,FALSE,1,1486,"VER","TL1094911734",349102,1,"",2002-10-31,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",354930,"2003-02-11","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",13,52,4,14,60.8,4.34,11,17,1.55,3,3,3,4.64,10,51,5.1,5.5,10.4,52.88,3.01,5.17,58.22,11,76,6.91,12,81,6.75,11,30,36.67,14,29,48.28,14,64.2,4.59,"No",2002,10,"E428390B-78DD-42D1-A43A-E3AB1C798E48","TH-PCNR0090",0.11525,13.83,8.835,0.033,7.3925,6.475,1.05,0.0002,85.5,8.825,NA,0.026625,NA,"E428390B-78DD-42D1-A43A-E3AB1C798E48",202,710,0,0,9,0,7,0,121,52,17,1111,4,16
"5",145,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","VER",33751,1,"TL",11323,11248,"TL1132311248","GB106039029920",90,2.2,11.8,1,10,50,2,68,20,10,245,NA,NA,NA,"2002-01-01","1982-10-21","2022-09-12",53,FALSE,1,1529,"VER","TL1132311248",349103,1,"",2002-10-31,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",354924,"2002-12-01","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",10,37,3.7,10,34.5,3.45,6,10,1.67,3,1,3,5,6,21,3.5,3,5.45,55.05,1.5,2.98,50.34,8,51,6.38,7,44,6.29,5,23,21.74,6,23,26.09,10,36.2,3.62,"No",2002,10,"E428390B-78DD-42D1-A43A-E3AB1C798E48","TH-PCNR0273",0.08725,13.4775,8.0325,0.04675,7.3575,5.8875,1.125,0.000275,77.05,4.775,NA,0.02165,NA,"E428390B-78DD-42D1-A43A-E3AB1C798E48",100,30,0,2,2,0,60,0,90,61,12,365,2,62
"6",146,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","RED",33752,1,"TL",10395,11720,"TL1039511720","GB106039029920",93,2.5,0.3,1,3.2,15,2,54,10,34,230,NA,NA,NA,"2022-07-19","1993-04-05","2022-11-07",49,FALSE,1,1567,"RED","TL1039511720",349101,1,"",2002-10-31,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",351539,"2002-11-30","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",8,24,3,9,24.5,2.72,NA,NA,NA,NA,NA,NA,NA,6,22,3.67,NA,0.49,0,NA,2.45,0,6,36,6,NA,NA,NA,NA,3,0,2,18,11.11,9,27.3,3.03,"No",2002,10,"E428390B-78DD-42D1-A43A-E3AB1C798E48","TH-PCNR0216",0.08125,13.8575,8.745,0.0685,7.26,5.595,2.325,0.0003,84.65,3.875,NA,0.026425,NA,"E428390B-78DD-42D1-A43A-E3AB1C798E48",92,30,0,0,0,0,0,0,101,128,9,351,0,0
"7",158,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","NEW YEARS GREEN BOURNE",33814,1,"TQ",5350,86300,"TQ0535086300","GB106039023090",38,1,6.03,1,3.8,10.67,3,73,14,10,178,NA,NA,NA,"1995-01-01","1992-08-18","2002-09-24",10,FALSE,1,1639,"NEW YEARS GREEN BOURNE","TQ0535086300",346881,1,"",2002-09-24,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","Local Investigative monitoring",340972,"2002-10-08","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",15,59,3.93,18,65.8,3.66,14,19,1.36,3,3,3,4.07,13,50,3.85,2,9.84,20.33,NA,5.12,0,16,88,5.5,20,118,5.9,3,44,6.82,4,37,10.81,18,68,3.78,"No",2002,9,"216A82C7-C7AD-49B9-B20E-1A9D0393A91C","TH-PCNR0073",0.05675,19.25,8.5325,0.125,7.875,0.285,1.7,0.003875,93.25,NA,NA,NA,NA,"216A82C7-C7AD-49B9-B20E-1A9D0393A91C",0,0,0,1,0,0,0,0,90,0,38,812,4,5
"8",218,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","INGREBOURNE","RIVER: Natural/semi-natural flowing fresh watercourse","INGREBOURNE",33985,1,"TQ",52370,82620,"TQ5237082620","GB106037028130",6,1.1,18.97,2,6.3,80,0,2,7,92,159,NA,NA,NA,"1995-01-01","1990-05-15","2004-10-27",11,FALSE,1,2151,"INGREBOURNE","TQ5237082620",350480,1,"",2002-11-05,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","Local Investigative monitoring",343429,"2002-11-06","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",21,87,4.14,21,77.9,3.71,NA,NA,NA,NA,NA,NA,NA,14,53,3.79,0.63,0.63,100,2,7.62,26.25,19,115,6.05,NA,NA,NA,NA,4,0,9,43,20.93,21,84.4,4.02,"No",2002,11,"4597FDFB-A8C4-47FA-A455-16ADD6D8C87C","TH-PRGR0018",1.70333333333333,18.3333333333333,4.41666666666667,0.372666666666667,7.61,6.73,3.43333333333333,0.0053,46.6666666666667,10.7333333333333,6.58333333333333,0.155666666666667,NA,"4597FDFB-A8C4-47FA-A455-16ADD6D8C87C",515,130,1,4,46,8,0,0,201,121,22,1039,2,46
"9",236,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","BEANE","RIVER: Natural/semi-natural flowing fresh watercourse","BEANE",34017,1,"TL",29771,19790,"TL2977119790","GB106038033310",58,2,18.41,2,4.2,13.67,10,72,10,8,203,NA,NA,NA,"1995-01-01","1990-04-09","2022-04-13",85,FALSE,2,2420,"BEANE","TL2977119790",346200,1,"",2002-09-11,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",355136,"2002-09-11","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",25,116,4.64,25,96.4,3.86,23,31,1.35,3,5,5,6.74,17,69,4.06,6.13,14.08,43.54,4.52,9.88,45.75,23,143,6.22,26,161,6.19,12,57,21.05,14,48,29.17,25,103.7,4.15,"No",2002,9,"9A0DCC33-D666-4C01-A7AB-02B7B6476AC2","TH-PLER0012",0.0816666666666667,17.8333333333333,9.15,0.0546666666666667,7.86666666666667,3.95,1.3,0.00113333333333333,96.6666666666667,5.36666666666667,NA,0.0446333333333333,NA,"9A0DCC33-D666-4C01-A7AB-02B7B6476AC2",511,490,5,3,52,2,20,0,208,240,31,1535,4,72
"10",236,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","BEANE","RIVER: Natural/semi-natural flowing fresh watercourse","BEANE",34017,1,"TL",29771,19790,"TL2977119790","GB106038033310",58,2,18.41,2,4.2,13.67,10,72,10,8,203,NA,NA,NA,"1995-01-01","1990-04-09","2022-04-13",85,FALSE,2,2429,"BEANE","TL2977119790",545912,1,"",2002-11-22,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",544239,"2007-02-01","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",22,105,4.77,23,99.2,4.31,20,23,1.15,1,5,5,5.75,17,80,4.71,7.63,13.62,56.02,4.78,8.19,58.36,21,138,6.57,21,134,6.38,15,49,30.61,18,46,39.13,23,104.5,4.54,"No",2002,11,"9A0DCC33-D666-4C01-A7AB-02B7B6476AC2","TH-PLER0012",0.0816666666666667,17.8333333333333,9.15,0.0546666666666667,7.86666666666667,3.95,1.3,0.00113333333333333,96.6666666666667,5.36666666666667,NA,0.0446333333333333,NA,"9A0DCC33-D666-4C01-A7AB-02B7B6476AC2",61,273,17,5,13,1,30,0,21,302,29,726,7,43
