"","X.x","AGENCY_AREA","REPORTING_AREA","CATCHMENT","WATERBODY_TYPE_DESCRIPTION","WATER_BODY.x","SITE_ID","SITE_VERSION","NGR_PREFIX","EASTING","NORTHING","NGR_10_FIG.x","WFD_WATERBODY_ID","ALTITUDE","SLOPE","DIST_FROM_SOURCE","DISCHARGE","WIDTH","DEPTH","BOULDERS_COBBLES","PEBBLES_GRAVEL","SAND","SILT_CLAY","ALKALINITY","CONDUCTIVITY","TOTAL_HARDNESS","CALCIUM","BASE_DATA_DATE","MIN_SAMPLE_DATE","MAX_SAMPLE_DATE","COUNT_OF_SAMPLES","ECN_SITE_INV","SAMPLES_PER_SITE","X.y","WATER_BODY.y","NGR_10_FIG.y","SAMPLE_ID","SAMPLE_VERSION","REPLICATE_CODE","SAMPLE_DATE","SAMPLE_TYPE_DESCRIPTION","SAMPLE_METHOD_DESCRIPTION","SAMPLE_REASON","ANALYSIS_ID","DATE_OF_ANALYSIS","ANALYSIS_TYPE_DESCRIPTION","ANALYSIS_METHOD_DESCRIPTION","BMWP_N_TAXA","BMWP_TOTAL","BMWP_ASPT","WHPT_N_TAXA","WHPT_TOTAL","WHPT_ASPT","CCI_N_TAXA","CCI_CS_TOTAL","CCI_ASPT","CSmax_CoS","BMWP_CoS","CCI_CoS","CCI","DEHLI_N_TAXA","DIS_TOTAL","DEHLI","EPSI_ML_S_GRP","EPSI_ML_ALL_GRP","EPSI_MIXED_LEVEL_SCORE","EPSI_S_GRP","EPSI_ALL_GRP","EPSI_FAMILY_SCORE","LIFE_N_TAXA","LIFE_SCORES_TOTAL","LIFE_FAMILY_INDEX","LIFE_SPECIES_N_TAXA","LIFE_SPECIES_SCORES_TOTAL","LIFE_SPECIES_INDEX","PSI_ML_AB","PSI_ML_ABCD","PSI_MIXED_LEVEL_SCORE","PSI_AB","PSI_ABCD","PSI_FAMILY_SCORE","WHPT_NW_N_TAXA","WHPT_NW_TOTAL","WHPT_NW_ASPT","IS_THIRD_PARTY_DATA","SAMPLE_DATE_YEAR","SAMPLE_DATE_MONTH","identifier.x","sample.samplingPoint.notation","Ammoniacal Nitrogen as N_mg/l","Temperature of Water_cel","Oxygen, Dissolved, % Saturation_%","Orthophosphate, reactive as P_mg/l","Nitrate as N_mg/l","Ammonia un-ionised as N_mg/l","pH_phunits","Oxygen, Dissolved as O2_mg/l","BOD : 5 Day ATU_mg/l","Nitrite as N_mg/l","Nitrogen, Total Oxidised as N_mg/l","Solids, Suspended at 105 C_mg/l","Phosphorus, Total as P_mg/l","identifier.y","annelid","crustacean","flatworm (Turbellaria)","insect - beetle (Coleoptera)","insect - caddis fly (Trichoptera)","insect - dragonfly (Odonata)","insect - mayfly (Ephemeroptera)","insect - stonefly (Plecoptera)","insect - true fly (Diptera)","mollusc","macro_richness","total_abundance","ept_richness","ept_abundance"
"1",58,"THAMES - WEST","THAMES","THAMES SOURCE TO TEDDINGTON (W SECTION)","RIVER: Natural/semi-natural flowing fresh watercourse","BROADWELL BROOK",33230,1,"SP",28206,1044,"SP2820601044","GB106039030232",65,0.4,9.52,1,3.2,31.33,1,14,60,26,224,NA,NA,NA,"1995-01-01","1989-11-23","2015-09-17",19,FALSE,1,591,"BROADWELL BROOK","SP2820601044",364865,1,"",2003-09-22,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",367656,"2003-12-17","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",17,81,4.76,21,98.8,4.7,NA,NA,NA,NA,NA,NA,NA,16,74,4.63,0.63,1.49,42.28,2,7.6,26.32,15,94,6.27,NA,NA,NA,NA,3,0,5,33,15.15,21,99.3,4.73,"No",2003,9,"BA44BD47-B9DA-4780-A3C1-65F45D1260C9","TH-PUTR0141",0.07,14.88,75.6,0.05,6.6,0.00185,8.005,7.64,1.65,0.04555,6.645,NA,NA,"BA44BD47-B9DA-4780-A3C1-65F45D1260C9",25,1,0,28,2,0,1,0,26,52,24,148,3,3
"2",92,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","MISBOURNE",33498,1,"SU",92029,99112,"SU9202999112","GB106039029830",107,3.6,4.94,1,9,50,0,60,5,35,209,NA,NA,NA,"2002-01-01","1996-06-17","2022-04-20",42,FALSE,1,967,"MISBOURNE","SU9202999112",766125,1,"",2003-10-28,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",753425,"2003-12-02","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",18,88,4.89,18,82,4.56,17,25,1.47,5,3,5,7.35,14,65,4.64,6.38,11.16,57.17,3.26,6.9,47.25,16,103,6.44,20,129,6.45,14,49,28.57,14,41,34.15,18,87.5,4.86,"No",2003,10,"F38A2877-4867-4DB9-9B20-AF639CCAAE6E","TH-PCNR0071",0.0405,16.61,114.075,0.0225,3.475,0.0005325,7.645,11.05,1.2,0.021575,3.495,4.5,NA,"F38A2877-4867-4DB9-9B20-AF639CCAAE6E",43,1031,0,18,16,0,1017,0,3,758,24,2886,9,1033
"3",144,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","VER",33750,1,"TL",10949,11734,"TL1094911734","GB106039029920",92,1.6,10.57,1,4,20,1,22,0,77,256.8,NA,NA,NA,"2003-01-01","1993-04-05","2022-09-17",56,FALSE,1,1487,"VER","TL1094911734",366616,1,"",2003-10-28,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",361852,"2003-12-04","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",21,99,4.71,21,97.3,4.63,5,5,1,1,3,3,3,14,54,3.86,3.13,4.1,76.34,3.78,6.47,58.42,19,128,6.74,5,37,7.4,6,13,46.15,15,35,42.86,21,98.9,4.71,"No",2003,10,"E428390B-78DD-42D1-A43A-E3AB1C798E48","TH-PCNR0090",0.03,16.56,93.9,0.182,7.355,0.000325,7.56,9.13,1,0.01625,7.37,4.4,NA,"E428390B-78DD-42D1-A43A-E3AB1C798E48",26,1002,10,4,33,0,4,0,13,23,22,1118,5,37
"4",145,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","VER",33751,1,"TL",11323,11248,"TL1132311248","GB106039029920",90,2.2,11.8,1,10,50,2,68,20,10,245,NA,NA,NA,"2002-01-01","1982-10-21","2022-09-12",53,FALSE,1,1531,"VER","TL1132311248",366617,1,"",2003-10-28,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",755403,"2003-10-29","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",17,71,4.18,17,72.1,4.24,16,19,1.19,1,3,3,3.56,10,44,4.4,5.76,9.66,59.63,3.26,5.46,59.71,15,100,6.67,19,129,6.79,11,39,28.21,13,34,38.24,17,74.8,4.4,"No",2003,10,"E428390B-78DD-42D1-A43A-E3AB1C798E48","TH-PCNR0273",0.0356666666666667,14.5366666666667,92.4,0.178333333333333,7.27333333333333,0.0003,7.51,9.39,1,0.0138333333333333,7.28333333333333,4.83333333333333,NA,"E428390B-78DD-42D1-A43A-E3AB1C798E48",94,340,4,1,13,0,37,0,41,33,22,563,5,50
"5",146,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","RED",33752,1,"TL",10395,11720,"TL1039511720","GB106039029920",93,2.5,0.3,1,3.2,15,2,54,10,34,230,NA,NA,NA,"2022-07-19","1993-04-05","2022-11-07",49,FALSE,1,1568,"RED","TL1039511720",367822,1,"",2003-10-16,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",371121,"2004-02-21","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",9,29,3.22,9,27.9,3.1,6,6,1,1,1,1,1,5,20,4,0.5,3.68,13.59,NA,2.91,0,7,40,5.71,7,42,6,1,17,5.88,1,17,5.88,9,30.3,3.37,"No",2003,10,"E428390B-78DD-42D1-A43A-E3AB1C798E48","TH-PCNR0216",0.0535,17.23,114.9,0.07,6.535,0.00046,7.44,11.045,1,0.0123,6.545,4.15,NA,"E428390B-78DD-42D1-A43A-E3AB1C798E48",37,34,1,0,0,0,0,0,60,20,9,152,0,0
"6",166,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","LEE","RIVER: Natural/semi-natural flowing fresh watercourse","SALMON BROOK",33825,1,"TQ",35300,93200,"TQ3530093200","GB106038027960",15,2,12.38,1,3,15.33,8,58,20,14,183,NA,NA,NA,"1995-01-01","1992-06-17","2019-11-21",22,FALSE,1,1658,"SALMON BROOK","TQ3530093200",367812,1,"",2003-10-29,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",361483,"2003-10-30","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",17,64,3.76,18,59.7,3.32,8,11,1.38,1,3,3,4.13,10,32,3.2,1.5,5.16,29.07,0.75,5.4,13.89,16,92,5.75,9,55,6.11,3,23,13.04,6,41,14.63,18,68.3,3.79,"No",2003,10,"B6CA56B7-95EB-4DD2-9522-CE04B7C3588F","TH-PLER0129",1.6745,17.55,37,1.1405,4.56,0.013695,7.55,3.52,3.65,0.285,4.845,NA,NA,"B6CA56B7-95EB-4DD2-9522-CE04B7C3588F",263,80,50,1,2,0,2,0,100,100,19,618,2,4
"7",181,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","CRIPSEY BROOK",33853,1,"TL",49030,5850,"TL4903005850","GB106037033480",64,2,2.7,1,2.1,13.67,1,59,18,22,231.5,NA,NA,NA,"1995-01-01","1992-04-23","2014-09-24",19,FALSE,1,1809,"CRIPSEY BROOK","TL4903005850",367492,1,"",2003-10-20,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",369333,"2004-01-27","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",16,68,4.25,19,82.4,4.34,NA,NA,NA,NA,NA,NA,NA,13,52,4,1.76,2.62,67.18,3.75,7.16,52.37,14,90,6.43,NA,NA,NA,NA,3,0,13,34,38.24,19,83.4,4.39,"No",2003,10,"70EE52B8-C61B-4A3D-9DFD-C7B29A556A81","TH-PRGR0011",0.0635,15.5,89,1.223,4.885,0.00184,8.09,8.855,2.5,0.05435,4.94,NA,NA,"70EE52B8-C61B-4A3D-9DFD-C7B29A556A81",27,250,0,2,4,0,10,0,87,110,20,491,4,14
"8",193,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","INGREBOURNE","RIVER: Natural/semi-natural flowing fresh watercourse","BOURNE BROOK",33891,1,"TQ",50600,94800,"TQ5060094800","GB106037028120",47,3,5.02,1,1.8,15,2,10,12,77,243,NA,NA,NA,"1995-01-01","1991-10-22","2013-09-06",15,FALSE,1,1947,"BOURNE BROOK","TQ5060094800",367782,1,"",2003-11-24,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","Historic Unknown Monitoring",368801,"2003-12-20","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",9,33,3.67,11,37.8,3.44,NA,NA,NA,NA,NA,NA,NA,6,28,4.67,NA,0.86,0,NA,2.66,0,7,42,6,NA,NA,NA,NA,3,0,3,19,15.79,11,38.3,3.48,"No",2003,11,"269D519C-5BF7-4C68-93C7-CDF6D721CC29","TH-PRGR0090",0.1375,16,67.5,0.5825,1.266,0.00278,7.84,6.655,2.4,0.06055,1.325,NA,NA,"269D519C-5BF7-4C68-93C7-CDF6D721CC29",17,20,0,0,2,0,0,0,13,20,11,74,1,2
"9",224,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","CRIPSEY BROOK",34001,1,"TL",53350,6850,"TL5335006850","GB106037033470",55,2,8.58,1,3,14,6,73,10,11,231,NA,NA,NA,"1995-01-01","1990-05-16","2022-09-07",39,FALSE,1,2230,"CRIPSEY BROOK","TL5335006850",367490,1,"",2003-10-20,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","Historic Unknown Monitoring",368871,"2004-01-20","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",19,83,4.37,20,83.7,4.19,NA,NA,NA,NA,NA,NA,NA,13,52,4,0.63,0.63,100,4.02,7.93,50.69,17,106,6.24,NA,NA,NA,NA,3,0,10,35,28.57,20,89,4.45,"No",2003,10,"7534859B-1B9C-45DB-B5AA-38701EDC7ACB","TH-PRGR0012",0.1375,16,98,1.695,11.6,0.003725,8.13,9.675,1.9,0.05595,11.665,NA,NA,"7534859B-1B9C-45DB-B5AA-38701EDC7ACB",43,10,0,71,22,5,21,0,26,70,20,269,4,43
"10",229,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","BRENT","RIVER: Natural/semi-natural flowing fresh watercourse","BRENT",34007,1,"TQ",15100,80140,"TQ1510080140","GB106039023590",11,0.6,36,2,9.9,24.67,19,47,19,15,190,NA,NA,NA,"1995-01-01","1988-08-01","2021-05-06",29,FALSE,1,2284,"BRENT","TQ1510080140",366584,1,"",2003-10-30,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",360228,"2003-10-31","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",7,22,3.14,7,21.1,3.01,NA,NA,NA,NA,NA,NA,NA,3,14,4.67,NA,NA,NA,NA,0.99,0,5,28,5.6,NA,NA,NA,NA,3,0,NA,12,0,7,22.6,3.23,"No",2003,10,"025869E1-5F53-4AE6-91C6-E6F6EC8A65C8","TH-PBRR0011",0.201,19.6666666666667,63.3333333333333,0.685666666666667,1.21933333333333,0.00464,7.76666666666667,5.78,5.93333333333333,0.1351,1.35333333333333,NA,NA,"025869E1-5F53-4AE6-91C6-E6F6EC8A65C8",74,70,0,0,0,0,1,0,15,2,7,162,1,1
