"","X.x","AGENCY_AREA","REPORTING_AREA","CATCHMENT","WATERBODY_TYPE_DESCRIPTION","WATER_BODY.x","SITE_ID","SITE_VERSION","NGR_PREFIX","EASTING","NORTHING","NGR_10_FIG.x","WFD_WATERBODY_ID","ALTITUDE","SLOPE","DIST_FROM_SOURCE","DISCHARGE","WIDTH","DEPTH","BOULDERS_COBBLES","PEBBLES_GRAVEL","SAND","SILT_CLAY","ALKALINITY","CONDUCTIVITY","TOTAL_HARDNESS","CALCIUM","BASE_DATA_DATE","MIN_SAMPLE_DATE","MAX_SAMPLE_DATE","COUNT_OF_SAMPLES","ECN_SITE_INV","SAMPLES_PER_SITE","X.y","WATER_BODY.y","NGR_10_FIG.y","SAMPLE_ID","SAMPLE_VERSION","REPLICATE_CODE","SAMPLE_DATE","SAMPLE_TYPE_DESCRIPTION","SAMPLE_METHOD_DESCRIPTION","SAMPLE_REASON","ANALYSIS_ID","DATE_OF_ANALYSIS","ANALYSIS_TYPE_DESCRIPTION","ANALYSIS_METHOD_DESCRIPTION","BMWP_N_TAXA","BMWP_TOTAL","BMWP_ASPT","WHPT_N_TAXA","WHPT_TOTAL","WHPT_ASPT","CCI_N_TAXA","CCI_CS_TOTAL","CCI_ASPT","CSmax_CoS","BMWP_CoS","CCI_CoS","CCI","DEHLI_N_TAXA","DIS_TOTAL","DEHLI","EPSI_ML_S_GRP","EPSI_ML_ALL_GRP","EPSI_MIXED_LEVEL_SCORE","EPSI_S_GRP","EPSI_ALL_GRP","EPSI_FAMILY_SCORE","LIFE_N_TAXA","LIFE_SCORES_TOTAL","LIFE_FAMILY_INDEX","LIFE_SPECIES_N_TAXA","LIFE_SPECIES_SCORES_TOTAL","LIFE_SPECIES_INDEX","PSI_ML_AB","PSI_ML_ABCD","PSI_MIXED_LEVEL_SCORE","PSI_AB","PSI_ABCD","PSI_FAMILY_SCORE","WHPT_NW_N_TAXA","WHPT_NW_TOTAL","WHPT_NW_ASPT","IS_THIRD_PARTY_DATA","SAMPLE_DATE_YEAR","SAMPLE_DATE_MONTH","identifier.x","sample.samplingPoint.notation","Nitrogen, Total Oxidised as N_mg/l","Nitrate as N_mg/l","BOD : 5 Day ATU_mg/l","Nitrite as N_mg/l","Ammonia un-ionised as N_mg/l","Oxygen, Dissolved, % Saturation_%","Orthophosphate, reactive as P_mg/l","Temperature of Water_cel","Oxygen, Dissolved as O2_mg/l","Ammoniacal Nitrogen as N_mg/l","pH_phunits","Solids, Suspended at 105 C_mg/l","Phosphorus, Total as P_mg/l","identifier.y","annelid","crustacean","flatworm (Turbellaria)","insect - beetle (Coleoptera)","insect - caddis fly (Trichoptera)","insect - dragonfly (Odonata)","insect - mayfly (Ephemeroptera)","insect - stonefly (Plecoptera)","insect - true fly (Diptera)","mollusc","macro_richness","total_abundance","ept_richness","ept_abundance"
"1",52,"THAMES - WEST","THAMES","AMPNEY BROOK","RIVER: Natural/semi-natural flowing fresh watercourse","AMPNEY BROOK",33217,1,"SU",10482,95164,"SU1048295164","GB106039030300",80,0.7,11.26,3,5,25,0,55,28,18,221,NA,NA,NA,"1995-01-01","1990-04-30","2007-10-31",21,FALSE,1,539,"AMPNEY BROOK","SU1048295164",392164,1,"",2004-11-08,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",388837,"2004-11-29","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",26,153,5.88,29,166.6,5.74,15,23,1.53,5,7,7,10.73,20,95,4.75,8.64,11.82,73.1,6.27,9.69,64.71,24,169,7.04,20,150,7.5,15,34,44.12,24,45,53.33,29,164.4,5.67,"No",2004,11,"966DD2C9-3F21-42B5-B9B6-1EF8636FB9B9","TH-PUTR0002",9.145,9.12,1.15,0.0263,0.000665,104.2,0.156,12.645,11.05,0.03,8.3,3.2,NA,"966DD2C9-3F21-42B5-B9B6-1EF8636FB9B9",24,10,0,16,39,0,6,1,43,66,34,247,11,46
"2",55,"THAMES - WEST","THAMES","CHERWELL AND RAY (OXON)","RIVER: Natural/semi-natural flowing fresh watercourse","ASHBY BROOK (CHERWELL AND RAY)",33222,1,"SP",53407,48805,"SP5340748805","GB106039037360",115,3.1,10.2,1,2.5,23.33,33,27,20,20,187,NA,NA,NA,"1995-01-01","1990-11-20","2019-10-10",19,FALSE,1,554,"ASHBY BROOK (CHERWELL AND RAY)","SP5340748805",389032,1,"",2004-10-05,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",384816,"2004-12-07","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",14,76,5.43,15,76.5,5.1,NA,NA,NA,NA,NA,NA,NA,10,49,4.9,0.5,0.5,100,3.28,5.7,57.54,12,88,7.33,NA,NA,NA,NA,3,0,12,21,57.14,15,80.5,5.37,"No",2004,10,"445F9027-CD79-493E-959F-A8DD2ED4307D","TH-PCHR0095",6.05333333333333,6.00333333333333,2.1,0.0526333333333333,0.00151,94.1,0.358666666666667,15.7066666666667,9.37333333333333,0.0646666666666667,7.97333333333333,NA,NA,"445F9027-CD79-493E-959F-A8DD2ED4307D",67,17,0,2,4,6,5,0,87,15,16,216,4,9
"3",56,"THAMES - WEST","THAMES","THAME","RIVER: Natural/semi-natural flowing fresh watercourse","BALDON BROOK",33223,1,"SU",57645,98750,"SU5764598750","GB106039023820",58,4,5.45,1,1.6,4.33,3,50,27,20,243,NA,NA,NA,"1995-01-01","1990-03-23","2014-09-26",19,FALSE,1,564,"BALDON BROOK","SU5764598750",387986,1,"",2004-11-05,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",384693,"2004-12-13","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",19,89,4.68,21,92.2,4.39,NA,NA,NA,NA,NA,NA,NA,16,71,4.44,2.13,2.99,71.24,2,6.12,32.68,18,118,6.56,NA,NA,NA,NA,3,0,12,36,33.33,21,94.2,4.49,"No",2004,11,"741A8366-08EC-44A9-B96A-6D56B159718E","TH-PTAR0002",0.696666666666667,0.687333333333333,2.93333333333333,0.00856666666666667,0.00209,96.2,0.429333333333333,15.9433333333333,9.49,0.0773333333333333,8.22,NA,NA,"741A8366-08EC-44A9-B96A-6D56B159718E",31,101,0,6,9,0,0,0,115,212,23,478,4,9
"4",85,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","VER",33449,1,"TL",12748,8590,"TL1274808590","GB106039029920",82,1.3,15.2,1,3,29,2,77,9,13,243.5,NA,NA,NA,"1995-01-01","1997-01-13","2022-09-12",51,FALSE,1,816,"VER","TL1274808590",384756,1,"",2004-10-05,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",388511,"2005-02-22","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",20,96,4.8,21,105.8,5.04,NA,NA,NA,NA,NA,NA,NA,15,69,4.6,2.63,2.63,100,5.26,7.94,66.25,18,125,6.94,NA,NA,NA,NA,3,0,19,40,47.5,21,106.1,5.05,"No",2004,10,"274E5E06-0E2B-4FAE-9DB4-32C45668B7D6","TH-PCNR0093",4.65333333333333,4.63,1.36666666666667,0.0241333333333333,0.000496666666666667,89.2666666666667,0.0486666666666667,14.54,9.06666666666667,0.03,7.80666666666667,3.93333333333333,NA,"274E5E06-0E2B-4FAE-9DB4-32C45668B7D6",52,80,1,72,5,5,25,0,43,10,21,295,6,30
"5",109,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","INGREBOURNE","RIVER: Natural/semi-natural flowing fresh watercourse","ROM/BEAM",33567,1,"TQ",50250,83200,"TQ5025083200","GB106037028100",5,0.5,19.87,1,7,100,5,5,0,90,172,NA,NA,NA,"1995-01-01","1995-05-10","2021-10-14",15,FALSE,1,1161,"ROM/BEAM","TQ5025083200",390354,1,"",2004-10-26,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",386657,"2005-01-20","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",15,57,3.8,16,52.6,3.29,NA,NA,NA,NA,NA,NA,NA,10,35,3.5,NA,NA,NA,1.5,5.89,25.47,14,84,6,NA,NA,NA,NA,4,0,4,33,12.12,16,58.4,3.65,"No",2004,10,"638658A9-38F5-4B38-88A7-3B1C5AB315DF","TH-PRGR0001",4.095,4.06,2.025,0.165333333333333,0.00414,133.75,0.64925,19.875,12.0275,0.13275,8.185,NA,NA,"638658A9-38F5-4B38-88A7-3B1C5AB315DF",255,305,9,7,0,4,60,0,5,28,16,673,1,60
"6",218,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","INGREBOURNE","RIVER: Natural/semi-natural flowing fresh watercourse","INGREBOURNE",33985,1,"TQ",52370,82620,"TQ5237082620","GB106037028130",6,1.1,18.97,2,6.3,80,0,2,7,92,159,NA,NA,NA,"1995-01-01","1990-05-15","2004-10-27",11,FALSE,1,2153,"INGREBOURNE","TQ5237082620",386034,1,"",2004-10-27,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",381388,"2004-10-27","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",13,45,3.46,13,37.9,2.92,NA,NA,NA,NA,NA,NA,NA,8,26,3.25,NA,NA,NA,0.75,4.18,17.94,12,71,5.92,NA,NA,NA,NA,4,0,4,30,13.33,13,44.3,3.41,"No",2004,10,"4597FDFB-A8C4-47FA-A455-16ADD6D8C87C","TH-PRGR0018",3.69,3.39,2.1,0.296,0.00346,33,0.914,18,3.12,0.53,7.29,11.2,1.04,"4597FDFB-A8C4-47FA-A455-16ADD6D8C87C",170,210,3,0,0,0,1,0,0,67,13,452,1,1
"7",224,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","CRIPSEY BROOK",34001,1,"TL",53350,6850,"TL5335006850","GB106037033470",55,2,8.58,1,3,14,6,73,10,11,231,NA,NA,NA,"1995-01-01","1990-05-16","2022-09-07",39,FALSE,1,2232,"CRIPSEY BROOK","TL5335006850",420508,1,"",2004-11-16,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","Local monitoring",415662,"2005-03-22","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",16,69,4.31,16,63.4,3.96,NA,NA,NA,NA,NA,NA,NA,11,45,4.09,0.63,0.63,100,2.52,6.65,37.89,14,83,5.93,NA,NA,NA,NA,4,0,6,34,17.65,16,69.1,4.32,"No",2004,11,"7534859B-1B9C-45DB-B5AA-38701EDC7ACB","TH-PRGR0012",7.74,7.685,1.55,0.05475,0.001285,106.5,2.055,15,10.795,0.049,8.2,NA,NA,"7534859B-1B9C-45DB-B5AA-38701EDC7ACB",215,30,0,10,1,1,20,0,101,250,16,629,2,21
"8",225,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","NEW DENHAM STREAM",34002,1,"TQ",5200,85600,"TQ0520085600","GB106039023090",32,0.8,40.63,3,15.3,113.33,4,5,9,83,245,NA,NA,NA,"1995-01-01","1991-08-19","2005-11-15",18,FALSE,1,2257,"NEW DENHAM STREAM","TQ0520085600",391272,1,"",2004-11-01,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",387720,"2005-02-09","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",20,96,4.8,21,94.8,4.51,NA,NA,NA,NA,NA,NA,NA,15,70,4.67,NA,NA,NA,2.51,9.34,26.87,19,116,6.11,NA,NA,NA,NA,3,0,10,45,22.22,21,96.1,4.58,"No",2004,11,"D16323FC-090B-4D4A-A3E5-68D4248D1494","TH-PCNR0206",10.35,10.35,1.7,0.038,0.001575,106.5,0.6335,16.5,10.35,0.066,7.91,NA,NA,"D16323FC-090B-4D4A-A3E5-68D4248D1494",61,60,0,4,40,10,60,0,40,195,22,470,5,100
"9",234,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","LEE","RIVER: Natural/semi-natural flowing fresh watercourse","LEE (THAMES)",34014,1,"TL",38500,8200,"TL3850008200","GB106038077851",28,0.6,57.51,5,20.8,176.67,1,14,17,68,224,NA,NA,NA,"1995-01-01","1975-01-15","2016-09-09",43,FALSE,1,2390,"LEE (THAMES)","TL3850008200",386310,1,"",2004-10-28,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",381634,"2004-10-29","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",20,83,4.15,21,78,3.71,NA,NA,NA,NA,NA,NA,NA,15,48,3.2,NA,NA,NA,1.5,6.15,24.39,18,109,6.06,NA,NA,NA,NA,3,0,7,40,17.5,21,81.2,3.87,"No",2004,10,"F00A2255-F0DC-4EC4-8C04-2EB3B18BC1EB","TH-PLER0060",9.47333333333333,9.34,2.35,0.0781,0.00218,100.966666666667,1.965,20.1666666666667,9.14,0.063,7.87,12.85,NA,"F00A2255-F0DC-4EC4-8C04-2EB3B18BC1EB",62,160,4,3,1,2,90,0,84,138,22,550,3,91
"10",236,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","BEANE","RIVER: Natural/semi-natural flowing fresh watercourse","BEANE",34017,1,"TL",29771,19790,"TL2977119790","GB106038033310",58,2,18.41,2,4.2,13.67,10,72,10,8,203,NA,NA,NA,"1995-01-01","1990-04-09","2022-04-13",85,FALSE,1,2424,"BEANE","TL2977119790",387407,1,"",2004-11-22,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",386668,"2005-01-17","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",16,67,4.19,17,69.3,4.08,13,13,1,1,3,3,3,12,50,4.17,4,6.68,59.88,2.51,4.95,50.71,14,95,6.79,13,90,6.92,9,26,34.62,10,30,33.33,17,73.3,4.31,"No",2004,11,"9A0DCC33-D666-4C01-A7AB-02B7B6476AC2","TH-PLER0012",3.85666666666667,3.80666666666667,2.13333333333333,0.0484666666666667,0.00127,98.3333333333333,0.0636666666666667,17.5466666666667,9.35333333333333,0.044,8.02333333333333,3.06666666666667,NA,"9A0DCC33-D666-4C01-A7AB-02B7B6476AC2",30,160,4,2,1,1,2,0,2,31,18,234,3,3
"11",239,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","THAMES SOURCE TO TEDDINGTON (NE SECTION)","RIVER: Natural/semi-natural flowing fresh watercourse","ASH (THAMES)",34020,1,"TQ",8066,68382,"TQ0806668382","GB106039023480",11,0.5,7.862,1,4.2,35,7,18,15,60,250,NA,NA,NA,"1995-01-01","1989-01-23","2004-11-08",25,FALSE,1,2521,"ASH (THAMES)","TQ0806668382",386606,1,"",2004-11-08,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",384892,"2004-12-06","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",17,63,3.71,18,66.9,3.72,NA,NA,NA,NA,NA,NA,NA,12,47,3.92,NA,NA,NA,2.01,6.9,29.13,16,98,6.13,NA,NA,NA,NA,2,0,7,33,21.21,18,65.2,3.62,"No",2004,11,"AA26F4BD-5A23-4D9E-B387-57ABDD3E8B3F","TH-PTHR0004",5.10333333333333,NA,1.1,NA,0.00117666666666667,75.3333333333333,0.485,17.6666666666667,7.15666666666667,0.0446666666666667,7.92666666666667,NA,NA,"AA26F4BD-5A23-4D9E-B387-57ABDD3E8B3F",8,54,0,1,0,9,14,0,70,187,18,359,1,14
"12",249,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","LEE","RIVER: Natural/semi-natural flowing fresh watercourse","LEE (NAV.SUB B)",34031,1,"TQ",36450,95700,"TQ3645095700","GB106038027950",17,0.8,71.31,3,18,150,0,4,4,92,218,NA,NA,NA,"1995-01-01","1990-06-08","2019-11-12",21,FALSE,1,2608,"LEE (NAV.SUB B)","TQ3645095700",391026,1,"",2004-11-02,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",387382,"2005-01-10","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",6,21,3.5,8,31.2,3.9,NA,NA,NA,NA,NA,NA,NA,3,5,1.67,NA,NA,NA,NA,1.45,0,5,32,6.4,NA,NA,NA,NA,3,0,NA,10,0,8,30,3.75,"No",2004,11,"400E2135-9320-4C50-8490-F51B5688BF2D","TH-PLER0083",4.89,4.79,1.7,0.1044,0.001505,119.25,0.8195,21.44,10.445,0.0365,8.275,4.15,NA,"400E2135-9320-4C50-8490-F51B5688BF2D",29,9,0,0,0,0,0,0,10,11,8,59,0,0
"13",275,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","CRANE","RIVER: Natural/semi-natural flowing fresh watercourse","YEADING BROOK EAST",34071,1,"TQ",11309,84709,"TQ1130984709","GB106039023050",32,2.5,5.35,1,3.3,18.33,24,26,10,40,223,NA,NA,NA,"1995-01-01","1990-05-08","2014-11-11",21,FALSE,1,2944,"YEADING BROOK EAST","TQ1130984709",390049,1,"",2004-09-13,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",386222,"2005-01-19","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",13,45,3.46,13,38.3,2.95,NA,NA,NA,NA,NA,NA,NA,8,27,3.38,0.63,0.63,100,0.5,4.41,11.34,11,61,5.55,NA,NA,NA,NA,4,0,3,26,11.54,13,43.7,3.36,"No",2004,9,"9F26BA47-464B-4BB3-B1F3-81A69FA2A2E2","TH-PCRR0063",3.915,3.69,1.9,0.228,0.010845,103.5,0.9075,18.4945,9.63,0.325,8.24,NA,NA,"9F26BA47-464B-4BB3-B1F3-81A69FA2A2E2",356,110,0,0,0,0,0,0,72,880,13,1421,0,0
"14",285,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","BRENT","RIVER: Natural/semi-natural flowing fresh watercourse","BRENT",34091,1,"TQ",20300,86100,"TQ2030086100","GB106039023590",29,2.5,17.78,2,7.5,16.67,23,50,13,13,184,NA,NA,NA,"1995-01-01","1985-03-12","2021-05-06",22,FALSE,1,3095,"BRENT","TQ2030086100",384255,1,"",2004-09-22,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",379640,"2004-09-23","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",12,41,3.42,12,31.6,2.63,NA,NA,NA,NA,NA,NA,NA,6,17,2.83,NA,NA,NA,NA,2.69,0,10,54,5.4,NA,NA,NA,NA,4,0,NA,25,0,12,36.8,3.07,"No",2004,9,"BED8C8A2-CC59-4659-8482-BEC9EBB73CB4","TH-PBRR0007",1.29333333333333,1.219,4.93333333333333,0.0745666666666667,0.0048,134,0.449666666666667,19.18,12.3833333333333,0.134,8.58333333333333,NA,NA,"BED8C8A2-CC59-4659-8482-BEC9EBB73CB4",230,101,1,0,0,0,0,0,10,27,13,370,0,0
"15",309,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","MIMRAM","RIVER: Natural/semi-natural flowing fresh watercourse","MIMRAM",34171,1,"TL",20754,18006,"TL2075418006","GB106038033270",74,3.1,7.31,1,4.5,14,19,66,8,7,254,NA,NA,NA,"1995-01-01","1975-01-09","2022-04-14",92,FALSE,1,3500,"MIMRAM","TL2075418006",384989,1,"",2004-10-08,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",388258,"2005-02-06","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",20,99,4.95,20,109.9,5.5,19,28,1.47,5,3,5,7.37,14,74,5.29,14.26,16.33,87.32,9.79,10.77,90.9,19,149,7.84,20,158,7.9,27,42,64.29,29,43,67.44,20,102.7,5.14,"No",2004,10,"CBA0A40E-F999-4046-BCBD-33C83E7552DE","TH-PLER0089",6.54333333333333,6.50666666666667,1.16666666666667,0.0369666666666667,0.00085,102,0.137333333333333,15.8,10.1133333333333,0.0356666666666667,7.93,3.7,NA,"CBA0A40E-F999-4046-BCBD-33C83E7552DE",256,501,0,250,43,0,251,0,136,16,24,1453,7,294
"16",319,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","COLNE",34206,1,"TQ",3941,74915,"TQ0394174915","GB106039023090",20,0.6,60,4,11.1,65,2,44,10,45,232.9,NA,NA,NA,"1995-01-01","1983-01-11","2020-11-06",40,FALSE,1,3682,"COLNE","TQ0394174915",390274,1,"",2004-10-28,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",386548,"2005-01-24","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",21,108,5.14,22,100.9,4.59,NA,NA,NA,NA,NA,NA,NA,17,78,4.59,NA,NA,NA,2.51,8.13,30.87,20,127,6.35,NA,NA,NA,NA,3,0,12,42,28.57,22,106.3,4.83,"No",2004,10,"FE613D76-B6C2-4431-8677-B6265E341DDC","TH-PCNR0375",11.4,11.3,1.7,0.0639,0.0024,104,0.645,16,10.2,0.085,8.1,4.2,NA,"FE613D76-B6C2-4431-8677-B6265E341DDC",30,60,0,6,33,4,41,0,10,194,22,378,7,74
