"","X.x","AGENCY_AREA","CATCHMENT","WATERBODY_TYPE_DESCRIPTION","WATER_BODY.x","SITE_ID","SITE_VERSION","NGR_PREFIX","EASTING","NORTHING","NGR_10_FIG.x","WFD_WATERBODY_ID","ALTITUDE","SLOPE","DIST_FROM_SOURCE","DISCHARGE","WIDTH","DEPTH","BOULDERS_COBBLES","PEBBLES_GRAVEL","SAND","SILT_CLAY","ALKALINITY","CONDUCTIVITY","TOTAL_HARDNESS","CALCIUM","BASE_DATA_DATE","MIN_SAMPLE_DATE","MAX_SAMPLE_DATE","COUNT_OF_SAMPLES","ECN_SITE_INV","SAMPLES_PER_SITE","X.y","WATER_BODY.y","NGR_10_FIG.y","SAMPLE_ID","SAMPLE_VERSION","REPLICATE_CODE","SAMPLE_DATE","SAMPLE_TYPE_DESCRIPTION","SAMPLE_METHOD_DESCRIPTION","SAMPLE_REASON","ANALYSIS_ID","DATE_OF_ANALYSIS","ANALYSIS_TYPE_DESCRIPTION","ANALYSIS_METHOD_DESCRIPTION","BMWP_N_TAXA","BMWP_TOTAL","BMWP_ASPT","WHPT_N_TAXA","WHPT_TOTAL","WHPT_ASPT","CCI_N_TAXA","CCI_CS_TOTAL","CCI_ASPT","CSmax_CoS","BMWP_CoS","CCI_CoS","CCI","DEHLI_N_TAXA","DIS_TOTAL","DEHLI","EPSI_ML_S_GRP","EPSI_ML_ALL_GRP","EPSI_MIXED_LEVEL_SCORE","EPSI_S_GRP","EPSI_ALL_GRP","EPSI_FAMILY_SCORE","LIFE_N_TAXA","LIFE_SCORES_TOTAL","LIFE_FAMILY_INDEX","LIFE_SPECIES_N_TAXA","LIFE_SPECIES_SCORES_TOTAL","LIFE_SPECIES_INDEX","PSI_ML_AB","PSI_ML_ABCD","PSI_MIXED_LEVEL_SCORE","PSI_AB","PSI_ABCD","PSI_FAMILY_SCORE","WHPT_NW_N_TAXA","WHPT_NW_TOTAL","WHPT_NW_ASPT","IS_THIRD_PARTY_DATA","SAMPLE_DATE_YEAR","SAMPLE_DATE_MONTH","identifier.x","sample.samplingPoint.notation","pH_phunits","Ammonia un-ionised as N_mg/l","Nitrite as N_mg/l","Oxygen, Dissolved as O2_mg/l","Nitrate as N_mg/l","Temperature of Water_cel","Ammoniacal Nitrogen as N_mg/l","Nitrogen, Total Oxidised as N_mg/l","Orthophosphate, reactive as P_mg/l","BOD : 5 Day ATU_mg/l","Oxygen, Dissolved, % Saturation_%","Solids, Suspended at 105 C_mg/l","Phosphorus, Total as P_mg/l","Chlorophyll : Acetone Extract_ug/l","identifier.y","annelid","crustacean","flatworm (Turbellaria)","insect - beetle (Coleoptera)","insect - caddis fly (Trichoptera)","insect - dragonfly (Odonata)","insect - mayfly (Ephemeroptera)","insect - stonefly (Plecoptera)","insect - true fly (Diptera)","mollusc","macro_richness","total_abundance","ept_richness","ept_abundance"
"1",218,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","VER",33449,1,"TL",12748,8590,"TL1274808590","GB106039029920",82,1.3,15.2,1,3,29,2,77,9,13,243.5,NA,NA,NA,"1995-01-01","1997-01-13","2021-04-07",48,FALSE,1,1967,"VER","TL1274808590",537262,1,"",2005-09-07,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",564531,"2008-03-06","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",18,97,5.39,25,137.2,5.49,27,54,2,5,3,5,10,17,87,5.12,13.14,17.18,76.48,7.01,10.18,68.86,19,133,7,27,199,7.37,27,51,52.94,21,42,50,25,135,5.4,"No",2005,9,"274E5E06-0E2B-4FAE-9DB4-32C45668B7D6","TH-PCNR0093",7.88,0.000736666666666667,0.0257333333333333,7.99666666666667,4.27333333333333,17.5566666666667,0.0303333333333333,4.29666666666667,0.0213333333333333,1,83.8666666666667,3.93333333333333,NA,NA,"274E5E06-0E2B-4FAE-9DB4-32C45668B7D6",4,234,1,202,31,2,117,0,562,20,41,1178,11,148
"2",357,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","NEW DENHAM STREAM",34002,1,"TQ",5200,85600,"TQ0520085600","GB106039023090",32,0.8,40.63,3,15.3,113.33,4,5,9,83,245,NA,NA,NA,"1995-01-01","1991-08-19","2005-11-15",18,FALSE,1,3316,"NEW DENHAM STREAM","TQ0520085600",508609,1,"",2005-11-15,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",504213,"2005-11-16","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",16,77,4.81,18,77.1,4.28,NA,NA,NA,NA,NA,NA,NA,12,60,5,NA,NA,NA,NA,4.87,0,16,96,6,NA,NA,NA,NA,3,0,2,29,6.9,18,78.8,4.38,"No",2005,11,"D16323FC-090B-4D4A-A3E5-68D4248D1494","TH-PCNR0206",8.03666666666667,0.00137666666666667,0.0284666666666667,8.42,12.6,18,0.0446666666666667,12.6,0.654333333333333,1.20333333333333,89,NA,NA,NA,"D16323FC-090B-4D4A-A3E5-68D4248D1494",29,30,0,0,6,4,23,0,35,64,18,191,3,29
"3",368,"THAMES - NORTH EAST","BEANE","RIVER: Natural/semi-natural flowing fresh watercourse","BEANE",34017,1,"TL",29771,19790,"TL2977119790","GB106038033310",58,2,18.41,2,4.2,13.67,10,72,10,8,203,NA,NA,NA,"1995-01-01","1990-04-09","2020-10-06",82,FALSE,1,3479,"BEANE","TL2977119790",505801,1,"",2005-09-13,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",501420,"2005-09-13","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",19,78,4.11,21,85.2,4.06,16,17,1.06,1,3,3,3.19,16,74,4.63,4.63,9.03,51.27,3.01,6.91,43.56,18,115,6.39,17,113,6.65,9,35,25.71,11,38,28.95,21,89.4,4.26,"No",2005,9,"9A0DCC33-D666-4C01-A7AB-02B7B6476AC2","TH-PLER0012",7.945,0.01519,0.0338,6.045,0.5945,20.5,0.6275,0.63,0.25,4.47,67.1,10.9,NA,NA,"9A0DCC33-D666-4C01-A7AB-02B7B6476AC2",12,303,1,5,1,1,3,0,33,366,25,726,3,4
"4",372,"THAMES - NORTH EAST","THAMES SOURCE TO TEDDINGTON (NE SECTION)","RIVER: Natural/semi-natural flowing fresh watercourse","ASH (THAMES)",34021,1,"TQ",9300,67770,"TQ0930067770","GB106039023480",9,0.5,9.59,1,4.3,20.33,2,72,21,5,220,NA,NA,NA,"1995-01-01","1989-01-23","2019-11-08",54,FALSE,1,3579,"ASH (THAMES)","TQ0930067770",506170,1,"",2005-09-21,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",502669,"2005-09-22","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",24,123,5.13,24,118.8,4.95,NA,NA,NA,NA,NA,NA,NA,17,75,4.41,1,1,100,4.26,9.12,46.71,22,147,6.68,NA,NA,NA,NA,3,0,15,40,37.5,24,120.7,5.03,"No",2005,9,"AA26F4BD-5A23-4D9E-B387-57ABDD3E8B3F","TH-PTHR0005",7.435,0.002265,0.1765,8.1,5.695,17,0.324,5.87,0.2375,1.07,84,NA,NA,NA,"AA26F4BD-5A23-4D9E-B387-57ABDD3E8B3F",27,116,2,6,24,2,19,0,12,171,25,383,7,43
"5",384,"THAMES - NORTH EAST","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","RODING",34034,1,"TQ",50300,97400,"TQ5030097400","GB106037028180",28,1,43.03,2,4.3,30,3,67,15,15,226,NA,NA,NA,"1995-01-01","1990-03-12","2020-11-12",46,FALSE,1,3693,"RODING","TQ5030097400",507957,1,"",2005-10-24,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",505505,"2005-12-06","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",24,117,4.88,29,128.3,4.42,NA,NA,NA,NA,NA,NA,NA,18,74,4.11,0.63,1.98,31.82,5.52,10.62,51.98,25,160,6.4,NA,NA,NA,NA,3,0,16,52,30.77,29,128.2,4.42,"No",2005,10,"8DAD085A-36CB-487A-9F90-A8CA2CA1B837","TH-PRGR0032",7.92333333333333,0.00152,0.0649333333333333,6.79333333333333,3.98666666666667,17.6666666666667,0.0666666666666667,4.05333333333333,1.19333333333333,1.29333333333333,72.3333333333333,3,NA,NA,"8DAD085A-36CB-487A-9F90-A8CA2CA1B837",78,151,4,41,123,14,166,0,74,145,30,796,7,289
"6",390,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","FRAYS RIVER",34041,1,"TQ",5400,79000,"TQ0540079000","GB106039023090",25,1,48.48,3,9.3,29.33,8,69,18,4,222,NA,NA,NA,"1995-01-01","1990-03-20","2008-11-21",23,FALSE,1,3788,"FRAYS RIVER","TQ0540079000",507959,1,"",2005-10-26,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",503544,"2005-10-27","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",27,150,5.56,32,171.7,5.37,NA,NA,NA,NA,NA,NA,NA,20,92,4.6,1,1,100,9.25,16.82,54.99,29,200,6.9,NA,NA,NA,NA,3,0,29,64,45.31,32,167.8,5.24,"No",2005,10,"99F547F7-D5FE-41A1-B675-821D95FC08E8","TH-PCNR0046",8.07,0.0014,0.0258,8.93,10.38,19.8,0.0373333333333333,10.3866666666667,0.633,1.19666666666667,97.9666666666667,6,NA,NA,"99F547F7-D5FE-41A1-B675-821D95FC08E8",31,78,0,2010,137,50,123,0,27,217,33,2699,10,260
"7",393,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","VER",34044,1,"TL",14222,1418,"TL1422201418","GB106039029920",60,1.7,27.03,2,6.2,39,3,64,17,16,258,NA,NA,NA,"1995-01-01","1990-04-02","2021-04-22",65,FALSE,1,3803,"VER","TL1422201418",511424,1,"",2005-09-07,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",508295,"2005-09-07","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",11,57,5.18,12,69.1,5.76,11,19,1.73,3,3,3,5.18,8,51,6.38,12.5,13.36,93.56,6.75,7.72,87.44,9,78,8.67,11,96,8.73,21,26,80.77,20,25,80,12,66,5.5,"No",2005,9,"78C22281-DD60-4EE9-B5C5-3481DAF21D79","TH-PCNR0088",8.165,0.000885,0.01405,10.4,4.91,16.565,0.03,4.92,0.0275,1.02,106.9,7.35,NA,NA,"78C22281-DD60-4EE9-B5C5-3481DAF21D79",15,1014,0,100,58,4,516,0,26,2,18,1736,6,574
"8",395,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","COLNE",34046,1,"TQ",12029,98067,"TQ1202998067","GB106039029840",55,1,18.57,3,6.7,48.33,6,69,11,14,227,NA,NA,NA,"1995-01-01","1986-09-29","2020-10-07",44,FALSE,1,3853,"COLNE","TQ1202998067",506488,1,"",2005-09-21,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",507829,"2006-01-05","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",23,115,5,23,110.7,4.81,NA,NA,NA,NA,NA,NA,NA,19,84,4.42,1.13,1.13,100,5.77,9.16,62.99,21,142,6.76,NA,NA,NA,NA,3,0,19,42,45.24,23,111.7,4.86,"No",2005,9,"47236A17-7553-4DF4-AA3A-4880745E0B56","TH-PCNR0026",7.99666666666667,0.000833333333333333,0.0244333333333333,9.03666666666667,20.4333333333333,17,0.0313333333333333,20.4333333333333,3.07,1.11,93.6666666666667,8.06666666666667,NA,NA,"47236A17-7553-4DF4-AA3A-4880745E0B56",25,58,1,140,54,11,39,0,160,553,23,1042,6,93
"9",397,"THAMES - NORTH EAST","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","CRIPSEY BROOK",34049,1,"TL",55200,2600,"TL5520002600","GB106037033470",40,1.8,15.67,1,4.5,25,27,35,20,18,227,NA,NA,NA,"1995-01-01","1988-10-25","2009-05-20",27,FALSE,1,3889,"CRIPSEY BROOK","TL5520002600",505855,1,"",2005-09-12,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",501488,"2005-09-14","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",16,68,4.25,18,75.2,4.18,NA,NA,NA,NA,NA,NA,NA,12,53,4.42,0.5,0.87,57.47,1.75,4.43,39.5,15,98,6.53,NA,NA,NA,NA,3,0,7,29,24.14,18,78.7,4.37,"No",2005,9,"8D306F88-CCE2-41A3-A586-3A42D33D38ED","TH-PRGR0013",7.91333333333333,0.00229666666666667,0.0709333333333333,6.64,5.08333333333333,16.6666666666667,0.0973333333333333,5.15333333333333,1.58333333333333,1.5,68.3333333333333,9,NA,NA,"8D306F88-CCE2-41A3-A586-3A42D33D38ED",35,8,0,3,0,0,8,0,49,30,18,135,2,8
"10",402,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","TYKESWATER",34056,1,"TL",15600,1500,"TL1560001500","GB106039023100",65,2.2,10.47,1,3.7,26,9,68,11,12,148,NA,NA,NA,"1995-01-01","1990-03-01","2019-11-29",25,FALSE,1,3928,"TYKESWATER","TL1560001500",508398,1,"",2005-11-07,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",507830,"2006-01-10","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",25,131,5.24,25,120.7,4.83,NA,NA,NA,NA,NA,NA,NA,18,81,4.5,0.63,0.63,100,3.5,8.35,41.92,23,151,6.57,NA,NA,NA,NA,4,0,15,43,34.88,25,125.2,5.01,"No",2005,11,"D3AD0B88-3198-4F79-9D66-3BEB56272118","TH-PCNR0086",8.44,0.00104,0.0085,12.3,1.34,18.78,0.03,1.35,0.754,1,132.7,NA,NA,NA,"D3AD0B88-3198-4F79-9D66-3BEB56272118",156,142,0,151,78,8,100,0,201,265,25,1107,9,178
