"","X.x","AGENCY_AREA","CATCHMENT","WATERBODY_TYPE_DESCRIPTION","WATER_BODY.x","SITE_ID","SITE_VERSION","NGR_PREFIX","EASTING","NORTHING","NGR_10_FIG.x","WFD_WATERBODY_ID","ALTITUDE","SLOPE","DIST_FROM_SOURCE","DISCHARGE","WIDTH","DEPTH","BOULDERS_COBBLES","PEBBLES_GRAVEL","SAND","SILT_CLAY","ALKALINITY","CONDUCTIVITY","TOTAL_HARDNESS","CALCIUM","BASE_DATA_DATE","MIN_SAMPLE_DATE","MAX_SAMPLE_DATE","COUNT_OF_SAMPLES","ECN_SITE_INV","SAMPLES_PER_SITE","X.y","WATER_BODY.y","NGR_10_FIG.y","SAMPLE_ID","SAMPLE_VERSION","REPLICATE_CODE","SAMPLE_DATE","SAMPLE_TYPE_DESCRIPTION","SAMPLE_METHOD_DESCRIPTION","SAMPLE_REASON","ANALYSIS_ID","DATE_OF_ANALYSIS","ANALYSIS_TYPE_DESCRIPTION","ANALYSIS_METHOD_DESCRIPTION","BMWP_N_TAXA","BMWP_TOTAL","BMWP_ASPT","WHPT_N_TAXA","WHPT_TOTAL","WHPT_ASPT","CCI_N_TAXA","CCI_CS_TOTAL","CCI_ASPT","CSmax_CoS","BMWP_CoS","CCI_CoS","CCI","DEHLI_N_TAXA","DIS_TOTAL","DEHLI","EPSI_ML_S_GRP","EPSI_ML_ALL_GRP","EPSI_MIXED_LEVEL_SCORE","EPSI_S_GRP","EPSI_ALL_GRP","EPSI_FAMILY_SCORE","LIFE_N_TAXA","LIFE_SCORES_TOTAL","LIFE_FAMILY_INDEX","LIFE_SPECIES_N_TAXA","LIFE_SPECIES_SCORES_TOTAL","LIFE_SPECIES_INDEX","PSI_ML_AB","PSI_ML_ABCD","PSI_MIXED_LEVEL_SCORE","PSI_AB","PSI_ABCD","PSI_FAMILY_SCORE","WHPT_NW_N_TAXA","WHPT_NW_TOTAL","WHPT_NW_ASPT","IS_THIRD_PARTY_DATA","SAMPLE_DATE_YEAR","SAMPLE_DATE_MONTH","identifier.x","sample.samplingPoint.notation","Ammonia un-ionised as N_mg/l","Oxygen, Dissolved as O2_mg/l","Orthophosphate, reactive as P_mg/l","Temperature of Water_cel","Ammoniacal Nitrogen as N_mg/l","pH_phunits","Nitrogen, Total Oxidised as N_mg/l","Oxygen, Dissolved, % Saturation_%","Nitrite as N_mg/l","Nitrate as N_mg/l","BOD : 5 Day ATU_mg/l","Solids, Suspended at 105 C_mg/l","Phosphorus, Total as P_mg/l","Chlorophyll : Acetone Extract_ug/l","identifier.y","annelid","crustacean","flatworm (Turbellaria)","insect - beetle (Coleoptera)","insect - caddis fly (Trichoptera)","insect - dragonfly (Odonata)","insect - mayfly (Ephemeroptera)","insect - stonefly (Plecoptera)","insect - true fly (Diptera)","mollusc","macro_richness","total_abundance","ept_richness","ept_abundance"
"1",179,"THAMES - SOUTH EAST","LODDON","RIVER: Natural/semi-natural flowing fresh watercourse","BLACKWATER (THAMES)",33208,1,"SU",88460,51967,"SU8846051967","GB106039017180",68,1,7.49,1,7,65,4,8,17,71,169,NA,NA,NA,"1995-01-01","1990-01-11","2014-09-11",23,FALSE,1,1629,"BLACKWATER (THAMES)","SU8846051967",551225,1,"",2006-10-10,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","Local monitoring",547078,"2007-04-02","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",13,52,4,14,49.1,3.51,11,20,1.82,3,3,3,5.45,8,36,4.5,2,6.53,30.63,1.75,6.11,28.64,12,77,6.42,12,74,6.17,2,26,7.69,7,29,24.14,14,53.2,3.8,"No",2006,10,"CA43E42C-4C06-4678-AC34-7C7D5CE8B257","TH-PLDR0002",0.00266666666666667,6.86,0.205666666666667,19.9966666666667,0.232,7.47666666666667,6.03666666666667,75.6,0.0950333333333333,5.94333333333333,1,NA,NA,3,"CA43E42C-4C06-4678-AC34-7C7D5CE8B257",112,423,0,15,0,17,2,0,90,7,18,666,1,2
"2",180,"THAMES - SOUTH EAST","LODDON","RIVER: Natural/semi-natural flowing fresh watercourse","BLACKWATER (THAMES)",33209,1,"SU",88150,49870,"SU8815049870","GB106039017180",71,2.5,4.853,1,5,48.33,4,8,12,77,136,NA,NA,NA,"1995-01-01","1990-03-08","2006-10-10",24,FALSE,1,1642,"BLACKWATER (THAMES)","SU8815049870",550931,1,"",2006-10-10,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","Local Investigative monitoring",546859,"2007-03-26","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",21,87,4.14,22,76.6,3.48,20,28,1.4,3,3,3,4.2,14,54,3.86,10.13,18.22,55.6,6.5,11.84,54.9,19,123,6.47,24,156,6.5,14,62,22.58,19,53,35.85,22,88,4,"No",2006,10,"B760D71D-6C27-4AAC-B43B-CAFE95CAD984","TH-PLDR0003",0.001425,7.45,0.216,18.085,0.114,7.595,0.3,79.05,0.02765,0.2725,2.15,NA,NA,28.5,"B760D71D-6C27-4AAC-B43B-CAFE95CAD984",2204,1700,22,1,151,1,200,0,1003,377,32,5660,4,351
"3",181,"THAMES - SOUTH EAST","LODDON","RIVER: Natural/semi-natural flowing fresh watercourse","BLACKWATER (THAMES)",33210,1,"SU",86028,59101,"SU8602859101","GB106039017290",59,1,15.62,2,8.8,88.33,1,22,17,61,114,NA,NA,NA,"1995-01-01","1990-01-11","2009-10-15",16,FALSE,1,1650,"BLACKWATER (THAMES)","SU8602859101",547313,1,"",2006-11-03,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",542293,"2006-12-20","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",22,119,5.41,24,119.7,4.99,NA,NA,NA,NA,NA,NA,NA,18,74,4.11,0.5,0.5,100,4.26,8.16,52.21,21,141,6.71,NA,NA,NA,NA,4,0,15,39,38.46,24,120.6,5.03,"No",2006,11,"CCAE63D1-BB5C-4B9A-9D11-05DE7AC643A1","TH-PLDR0004",0.000705,8.25,0.125,19.025,0.0485,7.605,3.79,89.2,0.03145,3.76,1,NA,NA,NA,"CCAE63D1-BB5C-4B9A-9D11-05DE7AC643A1",101,270,1,30,68,51,12,0,22,26,24,582,7,80
"4",194,"THAMES - SOUTH EAST","MOLE","RIVER: Natural/semi-natural flowing fresh watercourse","BURSTOW STREAM",33236,1,"TQ",27610,45100,"TQ2761045100","GB106039017520",51,1.2,15.392,1,2.8,25,17,32,35,17,101,NA,NA,NA,"1995-01-01","1990-03-29","2013-09-20",33,FALSE,1,1785,"BURSTOW STREAM","TQ2761045100",547705,1,"",2006-10-31,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",542798,"2007-01-09","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",16,75,4.69,17,72.1,4.24,NA,NA,NA,NA,NA,NA,NA,12,56,4.67,0.5,0.99,50.51,1.76,4.92,35.77,14,92,6.57,NA,NA,NA,NA,3,0,11,30,36.67,17,74.8,4.4,"No",2006,10,"4F4AB276-1FF9-40E9-8BC7-A0FB63CBAE3E","TH-PMLR0003",0.00132333333333333,6.11666666666667,0.926333333333333,17.1666666666667,0.155333333333333,7.46666666666667,10.41,63.5333333333333,0.0883,10.33,2.76666666666667,NA,NA,NA,"4F4AB276-1FF9-40E9-8BC7-A0FB63CBAE3E",32,220,0,0,17,9,2,0,404,23,17,707,4,19
"5",218,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","VER",33449,1,"TL",12748,8590,"TL1274808590","GB106039029920",82,1.3,15.2,1,3,29,2,77,9,13,243.5,NA,NA,NA,"1995-01-01","1997-01-13","2021-04-07",48,FALSE,1,1969,"VER","TL1274808590",545126,1,"",2006-11-07,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",543862,"2007-01-30","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",10,49,4.9,12,59.6,4.97,10,17,1.7,5,1,5,8.5,7,33,4.71,4,5.84,68.49,2.25,2.73,82.42,8,60,7.5,10,73,7.3,9,18,50,11,20,55,12,60.8,5.07,"No",2006,11,"274E5E06-0E2B-4FAE-9DB4-32C45668B7D6","TH-PCNR0093",0.000561111111111111,8.34444444444444,0.0281111111111111,15.9655555555556,0.0312222222222222,7.79444444444444,4.34444444444444,84.6444444444444,0.0212888888888889,4.32555555555556,1,6.43333333333333,NA,NA,"274E5E06-0E2B-4FAE-9DB4-32C45668B7D6",7,306,0,6,5,0,1,0,31,0,17,356,4,6
"6",225,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","GADE",33500,1,"TL",5150,8250,"TL0515008250","GB106039029900",86,1.8,7.75,1,5.6,28.5,0,32,10,58,256,NA,NA,NA,"2012-10-04","1996-06-21","2020-10-09",51,FALSE,1,2125,"GADE","TL0515008250",547689,1,"",2006-11-06,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",542624,"2006-11-06","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",21,106,5.05,28,126.6,4.52,25,34,1.36,3,5,5,6.8,22,100,4.55,5.13,15.8,32.47,3.26,10.32,31.59,23,148,6.43,28,186,6.64,9,57,15.79,15,50,30,28,129.5,4.63,"No",2006,11,"94687830-A9BA-4102-84F6-5BA43AC3B41A","TH-PCNR0332",0.000611666666666667,5.49833333333333,0.03,15.4416666666667,0.0368571428571429,7.78333333333333,1.57,54.9,0.0157428571428571,1.55428571428571,1.01428571428571,NA,NA,NA,"94687830-A9BA-4102-84F6-5BA43AC3B41A",47,86,0,13,11,21,28,0,95,933,38,1240,6,39
"7",298,"THAMES - NORTH EAST","LEE","RIVER: Natural/semi-natural flowing fresh watercourse","SALMON BROOK",33825,1,"TQ",35300,93200,"TQ3530093200","GB106038027960",15,2,12.38,1,3,15.33,8,58,20,14,183,NA,NA,NA,"1995-01-01","1992-06-17","2019-11-21",22,FALSE,1,2753,"SALMON BROOK","TQ3530093200",545049,1,"",2006-10-30,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",540101,"2006-11-02","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",16,66,4.13,17,59.2,3.48,NA,NA,NA,NA,NA,NA,NA,11,42,3.82,NA,NA,NA,NA,5.61,0,15,80,5.33,NA,NA,NA,NA,4,0,NA,41,0,17,64.6,3.8,"No",2006,10,"B6CA56B7-95EB-4DD2-9522-CE04B7C3588F","TH-PLER0134",NA,NA,0.705,18.28,0.72,8.12,3.1,116.9,NA,NA,5.65,29.6,NA,NA,"B6CA56B7-95EB-4DD2-9522-CE04B7C3588F",320,404,2,3,7,0,10,0,90,484,18,1330,2,17
"8",313,"THAMES - NORTH EAST","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","CRIPSEY BROOK",33853,1,"TL",49030,5850,"TL4903005850","GB106037033480",64,2,2.7,1,2.1,13.67,1,59,18,22,231.5,NA,NA,NA,"1995-01-01","1992-04-23","2014-09-24",19,FALSE,1,2894,"CRIPSEY BROOK","TL4903005850",544264,1,"",2006-10-18,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",541055,"2006-10-19","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",19,88,4.63,21,91.6,4.36,NA,NA,NA,NA,NA,NA,NA,14,56,4,0.63,0.63,100,2.5,6.62,37.76,18,113,6.28,NA,NA,NA,NA,3,0,9,33,27.27,21,93.1,4.43,"No",2006,10,"70EE52B8-C61B-4A3D-9DFD-C7B29A556A81","TH-PRGR0011",0.00164333333333333,8.65666666666667,1.02566666666667,15.3333333333333,0.0776666666666667,7.94,5.81666666666667,86.6666666666667,0.0553,5.76333333333333,1.23333333333333,NA,NA,NA,"70EE52B8-C61B-4A3D-9DFD-C7B29A556A81",88,416,0,3,32,1,16,0,52,24,21,634,4,48
"9",361,"THAMES - NORTH EAST","BRENT","RIVER: Natural/semi-natural flowing fresh watercourse","BRENT",34007,1,"TQ",15100,80140,"TQ1510080140","GB106039023590",11,0.6,36,2,9.9,24.67,19,47,19,15,190,NA,NA,NA,"1995-01-01","1988-08-01","2018-09-14",28,FALSE,1,3343,"BRENT","TQ1510080140",545384,1,"",2006-11-09,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",542626,"2006-11-10","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",12,43,3.58,13,39.9,3.07,NA,NA,NA,NA,NA,NA,NA,7,26,3.71,NA,NA,NA,1.01,3.68,27.45,11,67,6.09,NA,NA,NA,NA,4,0,4,26,15.38,13,47.6,3.66,"No",2006,11,"025869E1-5F53-4AE6-91C6-E6F6EC8A65C8","TH-PBRR0011",0.00764666666666667,5.9,0.586333333333333,19.56,0.240333333333333,7.92333333333333,1.39333333333333,64.6,0.410333333333333,0.985666666666667,7.53333333333333,NA,NA,NA,"025869E1-5F53-4AE6-91C6-E6F6EC8A65C8",806,318,4,1,0,0,0,0,16,15,13,1160,0,0
"10",394,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","CHESS",34045,1,"SU",98400,99400,"SU9840099400","GB106039029870",87,1.4,4.55,2,8.7,41.67,0,0,13,87,250,NA,NA,NA,"1995-01-01","1990-04-02","2006-10-25",22,FALSE,1,3847,"CHESS","SU9840099400",544543,1,"",2006-10-25,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",539949,"2006-10-27","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",23,112,4.87,27,120.5,4.46,NA,NA,NA,NA,NA,NA,NA,20,90,4.5,1,1.49,67.11,4,10.12,39.53,22,134,6.09,NA,NA,NA,NA,4,0,11,48,22.92,27,123.2,4.56,"No",2006,10,"63A05CD1-6C28-46AF-ADA3-BDC6A1897DC4","TH-PCNR0014",0.00308,7.91,0.569666666666667,19.3233333333333,0.148,7.78333333333333,25.0333333333333,85.9333333333333,0.273,24.7666666666667,1.63333333333333,NA,NA,NA,"63A05CD1-6C28-46AF-ADA3-BDC6A1897DC4",140,511,0,32,146,65,200,0,65,80,29,1279,5,346
