"","X.x","AGENCY_AREA","CATCHMENT","WATERBODY_TYPE_DESCRIPTION","WATER_BODY.x","SITE_ID","SITE_VERSION","NGR_PREFIX","EASTING","NORTHING","NGR_10_FIG.x","WFD_WATERBODY_ID","ALTITUDE","SLOPE","DIST_FROM_SOURCE","DISCHARGE","WIDTH","DEPTH","BOULDERS_COBBLES","PEBBLES_GRAVEL","SAND","SILT_CLAY","ALKALINITY","CONDUCTIVITY","TOTAL_HARDNESS","CALCIUM","BASE_DATA_DATE","MIN_SAMPLE_DATE","MAX_SAMPLE_DATE","COUNT_OF_SAMPLES","ECN_SITE_INV","SAMPLES_PER_SITE","X.y","WATER_BODY.y","NGR_10_FIG.y","SAMPLE_ID","SAMPLE_VERSION","REPLICATE_CODE","SAMPLE_DATE","SAMPLE_TYPE_DESCRIPTION","SAMPLE_METHOD_DESCRIPTION","SAMPLE_REASON","ANALYSIS_ID","DATE_OF_ANALYSIS","ANALYSIS_TYPE_DESCRIPTION","ANALYSIS_METHOD_DESCRIPTION","BMWP_N_TAXA","BMWP_TOTAL","BMWP_ASPT","WHPT_N_TAXA","WHPT_TOTAL","WHPT_ASPT","CCI_N_TAXA","CCI_CS_TOTAL","CCI_ASPT","CSmax_CoS","BMWP_CoS","CCI_CoS","CCI","DEHLI_N_TAXA","DIS_TOTAL","DEHLI","EPSI_ML_S_GRP","EPSI_ML_ALL_GRP","EPSI_MIXED_LEVEL_SCORE","EPSI_S_GRP","EPSI_ALL_GRP","EPSI_FAMILY_SCORE","LIFE_N_TAXA","LIFE_SCORES_TOTAL","LIFE_FAMILY_INDEX","LIFE_SPECIES_N_TAXA","LIFE_SPECIES_SCORES_TOTAL","LIFE_SPECIES_INDEX","PSI_ML_AB","PSI_ML_ABCD","PSI_MIXED_LEVEL_SCORE","PSI_AB","PSI_ABCD","PSI_FAMILY_SCORE","WHPT_NW_N_TAXA","WHPT_NW_TOTAL","WHPT_NW_ASPT","IS_THIRD_PARTY_DATA","SAMPLE_DATE_YEAR","SAMPLE_DATE_MONTH","identifier.x","sample.samplingPoint.notation","Ammoniacal Nitrogen as N_mg/l","BOD : 5 Day ATU_mg/l","pH_phunits","Nitrate as N_mg/l","Oxygen, Dissolved, % Saturation_%","Nitrogen, Total Oxidised as N_mg/l","Orthophosphate, reactive as P_mg/l","Ammonia un-ionised as N_mg/l","Nitrite as N_mg/l","Oxygen, Dissolved as O2_mg/l","Temperature of Water_cel","Solids, Suspended at 105 C_mg/l","Phosphorus, Total as P_mg/l","Chlorophyll : Acetone Extract_ug/l","identifier.y","annelid","crustacean","flatworm (Turbellaria)","insect - beetle (Coleoptera)","insect - caddis fly (Trichoptera)","insect - dragonfly (Odonata)","insect - mayfly (Ephemeroptera)","insect - stonefly (Plecoptera)","insect - true fly (Diptera)","mollusc","macro_richness","total_abundance","ept_richness","ept_abundance"
"1",178,"THAMES - WEST","THAME","RIVER: Natural/semi-natural flowing fresh watercourse","BEAR BROOK",33206,1,"SP",78602,14611,"SP7860214611","GB106039030350",80,10,12.7,1,4.1,71.33,0,30,33,37,231,NA,NA,NA,"1995-01-01","1990-03-21","2013-10-23",21,FALSE,1,1620,"BEAR BROOK","SP7860214611",558329,1,"",2007-09-26,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",553195,"2007-10-10","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",10,44,4.4,11,41.5,3.77,5,11,2.2,5,1,5,11,7,36,5.14,1.5,2.36,63.56,1.25,2.48,50.4,9,61,6.78,7,48,6.86,4,13,30.77,5,14,35.71,11,41.7,3.79,"No",2007,9,"178E221D-9B9D-4BEA-976F-22FD19CFB86F","TH-PTAR0003",0.0373333333333333,1.33333333333333,8.01333333333333,3.44333333333333,93.0666666666667,3.48,0.170333333333333,0.000963333333333333,0.0377333333333333,9.39,14.8666666666667,NA,NA,NA,"178E221D-9B9D-4BEA-976F-22FD19CFB86F",3,10,0,0,0,9,5,0,10,12,12,49,2,5
"2",183,"THAMES - SOUTH EAST","LODDON","RIVER: Natural/semi-natural flowing fresh watercourse","BLACKWATER (THAMES)",33213,1,"SU",74270,63450,"SU7427063450","GB106039017290",45,0.8,30.85,4,11.7,75.67,2,43,33,22,119,NA,NA,NA,"1995-01-01","1995-03-13","2014-09-17",27,FALSE,1,1676,"BLACKWATER (THAMES)","SU7427063450",562966,1,"",2007-11-16,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",556721,"2007-12-14","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",23,142,6.17,25,143.7,5.75,NA,NA,NA,NA,NA,NA,NA,16,84,5.25,1,1,100,7.01,10.88,64.43,22,157,7.14,1,9,9,3,6,50,23,42,54.76,25,145.3,5.81,"No",2007,11,"C50A9132-F86B-4BDD-9275-F52796433D99","TH-PLDR0007",0.0366666666666667,1.43333333333333,7.61,5.48333333333333,89.1666666666667,5.50666666666667,0.106666666666667,0.000486666666666667,0.0199666666666667,8.44666666666667,17.7266666666667,NA,NA,NA,"C50A9132-F86B-4BDD-9275-F52796433D99",40,57,0,30,27,1,21,0,39,49,25,264,12,48
"3",185,"THAMES - WEST","AMPNEY BROOK","RIVER: Natural/semi-natural flowing fresh watercourse","AMPNEY BROOK",33217,1,"SU",10482,95164,"SU1048295164","GB106039030300",80,0.7,11.26,3,5,25,0,55,28,18,221,NA,NA,NA,"1995-01-01","1990-04-30","2007-10-31",21,FALSE,1,1711,"AMPNEY BROOK","SU1048295164",566979,1,"",2007-10-31,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",561601,"2008-01-15","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",25,150,6,30,189,6.3,NA,NA,NA,NA,NA,NA,NA,23,124,5.39,3.63,4,90.75,11.77,15.17,77.59,24,186,7.75,NA,NA,NA,NA,3,0,35,52,67.31,30,182.2,6.07,"No",2007,10,"966DD2C9-3F21-42B5-B9B6-1EF8636FB9B9","TH-PUTR0002",0.03,1,8.2,8.345,102.05,8.355,0.078,0.000725,0.0118,10.5,13.89,5.3,NA,NA,"966DD2C9-3F21-42B5-B9B6-1EF8636FB9B9",52,327,0,278,41,0,393,2,187,67,32,1347,12,436
"4",194,"THAMES - SOUTH EAST","MOLE","RIVER: Natural/semi-natural flowing fresh watercourse","BURSTOW STREAM",33236,1,"TQ",27610,45100,"TQ2761045100","GB106039017520",51,1.2,15.392,1,2.8,25,17,32,35,17,101,NA,NA,NA,"1995-01-01","1990-03-29","2013-09-20",33,FALSE,1,1789,"BURSTOW STREAM","TQ2761045100",607696,1,"",2007-09-03,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",599229,"2007-09-04","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",20,100,5,23,105.4,4.58,NA,NA,NA,NA,NA,NA,NA,15,73,4.87,0.5,0.5,100,3.01,5.93,50.76,20,136,6.8,NA,NA,NA,NA,4,0,14,34,41.18,23,110.9,4.82,"No",2007,9,"4F4AB276-1FF9-40E9-8BC7-A0FB63CBAE3E","TH-PMLR0003",0.2395,2.65,7.39,6.15,63.45,6.235,0.387,0.001405,0.08325,6.36,15.215,NA,NA,NA,"4F4AB276-1FF9-40E9-8BC7-A0FB63CBAE3E",392,99,0,2,8,93,6,0,185,11,23,799,7,14
"5",218,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","VER",33449,1,"TL",12748,8590,"TL1274808590","GB106039029920",82,1.3,15.2,1,3,29,2,77,9,13,243.5,NA,NA,NA,"1995-01-01","1997-01-13","2021-04-07",48,FALSE,1,1971,"VER","TL1274808590",561523,1,"",2007-11-22,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",557036,"2007-12-13","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",11,53,4.82,13,63.4,4.88,7,8,1.14,1,3,3,3.43,8,38,4.75,5,6.47,77.28,3,4.23,70.92,10,72,7.2,9,64,7.11,8,22,36.36,12,26,46.15,13,61.2,4.71,"No",2007,11,"274E5E06-0E2B-4FAE-9DB4-32C45668B7D6","TH-PCNR0093",0.03,1,7.69,4.872,87.48,4.896,0.0292,0.000408,0.02366,8.902,14.422,7.2,NA,NA,"274E5E06-0E2B-4FAE-9DB4-32C45668B7D6",7,203,0,1,8,0,27,0,77,0,14,323,5,35
"6",225,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","GADE",33500,1,"TL",5150,8250,"TL0515008250","GB106039029900",86,1.8,7.75,1,5.6,28.5,0,32,10,58,256,NA,NA,NA,"2012-10-04","1996-06-21","2020-10-09",51,FALSE,1,2127,"GADE","TL0515008250",557374,1,"",2007-09-18,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",552492,"2007-09-21","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",16,78,4.88,19,91.9,4.84,13,21,1.62,5,3,5,8.08,15,76,5.07,6,8.95,67.04,3.26,6.41,50.86,14,94,6.71,16,113,7.06,10,30,33.33,15,32,46.88,19,95.5,5.03,"No",2007,9,"94687830-A9BA-4102-84F6-5BA43AC3B41A","TH-PCNR0332",0.03,2.9,7.87,4.67,101.1,4.7,0.023,0.00063,0.0291,9.96,15.96,NA,NA,NA,"94687830-A9BA-4102-84F6-5BA43AC3B41A",40,200,0,0,8,0,17,0,89,184,24,540,8,25
"7",276,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","VER",33750,1,"TL",10949,11734,"TL1094911734","GB106039029920",92,1.6,10.57,1,4,20,1,22,0,77,256.8,NA,NA,NA,"2003-01-01","1993-04-05","2020-10-07",53,FALSE,1,2597,"VER","TL1094911734",561510,1,"",2007-11-22,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",557423,"2008-01-08","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",8,30,3.75,9,34.9,3.88,5,6,1.2,1,1,1,1.2,6,23,3.83,2,4.33,46.19,NA,1.47,0,6,38,6.33,6,36,6,3,19,15.79,5,19,26.32,9,36.3,4.03,"No",2007,11,"E428390B-78DD-42D1-A43A-E3AB1C798E48","TH-PCNR0090",0.03,1,7.55333333333333,5.72,91.4666666666667,5.73333333333333,0.0316666666666667,0.000293333333333333,0.0126,9.30666666666667,14.48,NA,NA,NA,"E428390B-78DD-42D1-A43A-E3AB1C798E48",100,173,4,0,6,0,0,0,71,74,10,428,1,6
"8",298,"THAMES - NORTH EAST","LEE","RIVER: Natural/semi-natural flowing fresh watercourse","SALMON BROOK",33825,1,"TQ",35300,93200,"TQ3530093200","GB106038027960",15,2,12.38,1,3,15.33,8,58,20,14,183,NA,NA,NA,"1995-01-01","1992-06-17","2019-11-21",22,FALSE,1,2755,"SALMON BROOK","TQ3530093200",560907,1,"",2007-11-13,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",554615,"2007-11-14","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",11,44,4,11,36.7,3.34,NA,NA,NA,NA,NA,NA,NA,7,26,3.71,NA,NA,NA,NA,3.64,0,10,55,5.5,NA,NA,NA,NA,3,0,3,28,10.71,11,41.7,3.79,"No",2007,11,"B6CA56B7-95EB-4DD2-9522-CE04B7C3588F","TH-PLER0129",0.135,2.6,7.695,1.1095,40.85,1.245,0.313,0.002395,0.13375,3.82,18.48,NA,NA,NA,"B6CA56B7-95EB-4DD2-9522-CE04B7C3588F",179,614,10,0,2,0,0,0,0,825,12,1657,1,2
"9",361,"THAMES - NORTH EAST","BRENT","RIVER: Natural/semi-natural flowing fresh watercourse","BRENT",34007,1,"TQ",15100,80140,"TQ1510080140","GB106039023590",11,0.6,36,2,9.9,24.67,19,47,19,15,190,NA,NA,NA,"1995-01-01","1988-08-01","2018-09-14",28,FALSE,1,3345,"BRENT","TQ1510080140",557048,1,"",2007-09-13,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",552235,"2007-09-17","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",9,29,3.22,10,26,2.6,5,5,1,1,1,1,1,6,22,3.67,0.5,3.05,16.39,NA,1.72,0,8,45,5.63,7,39,5.57,1,19,5.26,1,21,4.76,10,31.4,3.14,"No",2007,9,"025869E1-5F53-4AE6-91C6-E6F6EC8A65C8","TH-PBRR0011",0.146,4.2,8.075,2.955,88,3.15,0.4015,0.003985,0.1955,8.655,15.915,NA,NA,NA,"025869E1-5F53-4AE6-91C6-E6F6EC8A65C8",310,186,6,0,0,0,0,0,30,12,12,547,0,0
"10",366,"THAMES - NORTH EAST","LEE","RIVER: Natural/semi-natural flowing fresh watercourse","LEE (THAMES)",34014,1,"TL",38500,8200,"TL3850008200","GB106038077851",28,0.6,57.51,5,20.8,176.67,1,14,17,68,224,NA,NA,NA,"1995-01-01","1975-01-15","2016-09-09",43,FALSE,1,3445,"LEE (THAMES)","TL3850008200",559657,1,"",2007-10-09,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",560122,"2008-01-28","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",11,38,3.45,11,35.3,3.21,NA,NA,NA,NA,NA,NA,NA,6,18,3,NA,NA,NA,NA,3.44,0,9,50,5.56,NA,NA,NA,NA,3,0,NA,21,0,11,34.8,3.16,"No",2007,10,"F00A2255-F0DC-4EC4-8C04-2EB3B18BC1EB","TH-PLER0060",0.057,1.96666666666667,7.88333333333333,8.40333333333333,111.766666666667,8.47333333333333,0.304333333333333,0.00148,0.0690666666666667,10.24,19.31,9.73333333333333,NA,26.2666666666667,"F00A2255-F0DC-4EC4-8C04-2EB3B18BC1EB",51,282,0,0,0,0,0,0,11,41,12,388,0,0
