"","X.x","AGENCY_AREA","CATCHMENT","WATERBODY_TYPE_DESCRIPTION","WATER_BODY.x","SITE_ID","SITE_VERSION","NGR_PREFIX","EASTING","NORTHING","NGR_10_FIG.x","WFD_WATERBODY_ID","ALTITUDE","SLOPE","DIST_FROM_SOURCE","DISCHARGE","WIDTH","DEPTH","BOULDERS_COBBLES","PEBBLES_GRAVEL","SAND","SILT_CLAY","ALKALINITY","CONDUCTIVITY","TOTAL_HARDNESS","CALCIUM","BASE_DATA_DATE","MIN_SAMPLE_DATE","MAX_SAMPLE_DATE","COUNT_OF_SAMPLES","ECN_SITE_INV","SAMPLES_PER_SITE","X.y","WATER_BODY.y","NGR_10_FIG.y","SAMPLE_ID","SAMPLE_VERSION","REPLICATE_CODE","SAMPLE_DATE","SAMPLE_TYPE_DESCRIPTION","SAMPLE_METHOD_DESCRIPTION","SAMPLE_REASON","ANALYSIS_ID","DATE_OF_ANALYSIS","ANALYSIS_TYPE_DESCRIPTION","ANALYSIS_METHOD_DESCRIPTION","BMWP_N_TAXA","BMWP_TOTAL","BMWP_ASPT","WHPT_N_TAXA","WHPT_TOTAL","WHPT_ASPT","CCI_N_TAXA","CCI_CS_TOTAL","CCI_ASPT","CSmax_CoS","BMWP_CoS","CCI_CoS","CCI","DEHLI_N_TAXA","DIS_TOTAL","DEHLI","EPSI_ML_S_GRP","EPSI_ML_ALL_GRP","EPSI_MIXED_LEVEL_SCORE","EPSI_S_GRP","EPSI_ALL_GRP","EPSI_FAMILY_SCORE","LIFE_N_TAXA","LIFE_SCORES_TOTAL","LIFE_FAMILY_INDEX","LIFE_SPECIES_N_TAXA","LIFE_SPECIES_SCORES_TOTAL","LIFE_SPECIES_INDEX","PSI_ML_AB","PSI_ML_ABCD","PSI_MIXED_LEVEL_SCORE","PSI_AB","PSI_ABCD","PSI_FAMILY_SCORE","WHPT_NW_N_TAXA","WHPT_NW_TOTAL","WHPT_NW_ASPT","IS_THIRD_PARTY_DATA","SAMPLE_DATE_YEAR","SAMPLE_DATE_MONTH","identifier.x","sample.samplingPoint.notation","Orthophosphate, reactive as P_mg/l","Oxygen, Dissolved as O2_mg/l","Ammoniacal Nitrogen as N_mg/l","Nitrate as N_mg/l","Temperature of Water_cel","pH_phunits","Oxygen, Dissolved, % Saturation_%","Nitrogen, Total Oxidised as N_mg/l","Ammonia un-ionised as N_mg/l","Nitrite as N_mg/l","Solids, Suspended at 105 C_mg/l","BOD : 5 Day ATU_mg/l","Phosphorus, Total as P_mg/l","Chlorophyll : Acetone Extract_ug/l","identifier.y","annelid","crustacean","flatworm (Turbellaria)","insect - beetle (Coleoptera)","insect - caddis fly (Trichoptera)","insect - dragonfly (Odonata)","insect - mayfly (Ephemeroptera)","insect - stonefly (Plecoptera)","insect - true fly (Diptera)","mollusc","macro_richness","total_abundance","ept_richness","ept_abundance"
"1",179,"THAMES - SOUTH EAST","LODDON","RIVER: Natural/semi-natural flowing fresh watercourse","BLACKWATER (THAMES)",33208,1,"SU",88460,51967,"SU8846051967","GB106039017180",68,1,7.49,1,7,65,4,8,17,71,169,NA,NA,NA,"1995-01-01","1990-01-11","2014-09-11",23,FALSE,1,1631,"BLACKWATER (THAMES)","SU8846051967",580526,1,"",2008-10-23,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",572794,"2008-10-30","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",18,85,4.72,20,74.7,3.74,NA,NA,NA,NA,NA,NA,NA,12,51,4.25,1.5,1.5,100,2.25,7.12,31.6,17,103,6.06,NA,NA,NA,NA,3,0,10,39,25.64,20,79.5,3.98,"No",2008,10,"CA43E42C-4C06-4678-AC34-7C7D5CE8B257","TH-PLDR0002",0.773,6.67333333333333,0.144333333333333,5.88333333333333,17.5666666666667,7.50666666666667,69.9333333333333,5.96666666666667,0.00148,0.0823666666666667,6.5,1.1,NA,4.1,"CA43E42C-4C06-4678-AC34-7C7D5CE8B257",40,171,10,13,18,22,3,0,140,163,21,581,3,21
"2",183,"THAMES - SOUTH EAST","LODDON","RIVER: Natural/semi-natural flowing fresh watercourse","BLACKWATER (THAMES)",33213,1,"SU",74270,63450,"SU7427063450","GB106039017290",45,0.8,30.85,4,11.7,75.67,2,43,33,22,119,NA,NA,NA,"1995-01-01","1995-03-13","2014-09-17",27,FALSE,1,1678,"BLACKWATER (THAMES)","SU7427063450",580501,1,"",2008-10-23,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",573620,"2008-11-11","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",17,100,5.88,18,100.6,5.59,NA,NA,NA,NA,NA,NA,NA,13,72,5.54,0.5,0.5,100,5.51,9.15,60.22,16,115,7.19,NA,NA,NA,NA,3,0,16,33,48.48,18,99.4,5.52,"No",2008,10,"C50A9132-F86B-4BDD-9275-F52796433D99","TH-PLDR0007",0.2115,9.06,0.06075,6.75,17.5225,7.725,95.075,6.79,0.001115,0.041475,NA,NA,NA,NA,"C50A9132-F86B-4BDD-9275-F52796433D99",20,61,1,30,37,7,51,0,21,41,18,269,7,88
"3",218,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","VER",33449,1,"TL",12748,8590,"TL1274808590","GB106039029920",82,1.3,15.2,1,3,29,2,77,9,13,243.5,NA,NA,NA,"1995-01-01","1997-01-13","2021-04-07",48,FALSE,1,1975,"VER","TL1274808590",581769,1,"",2008-11-05,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",586484,"2008-11-05","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",11,52,4.73,14,65.8,4.7,13,29,2.23,5,3,5,11.15,9,50,5.56,6,8.95,67.04,2.5,4.67,53.53,10,73,7.3,14,101,7.21,11,30,36.67,14,28,50,14,66.5,4.75,"No",2008,11,"274E5E06-0E2B-4FAE-9DB4-32C45668B7D6","TH-PCNR0093",0.0402857142857143,9.63571428571429,0.0318571428571429,5.49142857142857,14.7714285714286,7.655,95.1857142857143,5.51285714285714,0.0003675,0.0203285714285714,8.33333333333333,NA,NA,NA,"274E5E06-0E2B-4FAE-9DB4-32C45668B7D6",70,79,0,0,22,0,10,0,131,41,20,355,4,32
"4",276,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","VER",33750,1,"TL",10949,11734,"TL1094911734","GB106039029920",92,1.6,10.57,1,4,20,1,22,0,77,256.8,NA,NA,NA,"2003-01-01","1993-04-05","2020-10-07",53,FALSE,1,2601,"VER","TL1094911734",581757,1,"",2008-11-05,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",586481,"2008-11-05","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",13,54,4.15,14,58.2,4.16,11,17,1.55,3,3,3,4.64,9,44,4.89,4.5,7.19,62.59,2.27,3.74,60.7,11,76,6.91,11,75,6.82,9,25,36,11,26,42.31,14,61.6,4.4,"No",2008,11,"E428390B-78DD-42D1-A43A-E3AB1C798E48","TH-PCNR0090",0.08575,8.28,0.031,6.755,14.9625,7.44,82.325,6.7825,0.00023,0.030675,NA,NA,NA,NA,"E428390B-78DD-42D1-A43A-E3AB1C798E48",102,320,5,0,81,0,6,0,33,8,14,555,3,87
"5",368,"THAMES - NORTH EAST","BEANE","RIVER: Natural/semi-natural flowing fresh watercourse","BEANE",34017,1,"TL",29771,19790,"TL2977119790","GB106038033310",58,2,18.41,2,4.2,13.67,10,72,10,8,203,NA,NA,NA,"1995-01-01","1990-04-09","2020-10-06",82,FALSE,1,3488,"BEANE","TL2977119790",580176,1,"",2008-10-21,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",599307,"2010-03-09","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",18,87,4.83,19,86.6,4.56,22,34,1.55,5,3,5,7.73,13,60,4.62,7.13,12.52,56.95,4.79,7.44,64.38,16,114,7.13,24,163,6.79,15,50,30,17,36,47.22,19,89.2,4.69,"No",2008,10,"9A0DCC33-D666-4C01-A7AB-02B7B6476AC2","TH-PLER0012",0.046,8.24333333333333,0.0563333333333333,2.61,16.24,7.66666666666667,84.0666666666667,2.65666666666667,0.000716666666666667,0.0466333333333333,7.73333333333333,2.23333333333333,NA,NA,"9A0DCC33-D666-4C01-A7AB-02B7B6476AC2",94,1012,1,1,15,0,23,0,31,160,29,1338,6,38
"6",372,"THAMES - NORTH EAST","THAMES SOURCE TO TEDDINGTON (NE SECTION)","RIVER: Natural/semi-natural flowing fresh watercourse","ASH (THAMES)",34021,1,"TQ",9300,67770,"TQ0930067770","GB106039023480",9,0.5,9.59,1,4.3,20.33,2,72,21,5,220,NA,NA,NA,"1995-01-01","1989-01-23","2019-11-08",54,FALSE,1,3583,"ASH (THAMES)","TQ0930067770",583558,1,"",2008-11-25,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",580873,"2009-02-05","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",25,121,4.84,29,138.2,4.77,NA,NA,NA,NA,NA,NA,NA,17,69,4.06,1,1,100,5.51,10.42,52.88,26,171,6.58,NA,NA,NA,NA,3,0,19,49,38.78,29,137.2,4.73,"No",2008,11,"AA26F4BD-5A23-4D9E-B387-57ABDD3E8B3F","TH-PTHR0005",0.157,6.16,0.143,5.27,17.93,7.68,65.1,5.4,0.00226,0.134,NA,NA,NA,NA,"AA26F4BD-5A23-4D9E-B387-57ABDD3E8B3F",42,340,8,70,79,0,21,0,72,150,29,782,8,100
"7",390,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","FRAYS RIVER",34041,1,"TQ",5400,79000,"TQ0540079000","GB106039023090",25,1,48.48,3,9.3,29.33,8,69,18,4,222,NA,NA,NA,"1995-01-01","1990-03-20","2008-11-21",23,FALSE,1,3790,"FRAYS RIVER","TQ0540079000",583179,1,"",2008-11-21,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",577914,"2009-01-06","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",20,109,5.45,21,112.8,5.37,NA,NA,NA,NA,NA,NA,NA,15,75,5,0.5,0.5,100,4.74,7.66,61.88,19,135,7.11,NA,NA,NA,NA,3,0,16,37,43.24,21,111.1,5.29,"No",2008,11,"99F547F7-D5FE-41A1-B675-821D95FC08E8","TH-PCNR0046",0.372666666666667,9.3,0.0346666666666667,7.73333333333333,17.5366666666667,7.97666666666667,97.5333333333333,7.75333333333333,0.00099,0.0177666666666667,5.8,NA,NA,NA,"99F547F7-D5FE-41A1-B675-821D95FC08E8",81,14,0,12,8,0,21,0,95,10,21,256,6,29
"8",393,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","VER",34044,1,"TL",14222,1418,"TL1422201418","GB106039029920",60,1.7,27.03,2,6.2,39,3,64,17,16,258,NA,NA,NA,"1995-01-01","1990-04-02","2021-04-22",65,FALSE,1,3806,"VER","TL1422201418",581789,1,"",2008-11-06,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",586489,"2008-11-06","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",15,75,5,15,72,4.8,12,17,1.42,3,3,3,4.25,11,58,5.27,6,8.09,74.17,3,5.19,57.8,13,95,7.31,13,99,7.62,14,26,53.85,13,25,52,15,73.6,4.91,"No",2008,11,"78C22281-DD60-4EE9-B5C5-3481DAF21D79","TH-PCNR0088",0.0355,10.43,0.0301666666666667,4.925,15.0416666666667,7.84666666666667,103.516666666667,4.94166666666667,0.00059,0.0171166666666667,9.75,NA,NA,NA,"78C22281-DD60-4EE9-B5C5-3481DAF21D79",42,406,1,9,15,0,12,0,80,22,16,587,5,27
"9",430,"THAMES - NORTH EAST","LEE","RIVER: Natural/semi-natural flowing fresh watercourse","LEE (THAMES)",34148,1,"TL",11874,18297,"TL1187418297","GB106038033392",98,2.3,11.5,1,3.4,11.33,19,64,8,8,184,NA,NA,NA,"1995-01-01","1979-12-03","2020-10-20",55,FALSE,1,4321,"LEE (THAMES)","TL1187418297",582498,1,"",2008-11-13,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",574672,"2008-11-26","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",24,122,5.08,30,138.5,4.62,NA,NA,NA,NA,NA,NA,NA,20,83,4.15,1.13,1.99,56.78,6.26,9.94,62.98,24,159,6.63,NA,NA,NA,NA,3,0,22,54,40.74,30,140.2,4.67,"No",2008,11,"6F9F0E95-A73D-4DFC-9524-3B6F728CB2B4","TH-PLER0050",0.02,9.61,0.061,2.56,16.82,7.8,99.3,2.61,0.00117,0.0489,NA,NA,NA,14,"6F9F0E95-A73D-4DFC-9524-3B6F728CB2B4",73,281,72,2,331,5,101,0,809,98,32,1772,8,432
"10",438,"THAMES - NORTH EAST","STORT","RIVER: Natural/semi-natural flowing fresh watercourse","STORT",34164,1,"TL",49030,17620,"TL4903017620","GB106038033281",52,1.3,27.4,2,20,116.67,0,18,5,77,260,NA,NA,NA,"1995-01-01","1975-01-06","2019-11-08",40,FALSE,1,4459,"STORT","TL4903017620",579240,1,"",2008-10-06,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",571845,"2008-10-10","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",19,90,4.74,21,89.7,4.27,NA,NA,NA,NA,NA,NA,NA,11,46,4.18,NA,NA,NA,0.75,5.16,14.53,19,115,6.05,NA,NA,NA,NA,3,0,7,32,21.88,21,90.8,4.32,"No",2008,10,"BB6A07D1-5FA9-424B-9BB2-BE45FD213D6C","TH-PLER0152",2.4,7.19,0.06,10.3433333333333,18.4966666666667,7.74333333333333,77,10.4266666666667,0.00134333333333333,0.0600333333333333,10.0333333333333,NA,NA,4.2,"BB6A07D1-5FA9-424B-9BB2-BE45FD213D6C",44,230,0,3,45,0,8,0,7,22,22,363,5,53
