"","X.x","AGENCY_AREA","REPORTING_AREA","CATCHMENT","WATERBODY_TYPE_DESCRIPTION","WATER_BODY.x","SITE_ID","SITE_VERSION","NGR_PREFIX","EASTING","NORTHING","NGR_10_FIG.x","WFD_WATERBODY_ID","ALTITUDE","SLOPE","DIST_FROM_SOURCE","DISCHARGE","WIDTH","DEPTH","BOULDERS_COBBLES","PEBBLES_GRAVEL","SAND","SILT_CLAY","ALKALINITY","CONDUCTIVITY","TOTAL_HARDNESS","CALCIUM","BASE_DATA_DATE","MIN_SAMPLE_DATE","MAX_SAMPLE_DATE","COUNT_OF_SAMPLES","ECN_SITE_INV","SAMPLES_PER_SITE","X.y","WATER_BODY.y","NGR_10_FIG.y","SAMPLE_ID","SAMPLE_VERSION","REPLICATE_CODE","SAMPLE_DATE","SAMPLE_TYPE_DESCRIPTION","SAMPLE_METHOD_DESCRIPTION","SAMPLE_REASON","ANALYSIS_ID","DATE_OF_ANALYSIS","ANALYSIS_TYPE_DESCRIPTION","ANALYSIS_METHOD_DESCRIPTION","BMWP_N_TAXA","BMWP_TOTAL","BMWP_ASPT","WHPT_N_TAXA","WHPT_TOTAL","WHPT_ASPT","CCI_N_TAXA","CCI_CS_TOTAL","CCI_ASPT","CSmax_CoS","BMWP_CoS","CCI_CoS","CCI","DEHLI_N_TAXA","DIS_TOTAL","DEHLI","EPSI_ML_S_GRP","EPSI_ML_ALL_GRP","EPSI_MIXED_LEVEL_SCORE","EPSI_S_GRP","EPSI_ALL_GRP","EPSI_FAMILY_SCORE","LIFE_N_TAXA","LIFE_SCORES_TOTAL","LIFE_FAMILY_INDEX","LIFE_SPECIES_N_TAXA","LIFE_SPECIES_SCORES_TOTAL","LIFE_SPECIES_INDEX","PSI_ML_AB","PSI_ML_ABCD","PSI_MIXED_LEVEL_SCORE","PSI_AB","PSI_ABCD","PSI_FAMILY_SCORE","WHPT_NW_N_TAXA","WHPT_NW_TOTAL","WHPT_NW_ASPT","IS_THIRD_PARTY_DATA","SAMPLE_DATE_YEAR","SAMPLE_DATE_MONTH","identifier.x","sample.samplingPoint.notation","Orthophosphate, reactive as P_mg/l","Temperature of Water_cel","Ammoniacal Nitrogen as N_mg/l","pH_phunits","Nitrate as N_mg/l","Nitrite as N_mg/l","Ammonia un-ionised as N_mg/l","Oxygen, Dissolved, % Saturation_%","Nitrogen, Total Oxidised as N_mg/l","Oxygen, Dissolved as O2_mg/l","Solids, Suspended at 105 C_mg/l","BOD : 5 Day ATU_mg/l","Phosphorus, Total as P_mg/l","identifier.y","annelid","crustacean","flatworm (Turbellaria)","insect - beetle (Coleoptera)","insect - caddis fly (Trichoptera)","insect - dragonfly (Odonata)","insect - mayfly (Ephemeroptera)","insect - stonefly (Plecoptera)","insect - true fly (Diptera)","mollusc","macro_richness","total_abundance","ept_richness","ept_abundance"
"1",48,"THAMES - SOUTH EAST","THAMES","LODDON","RIVER: Natural/semi-natural flowing fresh watercourse","BLACKWATER (THAMES)",33210,1,"SU",86028,59101,"SU8602859101","GB106039017290",59,1,15.62,2,8.8,88.33,1,22,17,61,114,NA,NA,NA,"1995-01-01","1990-01-11","2009-10-15",16,FALSE,1,482,"BLACKWATER (THAMES)","SU8602859101",599497,1,"",2009-10-15,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",593664,"2010-01-13","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",21,100,4.76,23,107.5,4.67,NA,NA,NA,NA,NA,NA,NA,15,70,4.67,1.63,1.63,100,6.27,11.15,56.23,21,140,6.67,1,5,5,NA,3,0,20,47,42.55,23,111.4,4.84,"No",2009,10,"CCAE63D1-BB5C-4B9A-9D11-05DE7AC643A1","TH-PLDR0004",0.325333333333333,17.8566666666667,0.03,7.61,4.35333333333333,0.0166333333333333,0.000406666666666667,86.2,4.37,8.18,3.75,1,NA,"CCAE63D1-BB5C-4B9A-9D11-05DE7AC643A1",62,290,0,100,113,20,41,0,111,171,29,911,6,154
"2",50,"THAMES - SOUTH EAST","THAMES","LODDON","RIVER: Natural/semi-natural flowing fresh watercourse","BLACKWATER (THAMES)",33213,1,"SU",74270,63450,"SU7427063450","GB106039017290",45,0.8,30.85,4,11.7,75.67,2,43,33,22,119,NA,NA,NA,"1995-01-01","1995-03-13","2014-09-17",27,FALSE,1,510,"BLACKWATER (THAMES)","SU7427063450",599470,1,"",2009-10-15,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","Local Investigative monitoring",594012,"2010-01-19","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",21,114,5.43,23,132,5.74,15,34,2.27,5,5,5,11.33,17,84,4.94,13.64,19.11,71.38,10.01,14.87,67.32,20,140,7,21,158,7.52,24,52,46.15,23,46,50,23,127.6,5.55,"No",2009,10,"C50A9132-F86B-4BDD-9275-F52796433D99","TH-PLDR0007",0.232333333333333,17.5166666666667,0.032,7.78,9.82333333333333,0.0224666666666667,0.000623333333333333,94.9666666666667,9.83333333333333,9.06,NA,NA,NA,"C50A9132-F86B-4BDD-9275-F52796433D99",41,101,0,240,117,0,200,0,102,203,26,1004,11,317
"3",61,"THAMES - SOUTH EAST","KENT SOUTH LONDON AND EAST SUSSEX","MOLE","RIVER: Natural/semi-natural flowing fresh watercourse","BURSTOW STREAM",33236,1,"TQ",27610,45100,"TQ2761045100","GB106039017520",51,1.2,15.392,1,2.8,25,17,32,35,17,101,NA,NA,NA,"1995-01-01","1990-03-29","2013-09-20",33,FALSE,1,621,"BURSTOW STREAM","TQ2761045100",599836,1,"",2009-10-21,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","Local Investigative monitoring",593609,"2010-01-12","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",11,56,5.09,12,58.1,4.84,NA,NA,NA,NA,NA,NA,NA,6,30,5,0.5,0.5,100,1.01,2.48,40.73,9,64,7.11,NA,NA,NA,NA,4,0,11,21,52.38,12,58.9,4.91,"No",2009,10,"4F4AB276-1FF9-40E9-8BC7-A0FB63CBAE3E","TH-PMLR0003",2.46333333333333,16.6266666666667,0.150666666666667,7.24,10.5466666666667,0.150333333333333,0.0008,67.6333333333333,10.6833333333333,6.57,NA,NA,NA,"4F4AB276-1FF9-40E9-8BC7-A0FB63CBAE3E",170,182,0,0,17,17,0,0,223,2,14,612,3,17
"4",85,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","VER",33449,1,"TL",12748,8590,"TL1274808590","GB106039029920",82,1.3,15.2,1,3,29,2,77,9,13,243.5,NA,NA,NA,"1995-01-01","1997-01-13","2022-09-12",51,FALSE,1,830,"VER","TL1274808590",602106,1,"",2009-11-23,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",591280,"2009-11-24","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",9,49,5.44,11,58.2,5.29,7,11,1.57,5,1,5,7.86,7,45,6.43,4,4.61,86.77,1.76,2.01,87.56,8,61,7.63,8,61,7.63,10,17,58.82,12,18,66.67,11,59.7,5.43,"No",2009,11,"274E5E06-0E2B-4FAE-9DB4-32C45668B7D6","TH-PCNR0093",0.0346666666666667,14.11,0.0313333333333333,7.72666666666667,5.18666666666667,0.0246,0.000416666666666667,84.8,5.21,8.70666666666667,4.9,NA,NA,"274E5E06-0E2B-4FAE-9DB4-32C45668B7D6",1,40,0,0,21,0,4,0,5,0,14,71,6,25
"5",234,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","LEE","RIVER: Natural/semi-natural flowing fresh watercourse","LEE (THAMES)",34014,1,"TL",38500,8200,"TL3850008200","GB106038077851",28,0.6,57.51,5,20.8,176.67,1,14,17,68,224,NA,NA,NA,"1995-01-01","1975-01-15","2016-09-09",43,FALSE,1,2394,"LEE (THAMES)","TL3850008200",600950,1,"",2009-11-10,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",592262,"2009-12-14","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",19,86,4.53,21,88.9,4.23,5,11,2.2,5,3,5,11,13,46,3.54,1,1.74,57.47,1.75,5.41,32.35,18,111,6.17,6,38,6.33,1,8,12.5,6,29,20.69,21,92.1,4.39,"No",2009,11,"F00A2255-F0DC-4EC4-8C04-2EB3B18BC1EB","TH-PLER0060",0.385,19.5,0.0445,7.735,7.85,0.056,0.00087,92.5,7.905,8.485,8.75,NA,NA,"F00A2255-F0DC-4EC4-8C04-2EB3B18BC1EB",2,190,0,1,2,5,6,0,68,170,23,459,3,8
"6",236,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","BEANE","RIVER: Natural/semi-natural flowing fresh watercourse","BEANE",34017,1,"TL",29771,19790,"TL2977119790","GB106038033310",58,2,18.41,2,4.2,13.67,10,72,10,8,203,NA,NA,NA,"1995-01-01","1990-04-09","2022-04-13",85,FALSE,1,2438,"BEANE","TL2977119790",599912,1,"",2009-10-22,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",593240,"2010-01-05","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",16,79,4.94,17,81.8,4.81,15,19,1.27,1,3,3,3.8,11,58,5.27,6,9.67,62.05,3.78,5.95,63.53,14,99,7.07,17,122,7.18,14,36,38.89,16,30,53.33,17,83.3,4.9,"No",2009,10,"9A0DCC33-D666-4C01-A7AB-02B7B6476AC2","TH-PLER0012",0.128666666666667,16.3866666666667,0.0893333333333333,7.71333333333333,2.11866666666667,0.0392,0.00129333333333333,65.6666666666667,2.15666666666667,6.41,4.76666666666667,1.3,NA,"9A0DCC33-D666-4C01-A7AB-02B7B6476AC2",33,1200,0,0,38,0,9,0,57,52,22,1394,7,47
"7",261,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","VER",34044,1,"TL",14222,1418,"TL1422201418","GB106039029920",60,1.7,27.03,2,6.2,39,3,64,17,16,258,NA,NA,NA,"1995-01-01","1990-04-02","2022-09-17",68,FALSE,1,2772,"VER","TL1422201418",598046,1,"",2009-09-17,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",596361,"2010-02-11","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",18,96,5.33,21,116.3,5.54,20,38,1.9,3,3,3,5.7,12,78,6.5,14.88,17.09,87.07,7.03,9.45,74.39,18,140,7.78,24,194,8.08,31,44,70.45,28,39,71.79,21,116.5,5.55,"No",2009,9,"78C22281-DD60-4EE9-B5C5-3481DAF21D79","TH-PCNR0088",0.0383333333333333,15.5766666666667,0.032,8.09666666666667,4.67333333333333,0.0212333333333333,0.000873333333333333,102.3,4.69333333333333,10.1666666666667,7.63333333333333,NA,NA,"78C22281-DD60-4EE9-B5C5-3481DAF21D79",102,800,0,16,64,1,52,0,162,105,28,1304,10,116
"8",263,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","COLNE",34046,1,"TQ",12029,98067,"TQ1202998067","GB106039029840",55,1,18.57,3,6.7,48.33,6,69,11,14,227,NA,NA,NA,"1995-01-01","1986-09-29","2022-05-18",47,FALSE,1,2821,"COLNE","TQ1202998067",600493,1,"",2009-11-03,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",590695,"2009-11-18","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",16,78,4.88,18,91.6,5.09,10,11,1.1,1,3,3,3.3,12,53,4.42,4.5,6.84,65.79,2.76,6.87,40.17,15,96,6.4,12,88,7.33,9,24,37.5,10,30,33.33,18,91.5,5.08,"No",2009,11,"47236A17-7553-4DF4-AA3A-4880745E0B56","TH-PCNR0026",0.288,19,0.034,7.93,13.45,0.0208,0.000915,92.5,13.45,8.56,5.2,NA,NA,"47236A17-7553-4DF4-AA3A-4880745E0B56",70,20,0,31,40,0,2,0,72,1116,20,1351,6,42
"9",305,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","STORT","RIVER: Natural/semi-natural flowing fresh watercourse","STANSTED BROOK",34162,1,"TL",50500,24000,"TL5050024000","GB106038040090",64,5,8.21,1,3.3,10,21,67,9,3,244,NA,NA,NA,"1995-01-01","1979-10-08","2022-03-16",48,FALSE,1,3419,"STANSTED BROOK","TL5050024000",600143,1,"",2009-10-26,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",589946,"2009-10-26","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",8,39,4.88,9,42.7,4.74,5,9,1.8,3,1,3,5.4,6,35,5.83,2.5,3.73,67.02,0.75,1.71,43.86,6,44,7.33,6,44,7.33,5,16,31.25,6,13,46.15,9,45.2,5.02,"No",2009,10,"015E254C-E9DA-45C9-A97C-AF3E604A7EFD","TH-PLER0137",0.101,16.36,0.03,8.17,2.7,0.0085,0.00087,92,2.71,8.99,NA,NA,NA,"015E254C-E9DA-45C9-A97C-AF3E604A7EFD",100,70,0,0,3,0,2,0,40,5,11,220,4,5
"10",309,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","MIMRAM","RIVER: Natural/semi-natural flowing fresh watercourse","MIMRAM",34171,1,"TL",20754,18006,"TL2075418006","GB106038033270",74,3.1,7.31,1,4.5,14,19,66,8,7,254,NA,NA,NA,"1995-01-01","1975-01-09","2022-04-14",92,FALSE,1,3514,"MIMRAM","TL2075418006",599906,1,"",2009-10-22,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",594841,"2010-01-26","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",22,120,5.45,25,136.3,5.45,29,48,1.66,5,5,5,8.28,20,108,5.4,15.39,21.26,72.39,7.81,10.76,72.58,22,163,7.41,31,234,7.55,37,64,57.81,26,46,56.52,25,136.8,5.47,"No",2009,10,"CBA0A40E-F999-4046-BCBD-33C83E7552DE","TH-PLER0089",0.116666666666667,15.0866666666667,0.0366666666666667,7.91333333333333,6.30666666666667,0.0298333333333333,0.000796666666666667,103.133333333333,6.33666666666667,10.35,3.16666666666667,NA,NA,"CBA0A40E-F999-4046-BCBD-33C83E7552DE",7,252,0,36,49,0,43,0,41,172,39,611,14,92
