"","X.x","AGENCY_AREA","CATCHMENT","WATERBODY_TYPE_DESCRIPTION","WATER_BODY.x","SITE_ID","SITE_VERSION","NGR_PREFIX","EASTING","NORTHING","NGR_10_FIG.x","WFD_WATERBODY_ID","ALTITUDE","SLOPE","DIST_FROM_SOURCE","DISCHARGE","WIDTH","DEPTH","BOULDERS_COBBLES","PEBBLES_GRAVEL","SAND","SILT_CLAY","ALKALINITY","CONDUCTIVITY","TOTAL_HARDNESS","CALCIUM","BASE_DATA_DATE","MIN_SAMPLE_DATE","MAX_SAMPLE_DATE","COUNT_OF_SAMPLES","ECN_SITE_INV","SAMPLES_PER_SITE","X.y","WATER_BODY.y","NGR_10_FIG.y","SAMPLE_ID","SAMPLE_VERSION","REPLICATE_CODE","SAMPLE_DATE","SAMPLE_TYPE_DESCRIPTION","SAMPLE_METHOD_DESCRIPTION","SAMPLE_REASON","ANALYSIS_ID","DATE_OF_ANALYSIS","ANALYSIS_TYPE_DESCRIPTION","ANALYSIS_METHOD_DESCRIPTION","BMWP_N_TAXA","BMWP_TOTAL","BMWP_ASPT","WHPT_N_TAXA","WHPT_TOTAL","WHPT_ASPT","CCI_N_TAXA","CCI_CS_TOTAL","CCI_ASPT","CSmax_CoS","BMWP_CoS","CCI_CoS","CCI","DEHLI_N_TAXA","DIS_TOTAL","DEHLI","EPSI_ML_S_GRP","EPSI_ML_ALL_GRP","EPSI_MIXED_LEVEL_SCORE","EPSI_S_GRP","EPSI_ALL_GRP","EPSI_FAMILY_SCORE","LIFE_N_TAXA","LIFE_SCORES_TOTAL","LIFE_FAMILY_INDEX","LIFE_SPECIES_N_TAXA","LIFE_SPECIES_SCORES_TOTAL","LIFE_SPECIES_INDEX","PSI_ML_AB","PSI_ML_ABCD","PSI_MIXED_LEVEL_SCORE","PSI_AB","PSI_ABCD","PSI_FAMILY_SCORE","WHPT_NW_N_TAXA","WHPT_NW_TOTAL","WHPT_NW_ASPT","IS_THIRD_PARTY_DATA","SAMPLE_DATE_YEAR","SAMPLE_DATE_MONTH","identifier.x","sample.samplingPoint.notation","Nitrogen, Total Oxidised as N_mg/l","Nitrite as N_mg/l","Temperature of Water_cel","pH_phunits","Nitrate as N_mg/l","Oxygen, Dissolved as O2_mg/l","Ammonia un-ionised as N_mg/l","Ammoniacal Nitrogen as N_mg/l","Oxygen, Dissolved, % Saturation_%","Orthophosphate, reactive as P_mg/l","Solids, Suspended at 105 C_mg/l","BOD : 5 Day ATU_mg/l","Phosphorus, Total as P_mg/l","Chlorophyll : Acetone Extract_ug/l","identifier.y","annelid","crustacean","flatworm (Turbellaria)","insect - beetle (Coleoptera)","insect - caddis fly (Trichoptera)","insect - dragonfly (Odonata)","insect - mayfly (Ephemeroptera)","insect - stonefly (Plecoptera)","insect - true fly (Diptera)","mollusc","macro_richness","total_abundance","ept_richness","ept_abundance"
"1",179,"THAMES - SOUTH EAST","LODDON","RIVER: Natural/semi-natural flowing fresh watercourse","BLACKWATER (THAMES)",33208,1,"SU",88460,51967,"SU8846051967","GB106039017180",68,1,7.49,1,7,65,4,8,17,71,169,NA,NA,NA,"1995-01-01","1990-01-11","2014-09-11",23,FALSE,1,1633,"BLACKWATER (THAMES)","SU8846051967",615712,1,"",2010-10-25,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",605202,"2010-10-26","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",18,78,4.33,20,75.3,3.77,NA,NA,NA,NA,NA,NA,NA,12,58,4.83,1,1,100,2.5,8.6,29.07,18,111,6.17,NA,NA,NA,NA,4,0,10,42,23.81,20,79,3.95,"No",2010,10,"CA43E42C-4C06-4678-AC34-7C7D5CE8B257","TH-PLDR0002",10.29,0.159,18.7133333333333,7.53,10.14,5.58333333333333,0.00383333333333333,0.308333333333333,59.9333333333333,0.354666666666667,5.38,1.5,NA,3.2,"CA43E42C-4C06-4678-AC34-7C7D5CE8B257",260,1190,0,6,8,18,23,0,70,105,20,1680,3,31
"2",365,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","COLNE BROOK",34013,1,"TQ",1900,72300,"TQ0190072300","GB106039023000",17,0.7,57.9,4,13,40,4,71,12,13,229,NA,NA,NA,"2012-10-04","1990-05-10","2020-11-06",35,FALSE,1,3424,"COLNE BROOK","TQ0190072300",616803,1,"",2010-11-15,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",605994,"2010-11-18","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",19,111,5.84,22,122.2,5.55,14,18,1.29,5,5,5,6.43,16,83,5.19,7.38,11.18,66.01,4.26,9.59,44.42,19,133,7,15,112,7.47,15,32,46.88,16,38,42.11,22,121.4,5.52,"No",2010,11,"A460A276-DCC6-4C90-AAD4-05423A267E2F","TH-PCNR0039",6.67333333333333,0.0236333333333333,16.5566666666667,8.03,6.65,8.75666666666667,0.00131333333333333,0.0493333333333333,90,0.323,3.54333333333333,NA,NA,NA,"A460A276-DCC6-4C90-AAD4-05423A267E2F",50,36,0,13,40,2,115,0,16,101,27,381,9,155
"3",366,"THAMES - NORTH EAST","LEE","RIVER: Natural/semi-natural flowing fresh watercourse","LEE (THAMES)",34014,1,"TL",38500,8200,"TL3850008200","GB106038077851",28,0.6,57.51,5,20.8,176.67,1,14,17,68,224,NA,NA,NA,"1995-01-01","1975-01-15","2016-09-09",43,FALSE,1,3449,"LEE (THAMES)","TL3850008200",615733,1,"",2010-10-25,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",605231,"2010-10-26","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",12,47,3.92,13,51.5,3.96,NA,NA,NA,NA,NA,NA,NA,8,26,3.25,NA,NA,NA,1.25,4.41,28.34,10,60,6,NA,NA,NA,NA,3,0,4,24,16.67,13,54.4,4.18,"No",2010,10,"F00A2255-F0DC-4EC4-8C04-2EB3B18BC1EB","TH-PLER0060",7.99666666666667,0.0631666666666667,17.3333333333333,7.90666666666667,7.93333333333333,8.44,0.00166333333333333,0.0663333333333333,88.3333333333333,0.374,8.68666666666667,NA,NA,17.2,"F00A2255-F0DC-4EC4-8C04-2EB3B18BC1EB",20,106,0,1,1,0,3,0,11,106,13,248,3,4
"4",368,"THAMES - NORTH EAST","BEANE","RIVER: Natural/semi-natural flowing fresh watercourse","BEANE",34017,1,"TL",29771,19790,"TL2977119790","GB106038033310",58,2,18.41,2,4.2,13.67,10,72,10,8,203,NA,NA,NA,"1995-01-01","1990-04-09","2020-10-06",82,FALSE,1,3494,"BEANE","TL2977119790",615041,1,"",2010-10-18,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",605200,"2010-10-25","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",16,72,4.5,16,75.2,4.7,20,29,1.45,5,3,5,7.25,10,50,5,7,10.42,67.18,4.79,7.2,66.53,14,104,7.43,21,151,7.19,16,39,41.03,18,31,58.06,16,75.2,4.7,"No",2010,10,"9A0DCC33-D666-4C01-A7AB-02B7B6476AC2","TH-PLER0012",1.99,0.0528,16.845,7.53,1.9395,6.755,0.001145,0.104,69.6,0.126,15.7,2.7,NA,NA,"9A0DCC33-D666-4C01-A7AB-02B7B6476AC2",16,252,0,1,87,0,8,0,23,79,23,466,5,95
"5",382,"THAMES - NORTH EAST","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","BROOKHOUSE BROOK",34032,1,"TQ",47800,98000,"TQ4780098000","GB106037028150",27,1.7,7.4,1,2.8,10,3,83,5,8,206,NA,NA,NA,"1995-01-01","1989-07-05","2019-11-25",30,FALSE,1,3672,"BROOKHOUSE BROOK","TQ4780098000",613651,1,"",2010-09-27,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",604342,"2010-09-29","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",13,54,4.15,14,58.2,4.16,NA,NA,NA,NA,NA,NA,NA,9,32,3.56,1.13,1.13,100,3,4.93,60.85,11,75,6.82,NA,NA,NA,NA,3,0,9,24,37.5,14,62,4.43,"No",2010,9,"EE8405B8-00FC-4FEA-A64E-D149B59A3D8C","TH-PRGR0005",16.25,0.253,17,8.03,16,8.74,0.00364,0.141,90.5,2.15,13.575,4.55,NA,6.1,"EE8405B8-00FC-4FEA-A64E-D149B59A3D8C",34,110,0,4,0,0,93,0,429,4,14,674,2,93
"6",384,"THAMES - NORTH EAST","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","RODING",34034,1,"TQ",50300,97400,"TQ5030097400","GB106037028180",28,1,43.03,2,4.3,30,3,67,15,15,226,NA,NA,NA,"1995-01-01","1990-03-12","2020-11-12",46,FALSE,1,3698,"RODING","TQ5030097400",613644,1,"",2010-09-27,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",604416,"2010-10-01","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",24,124,5.17,28,133.1,4.75,14,19,1.36,3,5,5,6.79,18,82,4.56,3.63,9.36,38.78,4.51,10.1,44.65,23,153,6.65,19,129,6.79,5,33,15.15,14,44,31.82,28,133.1,4.75,"No",2010,9,"8DAD085A-36CB-487A-9F90-A8CA2CA1B837","TH-PRGR0032",3.295,0.0434,17.5,7.77,3.255,6.725,0.00101,0.0535,70.5,0.7015,3.49,1.3,NA,4.25,"8DAD085A-36CB-487A-9F90-A8CA2CA1B837",11,19,0,54,57,30,66,0,45,30,31,312,9,123
"7",395,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","COLNE",34046,1,"TQ",12029,98067,"TQ1202998067","GB106039029840",55,1,18.57,3,6.7,48.33,6,69,11,14,227,NA,NA,NA,"1995-01-01","1986-09-29","2020-10-07",44,FALSE,1,3856,"COLNE","TQ1202998067",623735,1,"",2010-10-06,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",622611,"2010-10-06","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",8,30,3.75,8,26.4,3.3,3,3,1,1,1,1,1,5,18,3.6,NA,2.21,0,0.75,2.95,25.42,6,37,6.17,5,29,5.8,NA,16,0,2,16,12.5,8,28.3,3.54,"No",2010,10,"47236A17-7553-4DF4-AA3A-4880745E0B56","TH-PCNR0026",14.3333333333333,0.0186333333333333,17.3666666666667,7.88,14.3333333333333,8.35666666666667,0.00077,0.0333333333333333,87.3333333333333,0.299333333333333,11.5433333333333,NA,NA,NA,"47236A17-7553-4DF4-AA3A-4880745E0B56",10,62,0,0,0,1,1,0,4,9,8,87,1,1
"8",441,"THAMES - NORTH EAST","MIMRAM","RIVER: Natural/semi-natural flowing fresh watercourse","MIMRAM",34171,1,"TL",20754,18006,"TL2075418006","GB106038033270",74,3.1,7.31,1,4.5,14,19,66,8,7,254,NA,NA,NA,"1995-01-01","1975-01-09","2020-10-06",89,FALSE,1,4519,"MIMRAM","TL2075418006",614617,1,"",2010-10-12,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",604821,"2010-10-14","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",24,144,6,27,164.6,6.1,30,48,1.6,5,5,5,8,21,112,5.33,22.28,28.88,77.15,13.82,16.27,84.94,23,180,7.83,33,253,7.67,47,78,60.26,39,61,63.93,27,161.9,6,"No",2010,10,"CBA0A40E-F999-4046-BCBD-33C83E7552DE","TH-PLER0089",NA,0.02875,14.735,7.71,NA,10.025,0.00048,0.035,99,NA,15.9,NA,NA,7.15,"CBA0A40E-F999-4046-BCBD-33C83E7552DE",302,504,0,100,187,0,132,2,122,181,40,1551,16,321
"9",453,"THAMES - NORTH EAST","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","RODING",34211,1,"TQ",46600,96900,"TQ4660096900","GB106037028180",22,0.9,48.23,3,8,38.33,8,65,9,18,220,NA,NA,NA,"1995-01-01","1975-01-15","2015-10-29",30,FALSE,1,4745,"RODING","TQ4660096900",613645,1,"",2010-09-27,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",604405,"2010-10-01","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",24,117,4.88,28,119.8,4.28,NA,NA,NA,NA,NA,NA,NA,20,91,4.55,0.5,0.5,100,3.51,10.33,33.98,24,149,6.21,NA,NA,NA,NA,3,0,11,48,22.92,28,125.6,4.49,"No",2010,9,"A47B9210-D105-41B4-9DA6-4EAA2CF80973","TH-PRGR0027",5.345,0.1347,17,7.76,5.21,6.165,0.002765,0.183,64,0.9145,5.99,3.85,NA,3.15,"A47B9210-D105-41B4-9DA6-4EAA2CF80973",19,37,0,73,39,5,52,0,115,260,28,604,6,91
"10",454,"THAMES - NORTH EAST","RIB","RIVER: Natural/semi-natural flowing fresh watercourse","RIB",34213,1,"TL",33154,13930,"TL3315413930","GB106038033360",36,1.3,34.31,2,7.7,31.67,10,53,17,20,276,NA,NA,NA,"1995-01-01","1986-10-08","2021-03-03",60,FALSE,1,4770,"RIB","TL3315413930",616522,1,"",2010-11-08,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",606090,"2010-11-22","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",13,81,6.23,14,81.8,5.84,7,10,1.43,1,3,3,4.29,10,56,5.6,4.76,6.35,74.96,2.03,3.49,58.17,12,90,7.5,11,87,7.91,9,18,50,11,20,55,14,82.1,5.86,"No",2010,11,"4480E909-1C89-45BF-819E-2C8E9C93AC81","TH-PLER0123",5.775,0.02595,15.41,7.99,5.745,8.025,0.00125,0.048,80.5,0.314,9.49,NA,NA,NA,"4480E909-1C89-45BF-819E-2C8E9C93AC81",30,7,0,0,14,0,96,0,33,2,15,182,7,110
