"","X.x","AGENCY_AREA","REPORTING_AREA","CATCHMENT","WATERBODY_TYPE_DESCRIPTION","WATER_BODY.x","SITE_ID","SITE_VERSION","NGR_PREFIX","EASTING","NORTHING","NGR_10_FIG.x","WFD_WATERBODY_ID","ALTITUDE","SLOPE","DIST_FROM_SOURCE","DISCHARGE","WIDTH","DEPTH","BOULDERS_COBBLES","PEBBLES_GRAVEL","SAND","SILT_CLAY","ALKALINITY","CONDUCTIVITY","TOTAL_HARDNESS","CALCIUM","BASE_DATA_DATE","MIN_SAMPLE_DATE","MAX_SAMPLE_DATE","COUNT_OF_SAMPLES","ECN_SITE_INV","SAMPLES_PER_SITE","X.y","WATER_BODY.y","NGR_10_FIG.y","SAMPLE_ID","SAMPLE_VERSION","REPLICATE_CODE","SAMPLE_DATE","SAMPLE_TYPE_DESCRIPTION","SAMPLE_METHOD_DESCRIPTION","SAMPLE_REASON","ANALYSIS_ID","DATE_OF_ANALYSIS","ANALYSIS_TYPE_DESCRIPTION","ANALYSIS_METHOD_DESCRIPTION","BMWP_N_TAXA","BMWP_TOTAL","BMWP_ASPT","WHPT_N_TAXA","WHPT_TOTAL","WHPT_ASPT","CCI_N_TAXA","CCI_CS_TOTAL","CCI_ASPT","CSmax_CoS","BMWP_CoS","CCI_CoS","CCI","DEHLI_N_TAXA","DIS_TOTAL","DEHLI","EPSI_ML_S_GRP","EPSI_ML_ALL_GRP","EPSI_MIXED_LEVEL_SCORE","EPSI_S_GRP","EPSI_ALL_GRP","EPSI_FAMILY_SCORE","LIFE_N_TAXA","LIFE_SCORES_TOTAL","LIFE_FAMILY_INDEX","LIFE_SPECIES_N_TAXA","LIFE_SPECIES_SCORES_TOTAL","LIFE_SPECIES_INDEX","PSI_ML_AB","PSI_ML_ABCD","PSI_MIXED_LEVEL_SCORE","PSI_AB","PSI_ABCD","PSI_FAMILY_SCORE","WHPT_NW_N_TAXA","WHPT_NW_TOTAL","WHPT_NW_ASPT","IS_THIRD_PARTY_DATA","SAMPLE_DATE_YEAR","SAMPLE_DATE_MONTH","identifier.x","sample.samplingPoint.notation","Nitrogen, Total Oxidised as N_mg/l","Nitrite as N_mg/l","Orthophosphate, reactive as P_mg/l","Oxygen, Dissolved, % Saturation_%","Temperature of Water_cel","Nitrate as N_mg/l","pH_phunits","Ammonia un-ionised as N_mg/l","Oxygen, Dissolved as O2_mg/l","Ammoniacal Nitrogen as N_mg/l","Solids, Suspended at 105 C_mg/l","BOD : 5 Day ATU_mg/l","Phosphorus, Total as P_mg/l","identifier.y","annelid","crustacean","flatworm (Turbellaria)","insect - beetle (Coleoptera)","insect - caddis fly (Trichoptera)","insect - dragonfly (Odonata)","insect - mayfly (Ephemeroptera)","insect - stonefly (Plecoptera)","insect - true fly (Diptera)","mollusc","macro_richness","total_abundance","ept_richness","ept_abundance"
"1",66,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","STORT","RIVER: Natural/semi-natural flowing fresh watercourse","FIDDLERS BROOK",33303,2,"TL",44904,11950,"TL4490411950","GB106038033260",45,10,8.58,1,2,14,14,33,4,49,273.5,NA,NA,NA,"2012-10-04","1998-05-20","2019-11-22",10,FALSE,1,641,"FIDDLERS BROOK","TL4490411950",631000,1,"",2011-10-10,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National investigative monitoring",621862,"2011-11-01","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",12,43,3.58,12,34.6,2.88,9,12,1.33,3,1,3,4,7,24,3.43,1,6.77,14.77,1.02,5.2,19.62,10,54,5.4,10,55,5.5,3,34,8.82,4,32,12.5,12,42,3.5,"No",2011,10,"9E94C9F1-729E-409B-ABB4-965BF7297140","TH-PLER0308",0.503333333333333,0.0174333333333333,0.252333333333333,52,14.7966666666667,0.486,7.69666666666667,0.00082,5.29,0.0623333333333333,NA,NA,NA,"9E94C9F1-729E-409B-ABB4-965BF7297140",300,220,0,0,3,0,0,0,500,233,13,1256,1,3
"2",95,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","HIGH LAVER BROOK",33514,1,"TL",53000,7050,"TL5300007050","GB106037033490",55,3.3,5.7,1,2.3,8,15,55,20,10,241,NA,NA,NA,"2012-10-04","1996-03-14","2021-11-17",14,FALSE,1,1078,"HIGH LAVER BROOK","TL5300007050",630174,1,"",2011-09-26,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National investigative monitoring",624419,"2012-02-05","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",19,95,5,20,96.2,4.81,18,25,1.39,5,3,5,6.94,12,56,4.67,8.13,14.12,57.58,5.02,7.94,63.22,17,115,6.76,19,131,6.89,17,48,35.42,18,40,45,20,100.4,5.02,"No",2011,9,"FBB34968-AFCD-4016-94DF-D9F2F36BA2CD","TH-PRGR0163",7.24,0.0801666666666667,0.135333333333333,67.3333333333333,14.6666666666667,7.15666666666667,7.80666666666667,0.00108666666666667,6.83,0.068,NA,NA,NA,"FBB34968-AFCD-4016-94DF-D9F2F36BA2CD",240,71,0,30,54,0,33,0,100,143,24,671,7,87
"3",233,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","COLNE BROOK",34013,1,"TQ",1900,72300,"TQ0190072300","GB106039023000",17,0.7,57.9,4,13,40,4,71,12,13,229,NA,NA,NA,"2012-10-04","1990-05-10","2020-11-06",35,FALSE,1,2373,"COLNE BROOK","TQ0190072300",631374,1,"",2011-10-22,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",624955,"2011-11-08","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",23,133,5.78,23,131.2,5.7,27,43,1.59,5,5,5,7.96,17,93,5.47,12.39,20.82,59.51,8,13.62,58.74,23,159,6.91,29,204,7.03,25,58,43.1,23,45,51.11,23,128.5,5.59,"No",2011,10,"A460A276-DCC6-4C90-AAD4-05423A267E2F","TH-PCNR0039",9.25666666666667,0.0167,0.403,90.6666666666667,16.7333333333333,9.24666666666667,8.09666666666667,0.000963333333333333,8.79333333333333,0.0323333333333333,5.11666666666667,NA,NA,"A460A276-DCC6-4C90-AAD4-05423A267E2F",7,20,3,30,68,10,103,0,5,173,29,449,11,171
"4",234,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","LEE","RIVER: Natural/semi-natural flowing fresh watercourse","LEE (THAMES)",34014,1,"TL",38500,8200,"TL3850008200","GB106038077851",28,0.6,57.51,5,20.8,176.67,1,14,17,68,224,NA,NA,NA,"1995-01-01","1975-01-15","2016-09-09",43,FALSE,1,2398,"LEE (THAMES)","TL3850008200",630998,1,"",2011-10-10,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",625133,"2011-12-20","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",14,60,4.29,16,55.4,3.46,13,16,1.23,1,3,3,3.69,10,49,4.9,1,7.25,13.79,0.75,6.35,11.81,14,84,6,15,91,6.07,2,29,6.9,5,29,17.24,16,61.7,3.86,"No",2011,10,"F00A2255-F0DC-4EC4-8C04-2EB3B18BC1EB","TH-PLER0060",11.5,0.0857,0.455,97,18.5,11.415,7.805,0.00201,9.07,0.0795,11.085,NA,NA,"F00A2255-F0DC-4EC4-8C04-2EB3B18BC1EB",203,50,0,0,3,4,3,0,200,75,17,541,2,6
"5",236,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","BEANE","RIVER: Natural/semi-natural flowing fresh watercourse","BEANE",34017,1,"TL",29771,19790,"TL2977119790","GB106038033310",58,2,18.41,2,4.2,13.67,10,72,10,8,203,NA,NA,NA,"1995-01-01","1990-04-09","2022-04-13",85,FALSE,1,2444,"BEANE","TL2977119790",630098,1,"",2011-09-20,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",623832,"2012-01-20","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",10,35,3.5,11,42.9,3.9,4,4,1,1,1,1,1,5,27,5.4,3,3.85,77.92,1.26,2.97,42.42,9,63,7,7,52,7.43,7,14,50,8,18,44.44,11,42,3.82,"No",2011,9,"9A0DCC33-D666-4C01-A7AB-02B7B6476AC2","TH-PLER0012",1,0.03755,0.11,73.55,15.725,0.964,7.62,0.00151,7.25,0.129,7.09,1.5,NA,"9A0DCC33-D666-4C01-A7AB-02B7B6476AC2",9,2002,0,0,1,0,0,0,5,12,12,2030,1,1
"6",252,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","RODING",34034,1,"TQ",50300,97400,"TQ5030097400","GB106037028180",28,1,43.03,2,4.3,30,3,67,15,15,226,NA,NA,NA,"1995-01-01","1990-03-12","2022-04-20",49,FALSE,1,2656,"RODING","TQ5030097400",630167,1,"",2011-09-26,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",624963,"2011-11-03","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",24,123,5.13,25,116.8,4.67,22,29,1.32,5,5,5,6.59,16,73,4.56,4.5,13.56,33.19,3.52,10.61,33.18,22,142,6.45,22,141,6.41,10,50,20,13,49,26.53,25,117.5,4.7,"No",2011,9,"8DAD085A-36CB-487A-9F90-A8CA2CA1B837","TH-PRGR0032",2.56333333333333,0.0225,0.647666666666667,71.3333333333333,17.6666666666667,2.54,7.61,0.00053,6.75666666666667,0.0393333333333333,3.32333333333333,1.125,NA,"8DAD085A-36CB-487A-9F90-A8CA2CA1B837",67,82,3,30,42,10,50,0,100,94,25,500,7,92
"7",263,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","COLNE",34046,1,"TQ",12029,98067,"TQ1202998067","GB106039029840",55,1,18.57,3,6.7,48.33,6,69,11,14,227,NA,NA,NA,"1995-01-01","1986-09-29","2022-05-18",47,FALSE,1,2824,"COLNE","TQ1202998067",633801,1,"",2011-10-07,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",622588,"2011-10-07","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",18,91,5.06,21,105.3,5.01,14,20,1.43,3,3,3,4.29,13,65,5,5,7.82,63.94,1.5,4.43,33.86,18,124,6.89,18,126,7,8,25,32,13,29,44.83,21,105.2,5.01,"No",2011,10,"47236A17-7553-4DF4-AA3A-4880745E0B56","TH-PCNR0026",13.18,0.0146666666666667,0.303333333333333,84.0666666666667,16.1,13.1733333333333,7.83333333333333,0.000593333333333333,8.26333333333333,0.0303333333333333,11.4066666666667,NA,NA,"47236A17-7553-4DF4-AA3A-4880745E0B56",3,68,0,0,8,9,3,0,27,49,26,169,7,11
"8",309,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","MIMRAM","RIVER: Natural/semi-natural flowing fresh watercourse","MIMRAM",34171,1,"TL",20754,18006,"TL2075418006","GB106038033270",74,3.1,7.31,1,4.5,14,19,66,8,7,254,NA,NA,NA,"1995-01-01","1975-01-09","2022-04-14",92,FALSE,1,3520,"MIMRAM","TL2075418006",631277,1,"",2011-10-20,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",623924,"2012-01-24","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",21,119,5.67,21,120.8,5.75,18,22,1.22,1,5,5,6.11,14,68,4.86,11.64,13.96,83.38,7.29,8.77,83.12,19,142,7.47,21,158,7.52,24,42,57.14,24,39,61.54,21,117.5,5.6,"No",2011,10,"CBA0A40E-F999-4046-BCBD-33C83E7552DE","TH-PLER0089",NA,0.0267666666666667,NA,104,16.4433333333333,NA,7.79,0.000653333333333333,10.16,0.032,3.49333333333333,NA,NA,"CBA0A40E-F999-4046-BCBD-33C83E7552DE",42,201,3,113,27,0,135,0,104,26,25,651,10,162
"9",322,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","RIB","RIVER: Natural/semi-natural flowing fresh watercourse","RIB",34213,1,"TL",33154,13930,"TL3315413930","GB106038033360",36,1.3,34.31,2,7.7,31.67,10,53,17,20,276,NA,NA,NA,"1995-01-01","1986-10-08","2022-09-26",61,FALSE,1,3780,"RIB","TL3315413930",630732,1,"",2011-10-04,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",621869,"2011-12-07","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",13,75,5.77,14,80.1,5.72,9,11,1.22,1,3,3,3.67,11,61,5.55,7,8.1,86.42,4.27,5.98,71.4,12,93,7.75,12,95,7.92,13,23,56.52,15,26,57.69,14,81.1,5.79,"No",2011,10,"4480E909-1C89-45BF-819E-2C8E9C93AC81","TH-PLER0123",4.4,0.0136,0.26,81,15.39,4.39,8.02,0.00081,8.08,0.03,11.3,NA,NA,"4480E909-1C89-45BF-819E-2C8E9C93AC81",40,51,0,6,13,0,58,0,5,1,18,175,8,71
"10",352,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","MISBOURNE",34294,1,"TQ",1300,88350,"TQ0130088350","GB106039029830",49,4.5,21.63,2,3.9,20.67,5,76,10,9,275,NA,NA,NA,"1995-01-01","1982-10-27","2022-04-20",86,FALSE,1,4220,"MISBOURNE","TQ0130088350",632236,1,"",2011-11-09,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",622245,"2011-12-14","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",23,134,5.83,27,157.7,5.84,13,22,1.69,5,5,5,8.46,19,96,5.05,8,11.8,67.8,4.53,6.98,64.9,21,153,7.29,15,115,7.67,13,31,41.94,21,41,51.22,27,159.2,5.9,"No",2011,11,"F471B1BA-3764-4ECD-81C9-D292599F8CF3","TH-PCNR0070",3.91333333333333,0.0261,0.0253333333333333,97.0333333333333,15.58,3.88666666666667,7.84666666666667,0.00059,9.67666666666667,0.03,NA,NA,NA,"F471B1BA-3764-4ECD-81C9-D292599F8CF3",10,3002,0,25,73,0,59,0,260,24,29,3456,10,132
