"","X.x","AGENCY_AREA","CATCHMENT","WATERBODY_TYPE_DESCRIPTION","WATER_BODY.x","SITE_ID","SITE_VERSION","NGR_PREFIX","EASTING","NORTHING","NGR_10_FIG.x","WFD_WATERBODY_ID","ALTITUDE","SLOPE","DIST_FROM_SOURCE","DISCHARGE","WIDTH","DEPTH","BOULDERS_COBBLES","PEBBLES_GRAVEL","SAND","SILT_CLAY","ALKALINITY","CONDUCTIVITY","TOTAL_HARDNESS","CALCIUM","BASE_DATA_DATE","MIN_SAMPLE_DATE","MAX_SAMPLE_DATE","COUNT_OF_SAMPLES","ECN_SITE_INV","SAMPLES_PER_SITE","X.y","WATER_BODY.y","NGR_10_FIG.y","SAMPLE_ID","SAMPLE_VERSION","REPLICATE_CODE","SAMPLE_DATE","SAMPLE_TYPE_DESCRIPTION","SAMPLE_METHOD_DESCRIPTION","SAMPLE_REASON","ANALYSIS_ID","DATE_OF_ANALYSIS","ANALYSIS_TYPE_DESCRIPTION","ANALYSIS_METHOD_DESCRIPTION","BMWP_N_TAXA","BMWP_TOTAL","BMWP_ASPT","WHPT_N_TAXA","WHPT_TOTAL","WHPT_ASPT","CCI_N_TAXA","CCI_CS_TOTAL","CCI_ASPT","CSmax_CoS","BMWP_CoS","CCI_CoS","CCI","DEHLI_N_TAXA","DIS_TOTAL","DEHLI","EPSI_ML_S_GRP","EPSI_ML_ALL_GRP","EPSI_MIXED_LEVEL_SCORE","EPSI_S_GRP","EPSI_ALL_GRP","EPSI_FAMILY_SCORE","LIFE_N_TAXA","LIFE_SCORES_TOTAL","LIFE_FAMILY_INDEX","LIFE_SPECIES_N_TAXA","LIFE_SPECIES_SCORES_TOTAL","LIFE_SPECIES_INDEX","PSI_ML_AB","PSI_ML_ABCD","PSI_MIXED_LEVEL_SCORE","PSI_AB","PSI_ABCD","PSI_FAMILY_SCORE","WHPT_NW_N_TAXA","WHPT_NW_TOTAL","WHPT_NW_ASPT","IS_THIRD_PARTY_DATA","SAMPLE_DATE_YEAR","SAMPLE_DATE_MONTH","identifier.x","sample.samplingPoint.notation","Ammoniacal Nitrogen as N_mg/l","Oxygen, Dissolved as O2_mg/l","pH_phunits","Oxygen, Dissolved, % Saturation_%","Temperature of Water_cel","Nitrate as N_mg/l","Nitrite as N_mg/l","Ammonia un-ionised as N_mg/l","Orthophosphate, reactive as P_mg/l","Nitrogen, Total Oxidised as N_mg/l","Solids, Suspended at 105 C_mg/l","BOD : 5 Day ATU_mg/l","Phosphorus, Total as P_mg/l","Chlorophyll : Acetone Extract_ug/l","identifier.y","annelid","crustacean","flatworm (Turbellaria)","insect - beetle (Coleoptera)","insect - caddis fly (Trichoptera)","insect - dragonfly (Odonata)","insect - mayfly (Ephemeroptera)","insect - stonefly (Plecoptera)","insect - true fly (Diptera)","mollusc","macro_richness","total_abundance","ept_richness","ept_abundance"
"1",199,"THAMES - NORTH EAST","STORT","RIVER: Natural/semi-natural flowing fresh watercourse","FIDDLERS BROOK",33303,2,"TL",44904,11950,"TL4490411950","GB106038033260",45,10,8.58,1,2,14,14,33,4,49,273.5,NA,NA,NA,"2012-10-04","1998-05-20","2019-11-22",10,FALSE,1,1807,"FIDDLERS BROOK","TL4490411950",642111,1,"",2012-09-20,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",630796,"2012-10-11","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",17,72,4.24,19,66.5,3.5,16,32,2,5,3,5,10,11,44,4,3.24,8.86,36.57,NA,5.36,0,17,102,6,19,116,6.11,7,36,19.44,6,35,17.14,19,72.4,3.81,"No",2012,9,"9E94C9F1-729E-409B-ABB4-965BF7297140","TH-PLER0308",0.089,5.77,7.685,58.5,15.95,1.8,0.042,0.00138,0.157,1.845,NA,NA,NA,NA,"9E94C9F1-729E-409B-ABB4-965BF7297140",84,140,1,14,21,0,0,0,170,244,25,682,2,21
"2",241,"THAMES - NORTH EAST","INGREBOURNE","RIVER: Natural/semi-natural flowing fresh watercourse","ROM/BEAM",33567,1,"TQ",50250,83200,"TQ5025083200","GB106037028100",5,0.5,19.87,1,7,100,5,5,0,90,172,NA,NA,NA,"1995-01-01","1995-05-10","2013-10-30",13,FALSE,1,2290,"ROM/BEAM","TQ5025083200",643279,1,"",2012-10-05,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National investigative monitoring",634926,"2012-12-21","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",17,63,3.71,18,63.2,3.51,NA,NA,NA,NA,NA,NA,NA,12,45,3.75,NA,NA,NA,1.5,7.58,19.79,16,97,6.06,NA,NA,NA,NA,3,0,6,37,16.22,18,64.5,3.58,"No",2012,10,"638658A9-38F5-4B38-88A7-3B1C5AB315DF","TH-PRGR0001",0.1415,9.915,7.98,103.8,17.2,4.37,0.1021,0.002895,0.2395,4.47,NA,NA,NA,NA,"638658A9-38F5-4B38-88A7-3B1C5AB315DF",58,305,5,11,0,5,90,0,20,47,19,549,1,90
"3",365,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","COLNE BROOK",34013,1,"TQ",1900,72300,"TQ0190072300","GB106039023000",17,0.7,57.9,4,13,40,4,71,12,13,229,NA,NA,NA,"2012-10-04","1990-05-10","2020-11-06",35,FALSE,1,3428,"COLNE BROOK","TQ0190072300",642620,1,"",2012-09-27,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","Local Investigative monitoring",639202,"2013-01-17","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",25,135,5.4,28,146.9,5.25,23,51,2.22,5,5,5,11.09,19,102,5.37,11.26,22.41,50.25,7.48,16.22,46.12,25,173,6.92,30,215,7.17,22,65,33.85,21,53,39.62,28,146.5,5.23,"No",2012,9,"A460A276-DCC6-4C90-AAD4-05423A267E2F","TH-PCNR0039",0.0343333333333333,8.775,8.17,93.6,18.35,7.43,0.0200333333333333,0.001215,0.411666666666667,7.45,4.58333333333333,NA,NA,NA,"A460A276-DCC6-4C90-AAD4-05423A267E2F",16,140,1,70,29,15,37,0,25,352,37,721,11,66
"4",366,"THAMES - NORTH EAST","LEE","RIVER: Natural/semi-natural flowing fresh watercourse","LEE (THAMES)",34014,1,"TL",38500,8200,"TL3850008200","GB106038077851",28,0.6,57.51,5,20.8,176.67,1,14,17,68,224,NA,NA,NA,"1995-01-01","1975-01-15","2016-09-09",43,FALSE,1,3453,"LEE (THAMES)","TL3850008200",641074,1,"",2012-09-05,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",631613,"2012-10-31","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",12,45,3.75,13,48.6,3.74,NA,NA,NA,NA,NA,NA,NA,8,30,3.75,NA,NA,NA,1.77,5.4,32.78,10,61,6.1,NA,NA,NA,NA,3,0,5,25,20,13,53.6,4.12,"No",2012,9,"F00A2255-F0DC-4EC4-8C04-2EB3B18BC1EB","TH-PLER0060",0.05325,9.14,7.925,95.925,17.475,8.565,0.044025,0.00121,0.27625,8.5975,15.1575,NA,NA,19,"F00A2255-F0DC-4EC4-8C04-2EB3B18BC1EB",20,250,0,0,0,1,3,0,601,110,16,987,1,3
"5",368,"THAMES - NORTH EAST","BEANE","RIVER: Natural/semi-natural flowing fresh watercourse","BEANE",34017,1,"TL",29771,19790,"TL2977119790","GB106038033310",58,2,18.41,2,4.2,13.67,10,72,10,8,203,NA,NA,NA,"1995-01-01","1990-04-09","2020-10-06",82,FALSE,1,3500,"BEANE","TL2977119790",641056,1,"",2012-09-04,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",637652,"2013-01-31","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",17,80,4.71,19,89.3,4.7,20,40,2,5,3,5,10,12,56,4.67,8.13,11.43,71.13,5.53,7.7,71.82,16,114,7.13,23,168,7.3,19,40,47.5,20,35,57.14,19,91.5,4.82,"No",2012,9,"9A0DCC33-D666-4C01-A7AB-02B7B6476AC2","TH-PLER0012",0.0773333333333333,8.78666666666667,7.59333333333333,91.9,17.2,2.66666666666667,0.0474666666666667,0.00093,0.1,2.71333333333333,3.42666666666667,1.16666666666667,NA,NA,"9A0DCC33-D666-4C01-A7AB-02B7B6476AC2",40,1010,0,0,31,0,13,0,304,74,29,1474,10,44
"6",384,"THAMES - NORTH EAST","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","RODING",34034,1,"TQ",50300,97400,"TQ5030097400","GB106037028180",28,1,43.03,2,4.3,30,3,67,15,15,226,NA,NA,NA,"1995-01-01","1990-03-12","2020-11-12",46,FALSE,1,3702,"RODING","TQ5030097400",643237,1,"",2012-10-08,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",631776,"2012-11-05","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",19,88,4.63,22,86.3,3.92,14,23,1.64,3,3,3,4.93,16,70,4.38,4.63,10.28,45.04,1.75,6.63,26.4,19,115,6.05,19,120,6.32,6,43,13.95,8,41,19.51,22,93.3,4.24,"No",2012,10,"8DAD085A-36CB-487A-9F90-A8CA2CA1B837","TH-PRGR0032",0.04,7.25666666666667,7.85,74.4,16.5666666666667,4.37333333333333,0.0308666666666667,0.000823333333333333,0.342333333333333,4.40333333333333,8.13333333333333,1.16666666666667,NA,2.26666666666667,"8DAD085A-36CB-487A-9F90-A8CA2CA1B837",122,300,2,0,9,0,2,0,71,126,31,632,6,11
"7",414,"THAMES - SOUTH EAST","RAVENSBOURNE","RIVER: Natural/semi-natural flowing fresh watercourse","RAVENSBOURNE",34087,1,"TQ",41410,67270,"TQ4141067270","GB106039023260",57,8.6,3.31,1,1.8,4.67,2,73,15,10,127,NA,NA,NA,"1995-01-01","1985-01-21","2015-10-08",32,FALSE,1,4073,"RAVENSBOURNE","TQ4141067270",643374,1,"",2012-10-04,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National investigative monitoring",639225,"2012-11-23","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",16,62,3.88,19,68.5,3.61,7,9,1.29,1,3,3,3.86,11,41,3.73,2,4.7,42.55,1.25,4.2,29.76,15,94,6.27,12,76,6.33,4,26,15.38,7,33,21.21,19,74.5,3.92,"No",2012,10,"ACBBE281-5E3A-49EE-A1BC-632FC26EDF94","TH-PRVR0029",0.1905,7.79,7.725,78.8,16.1,0.498,0.05205,0.00315,0.071,0.55,10.025,2.85,NA,NA,"ACBBE281-5E3A-49EE-A1BC-632FC26EDF94",278,310,3,1,3,0,6,0,84,19,21,710,2,9
"8",441,"THAMES - NORTH EAST","MIMRAM","RIVER: Natural/semi-natural flowing fresh watercourse","MIMRAM",34171,1,"TL",20754,18006,"TL2075418006","GB106038033270",74,3.1,7.31,1,4.5,14,19,66,8,7,254,NA,NA,NA,"1995-01-01","1975-01-09","2020-10-06",89,FALSE,1,4525,"MIMRAM","TL2075418006",641817,1,"",2012-09-17,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",637984,"2013-02-04","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",24,141,5.88,26,148.3,5.7,15,20,1.33,5,5,5,6.67,18,96,5.33,11.38,14.06,80.94,9.78,11.74,83.3,23,176,7.65,23,173,7.52,26,46,56.52,32,49,65.31,26,149.6,5.75,"No",2012,9,"CBA0A40E-F999-4046-BCBD-33C83E7552DE","TH-PLER0089",0.03,9.46333333333333,7.82666666666667,94.2666666666667,15.0666666666667,NA,0.0245,0.000546666666666667,NA,NA,3.24,NA,NA,0.973333333333333,"CBA0A40E-F999-4046-BCBD-33C83E7552DE",64,1000,8,105,71,0,65,1,255,60,32,1635,14,137
"9",454,"THAMES - NORTH EAST","RIB","RIVER: Natural/semi-natural flowing fresh watercourse","RIB",34213,1,"TL",33154,13930,"TL3315413930","GB106038033360",36,1.3,34.31,2,7.7,31.67,10,53,17,20,276,NA,NA,NA,"1995-01-01","1986-10-08","2021-03-03",60,FALSE,1,4774,"RIB","TL3315413930",641077,1,"",2012-09-06,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",638028,"2013-02-06","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",18,101,5.61,19,111.7,5.88,9,14,1.56,5,5,5,7.78,13,71,5.46,9,11.09,81.15,6.76,9.9,68.28,16,122,7.63,15,120,8,18,32,56.25,24,37,64.86,19,111.3,5.86,"No",2012,9,"4480E909-1C89-45BF-819E-2C8E9C93AC81","TH-PLER0123",0.03,8.86333333333333,8.08,88.4,15.1333333333333,5.67,0.0128666666666667,0.000796666666666667,0.243333333333333,5.68,7.23333333333333,NA,NA,NA,"4480E909-1C89-45BF-819E-2C8E9C93AC81",110,172,0,45,47,0,110,4,72,110,23,670,11,161
"10",456,"THAMES - SOUTH EAST","RAVENSBOURNE","RIVER: Natural/semi-natural flowing fresh watercourse","QUAGGY",34216,1,"TQ",39400,74800,"TQ3940074800","GB106039023290",15,2,15.97,1,4,12.5,20,55,10,15,199,NA,NA,NA,"2012-01-01","1985-02-04","2019-10-08",34,FALSE,1,4814,"QUAGGY","TQ3940074800",643087,1,"",2012-10-04,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",630666,"2012-10-08","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",14,54,3.86,19,76.2,4.01,11,13,1.18,1,3,3,3.55,15,69,4.6,4.5,9.52,47.27,2.51,6.43,39.04,15,96,6.4,15,97,6.47,8,39,20.51,10,37,27.03,19,78.1,4.11,"No",2012,10,"8F3A4A03-4A15-4694-A615-8F0B02B72A65","TH-PRVR0019",0.0415,9.31,7.94,96.5,16.8,3.57,0.04585,0.000855,0.512,3.615,NA,NA,NA,NA,"8F3A4A03-4A15-4694-A615-8F0B02B72A65",68,335,10,0,2,0,45,0,5,87,25,552,2,47
