"","X.x","AGENCY_AREA","REPORTING_AREA","CATCHMENT","WATERBODY_TYPE_DESCRIPTION","WATER_BODY.x","SITE_ID","SITE_VERSION","NGR_PREFIX","EASTING","NORTHING","NGR_10_FIG.x","WFD_WATERBODY_ID","ALTITUDE","SLOPE","DIST_FROM_SOURCE","DISCHARGE","WIDTH","DEPTH","BOULDERS_COBBLES","PEBBLES_GRAVEL","SAND","SILT_CLAY","ALKALINITY","CONDUCTIVITY","TOTAL_HARDNESS","CALCIUM","BASE_DATA_DATE","MIN_SAMPLE_DATE","MAX_SAMPLE_DATE","COUNT_OF_SAMPLES","ECN_SITE_INV","SAMPLES_PER_SITE","X.y","WATER_BODY.y","NGR_10_FIG.y","SAMPLE_ID","SAMPLE_VERSION","REPLICATE_CODE","SAMPLE_DATE","SAMPLE_TYPE_DESCRIPTION","SAMPLE_METHOD_DESCRIPTION","SAMPLE_REASON","ANALYSIS_ID","DATE_OF_ANALYSIS","ANALYSIS_TYPE_DESCRIPTION","ANALYSIS_METHOD_DESCRIPTION","BMWP_N_TAXA","BMWP_TOTAL","BMWP_ASPT","WHPT_N_TAXA","WHPT_TOTAL","WHPT_ASPT","CCI_N_TAXA","CCI_CS_TOTAL","CCI_ASPT","CSmax_CoS","BMWP_CoS","CCI_CoS","CCI","DEHLI_N_TAXA","DIS_TOTAL","DEHLI","EPSI_ML_S_GRP","EPSI_ML_ALL_GRP","EPSI_MIXED_LEVEL_SCORE","EPSI_S_GRP","EPSI_ALL_GRP","EPSI_FAMILY_SCORE","LIFE_N_TAXA","LIFE_SCORES_TOTAL","LIFE_FAMILY_INDEX","LIFE_SPECIES_N_TAXA","LIFE_SPECIES_SCORES_TOTAL","LIFE_SPECIES_INDEX","PSI_ML_AB","PSI_ML_ABCD","PSI_MIXED_LEVEL_SCORE","PSI_AB","PSI_ABCD","PSI_FAMILY_SCORE","WHPT_NW_N_TAXA","WHPT_NW_TOTAL","WHPT_NW_ASPT","IS_THIRD_PARTY_DATA","SAMPLE_DATE_YEAR","SAMPLE_DATE_MONTH","identifier.x","sample.samplingPoint.notation","Orthophosphate, reactive as P_mg/l","Temperature of Water_cel","Oxygen, Dissolved as O2_mg/l","Nitrate as N_mg/l","pH_phunits","Nitrite as N_mg/l","Ammoniacal Nitrogen as N_mg/l","Nitrogen, Total Oxidised as N_mg/l","Ammonia un-ionised as N_mg/l","Oxygen, Dissolved, % Saturation_%","Solids, Suspended at 105 C_mg/l","BOD : 5 Day ATU_mg/l","Phosphorus, Total as P_mg/l","identifier.y","annelid","crustacean","flatworm (Turbellaria)","insect - beetle (Coleoptera)","insect - caddis fly (Trichoptera)","insect - dragonfly (Odonata)","insect - mayfly (Ephemeroptera)","insect - stonefly (Plecoptera)","insect - true fly (Diptera)","mollusc","macro_richness","total_abundance","ept_richness","ept_abundance"
"1",57,"THAMES - SOUTH EAST","THAMES","LODDON","RIVER: Natural/semi-natural flowing fresh watercourse","BARKHAM BROOK",33224,1,"SU",76340,68870,"SU7634068870","GB106039017400",41,2.4,4.927,1,3.1,40,8,27,28,37,172,NA,NA,NA,"1995-01-01","1990-04-05","2023-04-21",35,FALSE,1,577,"BARKHAM BROOK","SU7634068870",672269,1,"",2013-09-23,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",663280,"2013-12-13","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",14,52,3.71,15,47.2,3.15,NA,NA,NA,NA,NA,NA,NA,8,29,3.63,NA,NA,NA,1.25,4.65,26.88,13,78,6,NA,NA,NA,NA,4,0,4,29,13.79,15,54.5,3.63,"No",2013,9,"E61E208D-2167-4180-81B0-582FF8ACAE79","TH-PLDR0001",1.39,17.3,4.695,17.05,7.565,0.21,0.25,17.25,0.00266,49.25,NA,NA,NA,"E61E208D-2167-4180-81B0-582FF8ACAE79",244,449,24,1,0,0,1,0,4,239,15,962,1,1
"2",59,"THAMES - SOUTH EAST","THAMES","THAMES SOURCE TO TEDDINGTON (SE SECTION)","RIVER: Natural/semi-natural flowing fresh watercourse","BULL BROOK (THAMES SE)",33233,1,"SU",88270,70310,"SU8827070310","GB106039017670",62,3.9,4.758,1,2.4,26.67,20,25,28,27,158,NA,NA,NA,"1995-01-01","1990-03-12","2016-10-06",24,FALSE,1,604,"BULL BROOK (THAMES SE)","SU8827070310",673263,1,"",2013-09-27,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",663285,"2013-12-13","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",12,50,4.17,14,52.8,3.77,NA,NA,NA,NA,NA,NA,NA,8,34,4.25,0.5,0.5,100,1.01,5.61,18,12,70,5.83,NA,NA,NA,NA,4,0,5,30,16.67,14,55.3,3.95,"No",2013,9,"AB169000-5831-40AB-9153-EB078DCC3CB5","TH-PTHR0012",0.985,14.6,7.54,19.8,7.6,0.0654,0.214,19.9,0.00221,74.3,NA,NA,NA,"AB169000-5831-40AB-9153-EB078DCC3CB5",221,99,32,0,5,0,0,0,55,1753,15,2167,1,5
"3",109,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","INGREBOURNE","RIVER: Natural/semi-natural flowing fresh watercourse","ROM/BEAM",33567,1,"TQ",50250,83200,"TQ5025083200","GB106037028100",5,0.5,19.87,1,7,100,5,5,0,90,172,NA,NA,NA,"1995-01-01","1995-05-10","2021-10-14",15,FALSE,1,1165,"ROM/BEAM","TQ5025083200",678018,1,"",2013-10-30,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National investigative monitoring",670559,"2014-02-07","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",21,85,4.05,22,71.4,3.25,NA,NA,NA,NA,NA,NA,NA,14,51,3.64,0.63,0.63,100,2,11.53,17.35,20,104,5.2,NA,NA,NA,NA,4,0,5,54,9.26,22,83.2,3.78,"No",2013,10,"638658A9-38F5-4B38-88A7-3B1C5AB315DF","TH-PRGR0001",0.3535,20.4,7.25,2.81,7.75,0.3265,0.3745,3.14,0.0083,80.6,NA,NA,NA,"638658A9-38F5-4B38-88A7-3B1C5AB315DF",687,1148,2,14,2,35,11,0,78,3761,24,5749,2,13
"4",166,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","LEE","RIVER: Natural/semi-natural flowing fresh watercourse","SALMON BROOK",33825,1,"TQ",35300,93200,"TQ3530093200","GB106038027960",15,2,12.38,1,3,15.33,8,58,20,14,183,NA,NA,NA,"1995-01-01","1992-06-17","2019-11-21",22,FALSE,1,1666,"SALMON BROOK","TQ3530093200",680058,1,"",2013-11-14,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",666058,"2014-01-16","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",16,63,3.94,17,55.4,3.26,12,18,1.5,3,3,3,4.5,9,37,4.11,1.5,6.62,22.66,0.5,4.41,11.34,15,89,5.93,15,88,5.87,2,35,5.71,5,34,14.71,17,63.8,3.75,"No",2013,11,"B6CA56B7-95EB-4DD2-9522-CE04B7C3588F","TH-PLER0129",0.41,14.7,10.5,4.71,7.985,0.3785,0.793,5.09,0.015885,102.9,3,NA,NA,"B6CA56B7-95EB-4DD2-9522-CE04B7C3588F",1490,116,12,1,3,0,0,0,6,59,21,1687,2,3
"5",229,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","BRENT","RIVER: Natural/semi-natural flowing fresh watercourse","BRENT",34007,1,"TQ",15100,80140,"TQ1510080140","GB106039023590",11,0.6,36,2,9.9,24.67,19,47,19,15,190,NA,NA,NA,"1995-01-01","1988-08-01","2021-05-06",29,FALSE,1,2292,"BRENT","TQ1510080140",672391,1,"",2013-09-23,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",664523,"2014-01-03","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",16,59,3.69,18,55.3,3.07,18,34,1.89,5,3,5,9.44,12,45,3.75,0.5,6.49,7.7,NA,3.93,0,16,93,5.81,23,135,5.87,1,40,2.5,1,30,3.33,18,59.3,3.29,"No",2013,9,"025869E1-5F53-4AE6-91C6-E6F6EC8A65C8","TH-PBRR0011",0.52,15.4,7.22,2.47,7.91,0.131,0.206,2.6,0.00455,72.4,NA,NA,NA,"025869E1-5F53-4AE6-91C6-E6F6EC8A65C8",104,127,5,0,0,0,0,0,4,39,27,281,0,0
"6",234,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","LEE","RIVER: Natural/semi-natural flowing fresh watercourse","LEE (THAMES)",34014,1,"TL",38500,8200,"TL3850008200","GB106038077851",28,0.6,57.51,5,20.8,176.67,1,14,17,68,224,NA,NA,NA,"1995-01-01","1975-01-15","2016-09-09",43,FALSE,1,2402,"LEE (THAMES)","TL3850008200",680053,1,"",2013-11-14,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",664215,"2014-01-03","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",20,99,4.95,22,90.8,4.13,13,20,1.54,3,3,3,4.62,14,56,4,1,5.29,18.9,2,8.35,23.95,20,118,5.9,17,100,5.88,1,27,3.7,6,38,15.79,22,96.3,4.38,"No",2013,11,"F00A2255-F0DC-4EC4-8C04-2EB3B18BC1EB","TH-PLER0060",0.605,17.5666666666667,8.02666666666667,9.4,7.85333333333333,0.0732666666666667,0.058,9.46,0.00131666666666667,84.2,10,NA,NA,"F00A2255-F0DC-4EC4-8C04-2EB3B18BC1EB",2,317,0,1,9,2,62,0,187,329,30,926,6,71
"7",236,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","BEANE","RIVER: Natural/semi-natural flowing fresh watercourse","BEANE",34017,1,"TL",29771,19790,"TL2977119790","GB106038033310",58,2,18.41,2,4.2,13.67,10,72,10,8,203,NA,NA,NA,"1995-01-01","1990-04-09","2022-04-13",85,FALSE,1,2450,"BEANE","TL2977119790",678076,1,"",2013-10-21,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",668166,"2014-01-31","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",13,63,4.85,13,61.8,4.75,12,16,1.33,3,3,3,4,8,44,5.5,6,8.32,72.12,3.03,4.96,61.09,12,90,7.5,14,103,7.36,14,24,58.33,16,24,66.67,13,62.8,4.83,"No",2013,10,"9A0DCC33-D666-4C01-A7AB-02B7B6476AC2","TH-PLER0012",0.078,14.1,8.18,4.14,7.91,0.0446,0.052,4.18,0.00104,79.7,3,1,NA,"9A0DCC33-D666-4C01-A7AB-02B7B6476AC2",7,402,0,0,40,0,1,0,5,19,15,474,5,41
"8",240,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","THAMES SOURCE TO TEDDINGTON (NE SECTION)","RIVER: Natural/semi-natural flowing fresh watercourse","ASH (THAMES)",34021,1,"TQ",9300,67770,"TQ0930067770","GB106039023480",9,0.5,9.59,1,4.3,20.33,2,72,21,5,220,NA,NA,NA,"1995-01-01","1989-01-23","2022-04-07",55,FALSE,1,2546,"ASH (THAMES)","TQ0930067770",672409,1,"",2013-09-24,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",663989,"2013-12-23","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",19,86,4.53,22,103.1,4.69,NA,NA,NA,NA,NA,NA,NA,15,60,4,1.5,1.5,100,6.25,11.36,55.02,19,130,6.84,NA,NA,NA,NA,3,0,17,43,39.53,22,100.4,4.56,"No",2013,9,"AA26F4BD-5A23-4D9E-B387-57ABDD3E8B3F","TH-PTHR0005",0.1335,19,7.49666666666667,5,7.79,0.11035,0.0655,5.11,0.00156,80.2666666666667,NA,NA,NA,"AA26F4BD-5A23-4D9E-B387-57ABDD3E8B3F",74,830,3,26,53,0,111,0,106,58,25,1265,4,164
"9",249,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","LEE","RIVER: Natural/semi-natural flowing fresh watercourse","LEE (NAV.SUB B)",34031,1,"TQ",36450,95700,"TQ3645095700","GB106038027950",17,0.8,71.31,3,18,150,0,4,4,92,218,NA,NA,NA,"1995-01-01","1990-06-08","2019-11-12",21,FALSE,1,2612,"LEE (NAV.SUB B)","TQ3645095700",673403,1,"",2013-09-27,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",663742,"2013-12-18","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",13,56,4.31,15,57.3,3.82,5,5,1,1,3,3,3,9,33,3.67,0.5,3.08,16.23,0.75,5.61,13.37,12,72,6,9,53,5.89,1,21,4.76,2,27,7.41,15,61.7,4.11,"No",2013,9,"400E2135-9320-4C50-8490-F51B5688BF2D","TH-PLER0083",NA,20.3,5.41,NA,7.89,0.0793,0.236,NA,0.00712,60,4.5,NA,NA,"400E2135-9320-4C50-8490-F51B5688BF2D",450,220,0,0,3,0,2,0,14,39,17,730,3,5
"10",250,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","BROOKHOUSE BROOK",34032,1,"TQ",47800,98000,"TQ4780098000","GB106037028150",27,1.7,7.4,1,2.8,10,3,83,5,8,206,NA,NA,NA,"1995-01-01","1989-07-05","2021-10-14",32,FALSE,1,2628,"BROOKHOUSE BROOK","TQ4780098000",669823,1,"",2013-09-02,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",659058,"2013-11-11","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",16,67,4.19,17,70.1,4.12,1,1,1,1,3,3,3,9,45,5,1.5,1.5,100,4.51,8.62,52.32,14,96,6.86,1,8,8,2,5,40,14,33,42.42,17,73,4.29,"No",2013,9,"EE8405B8-00FC-4FEA-A64E-D149B59A3D8C","TH-PRGR0005",3.17333333333333,15,9.44333333333333,20.2666666666667,8.11666666666667,0.148433333333333,0.0883333333333333,20.4333333333333,0.00234333333333333,93.8666666666667,8.57333333333333,4.12333333333333,NA,"EE8405B8-00FC-4FEA-A64E-D149B59A3D8C",56,148,0,1,4,5,135,0,225,34,17,609,3,139
