"","X.x","AGENCY_AREA","REPORTING_AREA","CATCHMENT","WATERBODY_TYPE_DESCRIPTION","WATER_BODY.x","SITE_ID","SITE_VERSION","NGR_PREFIX","EASTING","NORTHING","NGR_10_FIG.x","WFD_WATERBODY_ID","ALTITUDE","SLOPE","DIST_FROM_SOURCE","DISCHARGE","WIDTH","DEPTH","BOULDERS_COBBLES","PEBBLES_GRAVEL","SAND","SILT_CLAY","ALKALINITY","CONDUCTIVITY","TOTAL_HARDNESS","CALCIUM","BASE_DATA_DATE","MIN_SAMPLE_DATE","MAX_SAMPLE_DATE","COUNT_OF_SAMPLES","ECN_SITE_INV","SAMPLES_PER_SITE","X.y","WATER_BODY.y","NGR_10_FIG.y","SAMPLE_ID","SAMPLE_VERSION","REPLICATE_CODE","SAMPLE_DATE","SAMPLE_TYPE_DESCRIPTION","SAMPLE_METHOD_DESCRIPTION","SAMPLE_REASON","ANALYSIS_ID","DATE_OF_ANALYSIS","ANALYSIS_TYPE_DESCRIPTION","ANALYSIS_METHOD_DESCRIPTION","BMWP_N_TAXA","BMWP_TOTAL","BMWP_ASPT","WHPT_N_TAXA","WHPT_TOTAL","WHPT_ASPT","CCI_N_TAXA","CCI_CS_TOTAL","CCI_ASPT","CSmax_CoS","BMWP_CoS","CCI_CoS","CCI","DEHLI_N_TAXA","DIS_TOTAL","DEHLI","EPSI_ML_S_GRP","EPSI_ML_ALL_GRP","EPSI_MIXED_LEVEL_SCORE","EPSI_S_GRP","EPSI_ALL_GRP","EPSI_FAMILY_SCORE","LIFE_N_TAXA","LIFE_SCORES_TOTAL","LIFE_FAMILY_INDEX","LIFE_SPECIES_N_TAXA","LIFE_SPECIES_SCORES_TOTAL","LIFE_SPECIES_INDEX","PSI_ML_AB","PSI_ML_ABCD","PSI_MIXED_LEVEL_SCORE","PSI_AB","PSI_ABCD","PSI_FAMILY_SCORE","WHPT_NW_N_TAXA","WHPT_NW_TOTAL","WHPT_NW_ASPT","IS_THIRD_PARTY_DATA","SAMPLE_DATE_YEAR","SAMPLE_DATE_MONTH","identifier.x","sample.samplingPoint.notation","Nitrate as N_mg/l","Nitrite as N_mg/l","Ammonia un-ionised as N_mg/l","Oxygen, Dissolved as O2_mg/l","Orthophosphate, reactive as P_mg/l","Temperature of Water_cel","Ammoniacal Nitrogen as N_mg/l","Oxygen, Dissolved, % Saturation_%","pH_phunits","Nitrogen, Total Oxidised as N_mg/l","Phosphorus, Total as P_mg/l","Solids, Suspended at 105 C_mg/l","BOD : 5 Day ATU_mg/l","identifier.y","annelid","crustacean","flatworm (Turbellaria)","insect - beetle (Coleoptera)","insect - caddis fly (Trichoptera)","insect - dragonfly (Odonata)","insect - mayfly (Ephemeroptera)","insect - stonefly (Plecoptera)","insect - true fly (Diptera)","mollusc","macro_richness","total_abundance","ept_richness","ept_abundance"
"1",46,"THAMES - SOUTH EAST","THAMES","LODDON","RIVER: Natural/semi-natural flowing fresh watercourse","BLACKWATER (THAMES)",33208,1,"SU",88460,51967,"SU8846051967","GB106039017180",68,1,7.49,1,7,65,4,8,17,71,169,NA,NA,NA,"1995-01-01","1990-01-11","2014-09-11",23,FALSE,1,465,"BLACKWATER (THAMES)","SU8846051967",699929,1,"",2014-09-11,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",693213,"2014-09-11","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",12,48,4,13,43.2,3.32,12,21,1.75,3,1,3,5.25,6,24,4,1.5,6.15,24.39,0.5,3.89,12.85,11,68,6.18,14,87,6.21,3,26,11.54,4,25,16,13,47.2,3.63,"No",2014,9,"CA43E42C-4C06-4678-AC34-7C7D5CE8B257","TH-PLDR0002",7.50666666666667,0.126633333333333,0.00209,2.75,0.16,18.9,0.293,29.7,7.49,7.63,NA,11.3766666666667,1.46,"CA43E42C-4C06-4678-AC34-7C7D5CE8B257",619,355,0,3,0,2,0,0,17,23,19,1020,0,0
"2",50,"THAMES - SOUTH EAST","THAMES","LODDON","RIVER: Natural/semi-natural flowing fresh watercourse","BLACKWATER (THAMES)",33213,1,"SU",74270,63450,"SU7427063450","GB106039017290",45,0.8,30.85,4,11.7,75.67,2,43,33,22,119,NA,NA,NA,"1995-01-01","1995-03-13","2014-09-17",27,FALSE,1,518,"BLACKWATER (THAMES)","SU7427063450",700522,1,"",2014-09-17,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",698835,"2014-09-17","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",12,55,4.58,12,57.1,4.76,13,19,1.46,3,3,3,4.38,10,52,5.2,3.5,6.2,56.45,3,5.18,57.92,10,75,7.5,16,115,7.19,10,29,34.48,10,20,50,12,58,4.83,"No",2014,9,"C50A9132-F86B-4BDD-9275-F52796433D99","TH-PLDR0007",5.46,0.0187,0.00039,6.16,0.168,19.3,0.03,67,7.55,5.48,NA,NA,NA,"C50A9132-F86B-4BDD-9275-F52796433D99",11,12,0,22,4,1,5,0,27,10,20,92,3,9
"3",56,"THAMES - WEST","THAMES","THAME","RIVER: Natural/semi-natural flowing fresh watercourse","BALDON BROOK",33223,1,"SU",57645,98750,"SU5764598750","GB106039023820",58,4,5.45,1,1.6,4.33,3,50,27,20,243,NA,NA,NA,"1995-01-01","1990-03-23","2014-09-26",19,FALSE,1,568,"BALDON BROOK","SU5764598750",701796,1,"",2014-09-26,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",697918,"2015-01-23","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",24,127,5.29,29,153.2,5.28,19,35,1.84,5,5,5,9.21,25,117,4.68,8.5,14.25,59.65,5.77,9.65,59.79,23,161,7,23,168,7.3,18,45,40,23,46,50,29,156,5.38,"No",2014,9,"741A8366-08EC-44A9-B96A-6D56B159718E","TH-PTAR0002",2.9,0.0228,0.00068,9.51,0.177,12.9,0.03,90.3,8.04,2.92,NA,NA,NA,"741A8366-08EC-44A9-B96A-6D56B159718E",102,228,0,66,86,0,9,0,225,190,39,910,12,95
"4",85,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","VER",33449,1,"TL",12748,8590,"TL1274808590","GB106039029920",82,1.3,15.2,1,3,29,2,77,9,13,243.5,NA,NA,NA,"1995-01-01","1997-01-13","2022-09-12",51,FALSE,1,840,"VER","TL1274808590",703044,1,"",2014-10-09,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",684708,"2014-10-10","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",10,46,4.6,12,58.6,4.88,7,11,1.57,5,1,5,7.86,9,44,4.89,8.5,9.85,86.29,4.78,6.23,76.73,9,73,8.11,10,81,8.1,18,28,64.29,18,28,64.29,12,58.7,4.89,"No",2014,10,"274E5E06-0E2B-4FAE-9DB4-32C45668B7D6","TH-PCNR0093",5.79,0.0154,0.00066,9.52,0.034,14.8,0.03,94.2,7.93,5.81,NA,NA,NA,"274E5E06-0E2B-4FAE-9DB4-32C45668B7D6",12,362,0,0,349,0,20,0,17,30,15,790,5,369
"5",181,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","CRIPSEY BROOK",33853,1,"TL",49030,5850,"TL4903005850","GB106037033480",64,2,2.7,1,2.1,13.67,1,59,18,22,231.5,NA,NA,NA,"1995-01-01","1992-04-23","2014-09-24",19,FALSE,1,1815,"CRIPSEY BROOK","TL4903005850",701599,1,"",2014-09-24,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",683982,"2014-09-30","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",16,68,4.25,17,72.8,4.28,9,11,1.22,3,3,3,3.67,16,71,4.44,7.63,10.32,73.93,3.5,6.41,54.6,15,99,6.6,15,104,6.93,13,33,39.39,11,31,35.48,17,71.2,4.19,"No",2014,9,"70EE52B8-C61B-4A3D-9DFD-C7B29A556A81","TH-PRGR0011",0.57,0.0203,0.00292,7,1.55,15.9,0.104,71,8.05,0.59,NA,NA,NA,"70EE52B8-C61B-4A3D-9DFD-C7B29A556A81",19,407,0,1,49,0,63,0,85,34,21,659,5,112
"6",234,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","LEE","RIVER: Natural/semi-natural flowing fresh watercourse","LEE (THAMES)",34014,1,"TL",38500,8200,"TL3850008200","GB106038077851",28,0.6,57.51,5,20.8,176.67,1,14,17,68,224,NA,NA,NA,"1995-01-01","1975-01-15","2016-09-09",43,FALSE,1,2404,"LEE (THAMES)","TL3850008200",701463,1,"",2014-09-22,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",690195,"2014-09-22","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",10,35,3.5,10,31.6,3.16,6,9,1.5,1,1,1,1.5,5,13,2.6,0.5,2.34,21.37,0.75,2.71,27.68,8,50,6.25,8,49,6.13,1,19,5.26,3,18,16.67,10,34.4,3.44,"No",2014,9,"F00A2255-F0DC-4EC4-8C04-2EB3B18BC1EB","TH-PLER0060",9.38,0.05625,NA,8.365,0.2365,18.7,0.043,89.8,7.85,9.44,NA,7.45,1.38,"F00A2255-F0DC-4EC4-8C04-2EB3B18BC1EB",16,36,0,0,0,0,1,0,300,52,12,405,1,1
"7",236,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","BEANE","RIVER: Natural/semi-natural flowing fresh watercourse","BEANE",34017,1,"TL",29771,19790,"TL2977119790","GB106038033310",58,2,18.41,2,4.2,13.67,10,72,10,8,203,NA,NA,NA,"1995-01-01","1990-04-09","2022-04-13",85,FALSE,2,2453,"BEANE","TL2977119790",705367,1,"",2014-11-07,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",690593,"2014-12-24","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",20,101,5.05,21,107.6,5.12,9,10,1.11,1,5,5,5.56,17,80,4.71,7.38,9.7,76.08,5.55,7.47,74.3,18,132,7.33,16,122,7.63,17,31,54.84,21,35,60,21,111.2,5.3,"No",2014,11,"9A0DCC33-D666-4C01-A7AB-02B7B6476AC2","TH-PLER0012",4.31333333333333,0.0308666666666667,0.000593333333333333,9.51,0.079,15.7666666666667,0.032,96.1,7.80333333333333,4.34333333333333,NA,NA,NA,"9A0DCC33-D666-4C01-A7AB-02B7B6476AC2",15,985,0,2,20,0,8,0,27,84,26,1141,9,28
"8",236,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","BEANE","RIVER: Natural/semi-natural flowing fresh watercourse","BEANE",34017,1,"TL",29771,19790,"TL2977119790","GB106038033310",58,2,18.41,2,4.2,13.67,10,72,10,8,203,NA,NA,NA,"1995-01-01","1990-04-09","2022-04-13",85,FALSE,2,2456,"BEANE","TL2977119790",722074,1,"",2014-11-29,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","Local Investigative monitoring",711248,"2014-11-29","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",21,104,4.95,24,123.8,5.16,25,40,1.6,5,5,5,8,18,86,4.78,12.14,17.28,70.25,7.54,10.2,73.92,20,146,7.3,29,211,7.28,25,53,47.17,26,44,59.09,24,120.6,5.03,"No",2014,11,"9A0DCC33-D666-4C01-A7AB-02B7B6476AC2","TH-PLER0012",4.31333333333333,0.0308666666666667,0.000593333333333333,9.51,0.079,15.7666666666667,0.032,96.1,7.80333333333333,4.34333333333333,NA,NA,NA,"9A0DCC33-D666-4C01-A7AB-02B7B6476AC2",88,605,1,2,140,0,20,0,108,80,37,1044,11,160
"9",238,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","BEANE","RIVER: Natural/semi-natural flowing fresh watercourse","BEANE",34019,1,"TL",28947,20514,"TL2894720514","GB106038040110",60,2.6,16.95,1,2.7,13.8,2,41,12,45,184,NA,NA,NA,"2010-01-01","1989-04-14","2022-04-11",35,FALSE,2,2503,"BEANE","TL2894720514",698503,1,"",2014-09-02,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",690211,"2014-09-02","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",11,42,3.82,12,46,3.83,10,16,1.6,5,1,5,8,8,37,4.63,3.5,5.08,68.9,1.75,2.99,58.53,9,61,6.78,12,84,7,9,23,39.13,7,20,35,12,49.5,4.13,"No",2014,9,"629ADC92-A6EA-4202-AF94-F7487FD2BCA8","TH-PLER0299",6.62,0.0560333333333333,0.000753333333333333,9.72666666666667,0.0756666666666667,15.5666666666667,0.03,97.5666666666667,7.98,6.67666666666667,NA,NA,NA,"629ADC92-A6EA-4202-AF94-F7487FD2BCA8",2,90,0,1,0,0,8,0,25,196,17,325,2,8
"10",238,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","BEANE","RIVER: Natural/semi-natural flowing fresh watercourse","BEANE",34019,1,"TL",28947,20514,"TL2894720514","GB106038040110",60,2.6,16.95,1,2.7,13.8,2,41,12,45,184,NA,NA,NA,"2010-01-01","1989-04-14","2022-04-11",35,FALSE,2,2504,"BEANE","TL2894720514",722088,1,"",2014-11-09,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","Local Investigative monitoring",711246,"2014-11-09","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",14,71,5.07,18,94.2,5.23,14,22,1.57,3,3,3,4.71,16,75,4.69,5.5,9.79,56.18,2.77,3.77,73.47,13,89,6.85,14,93,6.64,10,33,30.3,14,30,46.67,18,95.2,5.29,"No",2014,11,"629ADC92-A6EA-4202-AF94-F7487FD2BCA8","TH-PLER0299",6.62,0.0560333333333333,0.000753333333333333,9.72666666666667,0.0756666666666667,15.5666666666667,0.03,97.5666666666667,7.98,6.67666666666667,NA,NA,NA,"629ADC92-A6EA-4202-AF94-F7487FD2BCA8",9,150,0,3,88,2,3,0,44,216,26,518,7,91
