"","X.x","AGENCY_AREA","CATCHMENT","WATERBODY_TYPE_DESCRIPTION","WATER_BODY.x","SITE_ID","SITE_VERSION","NGR_PREFIX","EASTING","NORTHING","NGR_10_FIG.x","WFD_WATERBODY_ID","ALTITUDE","SLOPE","DIST_FROM_SOURCE","DISCHARGE","WIDTH","DEPTH","BOULDERS_COBBLES","PEBBLES_GRAVEL","SAND","SILT_CLAY","ALKALINITY","CONDUCTIVITY","TOTAL_HARDNESS","CALCIUM","BASE_DATA_DATE","MIN_SAMPLE_DATE","MAX_SAMPLE_DATE","COUNT_OF_SAMPLES","ECN_SITE_INV","SAMPLES_PER_SITE","X.y","WATER_BODY.y","NGR_10_FIG.y","SAMPLE_ID","SAMPLE_VERSION","REPLICATE_CODE","SAMPLE_DATE","SAMPLE_TYPE_DESCRIPTION","SAMPLE_METHOD_DESCRIPTION","SAMPLE_REASON","ANALYSIS_ID","DATE_OF_ANALYSIS","ANALYSIS_TYPE_DESCRIPTION","ANALYSIS_METHOD_DESCRIPTION","BMWP_N_TAXA","BMWP_TOTAL","BMWP_ASPT","WHPT_N_TAXA","WHPT_TOTAL","WHPT_ASPT","CCI_N_TAXA","CCI_CS_TOTAL","CCI_ASPT","CSmax_CoS","BMWP_CoS","CCI_CoS","CCI","DEHLI_N_TAXA","DIS_TOTAL","DEHLI","EPSI_ML_S_GRP","EPSI_ML_ALL_GRP","EPSI_MIXED_LEVEL_SCORE","EPSI_S_GRP","EPSI_ALL_GRP","EPSI_FAMILY_SCORE","LIFE_N_TAXA","LIFE_SCORES_TOTAL","LIFE_FAMILY_INDEX","LIFE_SPECIES_N_TAXA","LIFE_SPECIES_SCORES_TOTAL","LIFE_SPECIES_INDEX","PSI_ML_AB","PSI_ML_ABCD","PSI_MIXED_LEVEL_SCORE","PSI_AB","PSI_ABCD","PSI_FAMILY_SCORE","WHPT_NW_N_TAXA","WHPT_NW_TOTAL","WHPT_NW_ASPT","IS_THIRD_PARTY_DATA","SAMPLE_DATE_YEAR","SAMPLE_DATE_MONTH","identifier.x","sample.samplingPoint.notation","Ammoniacal Nitrogen as N_mg/l","pH_phunits","Oxygen, Dissolved, % Saturation_%","Oxygen, Dissolved as O2_mg/l","Temperature of Water_cel","Nitrate as N_mg/l","Ammonia un-ionised as N_mg/l","Nitrite as N_mg/l","Orthophosphate, reactive as P_mg/l","Nitrogen, Total Oxidised as N_mg/l","Solids, Suspended at 105 C_mg/l","Phosphorus, Total as P_mg/l","Chlorophyll : Acetone Extract_ug/l","BOD : 5 Day ATU_mg/l","identifier.y","annelid","crustacean","flatworm (Turbellaria)","insect - beetle (Coleoptera)","insect - caddis fly (Trichoptera)","insect - dragonfly (Odonata)","insect - mayfly (Ephemeroptera)","insect - stonefly (Plecoptera)","insect - true fly (Diptera)","mollusc","macro_richness","total_abundance","ept_richness","ept_abundance"
"1",190,"THAMES - SOUTH EAST","LODDON","RIVER: Natural/semi-natural flowing fresh watercourse","BARKHAM BROOK",33224,1,"SU",76340,68870,"SU7634068870","GB106039017400",41,2.4,4.927,1,3.1,40,8,27,28,37,172,NA,NA,NA,"1995-01-01","1990-04-05","2021-09-01",32,FALSE,1,1749,"BARKHAM BROOK","SU7634068870",727212,1,"",2015-10-09,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",714976,"2015-10-12","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",19,79,4.16,22,80.2,3.65,15,26,1.73,3,3,3,5.2,15,53,3.53,2,7.25,27.59,1.25,4.94,25.3,20,125,6.25,23,145,6.3,7,43,16.28,9,40,22.5,22,87.1,3.96,"No",2015,10,"E61E208D-2167-4180-81B0-582FF8ACAE79","TH-PLDR0001",0.047,7.805,60.85,5.92,16.65,18.2,9e-04,0.063,0.5555,18.25,NA,NA,NA,NA,"E61E208D-2167-4180-81B0-582FF8ACAE79",631,741,9,1,7,0,8,0,25,78,33,1509,3,15
"2",191,"THAMES - WEST","THAMES SOURCE TO TEDDINGTON (W SECTION)","RIVER: Natural/semi-natural flowing fresh watercourse","BROADWELL BROOK",33230,1,"SP",28206,1044,"SP2820601044","GB106039030230",65,0.4,9.52,1,3.2,31.33,1,14,60,26,224,NA,NA,NA,"1995-01-01","1989-11-23","2015-09-17",19,FALSE,1,1764,"BROADWELL BROOK","SP2820601044",725317,1,"",2015-09-17,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",716599,"2015-10-29","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",12,43,3.58,15,58.8,3.92,9,16,1.78,3,1,3,5.33,11,36,3.27,2.63,6.18,42.56,1.5,4.41,34.01,11,65,5.91,15,97,6.47,6,29,20.69,4,22,18.18,15,58.9,3.93,"No",2015,9,"BA44BD47-B9DA-4780-A3C1-65F45D1260C9","TH-PUTR0141",0.098,7.89,63.5,6.44,14.6,2.91,0.00195,0.0365,0.041,2.95,NA,NA,NA,NA,"BA44BD47-B9DA-4780-A3C1-65F45D1260C9",12,0,0,101,5,0,0,0,61,38,21,217,2,5
"3",218,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","VER",33449,1,"TL",12748,8590,"TL1274808590","GB106039029920",82,1.3,15.2,1,3,29,2,77,9,13,243.5,NA,NA,NA,"1995-01-01","1997-01-13","2021-04-07",48,FALSE,1,1990,"VER","TL1274808590",731218,1,"",2015-11-13,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",722212,"2015-11-13","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",18,93,5.17,21,115.5,5.5,15,26,1.73,5,3,5,8.67,18,99,5.5,14.88,16.96,87.74,8.02,10.44,76.82,18,137,7.61,24,186,7.75,37,54,68.52,27,42,64.29,21,117.1,5.58,"No",2015,11,"274E5E06-0E2B-4FAE-9DB4-32C45668B7D6","TH-PCNR0093",0.03,7.99,103,10.1,16.3,5.47,0.00085,0.0164,0.017,5.49,NA,NA,NA,NA,"274E5E06-0E2B-4FAE-9DB4-32C45668B7D6",354,867,2,9,162,0,235,0,388,100,36,2121,12,397
"4",227,"THAMES - NORTH EAST","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","HIGH LAVER BROOK",33514,1,"TL",53000,7050,"TL5300007050","GB106037033490",55,3.3,5.7,1,2.3,8,15,55,20,10,241,NA,NA,NA,"2012-10-04","1996-03-14","2020-11-13",12,FALSE,1,2209,"HIGH LAVER BROOK","TL5300007050",725846,1,"",2015-09-24,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",718224,"2015-11-27","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",15,78,5.2,17,83.2,4.89,10,23,2.3,7,3,7,16.1,13,65,5,4,6.95,57.55,1.76,5.13,34.31,15,100,6.67,17,118,6.94,10,33,30.3,13,29,44.83,17,86.4,5.08,"No",2015,9,"FBB34968-AFCD-4016-94DF-D9F2F36BA2CD","TH-PRGR0163",0.03,7.89,78,8.12333333333333,13.4,8.08,0.00055,0.0279,0.145,8.10333333333333,NA,NA,NA,NA,"FBB34968-AFCD-4016-94DF-D9F2F36BA2CD",103,66,0,3,25,0,3,0,47,664,25,915,7,28
"5",361,"THAMES - NORTH EAST","BRENT","RIVER: Natural/semi-natural flowing fresh watercourse","BRENT",34007,1,"TQ",15100,80140,"TQ1510080140","GB106039023590",11,0.6,36,2,9.9,24.67,19,47,19,15,190,NA,NA,NA,"1995-01-01","1988-08-01","2018-09-14",28,FALSE,1,3351,"BRENT","TQ1510080140",726191,1,"",2015-09-29,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",719440,"2015-12-08","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",10,34,3.4,10,23.9,2.39,10,20,2,3,1,3,6,7,26,3.71,NA,5.01,0,NA,1.96,0,8,45,5.63,11,58,5.27,NA,28,0,1,21,4.76,10,30.3,3.03,"No",2015,9,"025869E1-5F53-4AE6-91C6-E6F6EC8A65C8","TH-PBRR0011",0.261,7.68,59.4,5.7,17.2,1.59,0.00391,0.142,0.583,1.73,NA,NA,NA,NA,"025869E1-5F53-4AE6-91C6-E6F6EC8A65C8",2635,253,12,0,0,0,0,0,8,3,17,2911,0,0
"6",366,"THAMES - NORTH EAST","LEE","RIVER: Natural/semi-natural flowing fresh watercourse","LEE (THAMES)",34014,1,"TL",38500,8200,"TL3850008200","GB106038077851",28,0.6,57.51,5,20.8,176.67,1,14,17,68,224,NA,NA,NA,"1995-01-01","1975-01-15","2016-09-09",43,FALSE,1,3459,"LEE (THAMES)","TL3850008200",728911,1,"",2015-10-22,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",724204,"2016-02-09","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",18,83,4.61,22,91.4,4.15,16,23,1.44,3,3,3,4.31,18,69,3.83,1,7.5,13.33,2,7.83,25.54,19,113,5.95,19,111,5.84,1,35,2.86,7,34,20.59,22,97.3,4.42,"No",2015,10,"F00A2255-F0DC-4EC4-8C04-2EB3B18BC1EB","TH-PLER0060",NA,8.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F00A2255-F0DC-4EC4-8C04-2EB3B18BC1EB",25,373,0,0,2,5,31,0,213,358,33,1010,3,33
"7",368,"THAMES - NORTH EAST","BEANE","RIVER: Natural/semi-natural flowing fresh watercourse","BEANE",34017,1,"TL",29771,19790,"TL2977119790","GB106038033310",58,2,18.41,2,4.2,13.67,10,72,10,8,203,NA,NA,NA,"1995-01-01","1990-04-09","2020-10-06",82,FALSE,1,3511,"BEANE","TL2977119790",733084,1,"",2015-11-05,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",723047,"2015-11-05","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",20,102,5.1,26,135.7,5.22,20,27,1.35,3,5,5,6.75,17,89,5.24,10.76,15.29,70.37,7.31,10.93,66.88,20,149,7.45,24,177,7.38,24,52,46.15,26,44,59.09,26,137.2,5.28,"No",2015,11,"9A0DCC33-D666-4C01-A7AB-02B7B6476AC2","TH-PLER0012",0.03,8.07,124.75,12.3,15.65,3.845,0.00076,0.03035,0.06,3.875,NA,NA,NA,NA,"9A0DCC33-D666-4C01-A7AB-02B7B6476AC2",102,506,0,8,123,1,12,0,63,243,34,1059,9,135
"8",370,"THAMES - NORTH EAST","BEANE","RIVER: Natural/semi-natural flowing fresh watercourse","BEANE",34019,1,"TL",28947,20514,"TL2894720514","GB106038033310",60,2.6,16.95,1,2.7,13.8,2,41,12,45,184,NA,NA,NA,"2010-01-01","1989-04-14","2020-10-05",32,FALSE,1,3556,"BEANE","TL2894720514",733083,1,"",2015-11-03,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",723046,"2015-11-03","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",21,107,5.1,24,118,4.92,20,32,1.6,3,5,5,8,20,89,4.45,7.63,14.49,52.66,4.53,8.18,55.38,20,135,6.75,22,150,6.82,14,40,35,18,42,42.86,24,122.3,5.1,"No",2015,11,"629ADC92-A6EA-4202-AF94-F7487FD2BCA8","TH-PLER0299",0.0613333333333333,7.94666666666667,87.9333333333333,8.82333333333333,15.1333333333333,5.07,0.00146,0.0569333333333333,0.067,5.13,NA,NA,NA,NA,"629ADC92-A6EA-4202-AF94-F7487FD2BCA8",51,750,0,16,253,7,5,0,106,48,30,1268,8,258
"9",372,"THAMES - NORTH EAST","THAMES SOURCE TO TEDDINGTON (NE SECTION)","RIVER: Natural/semi-natural flowing fresh watercourse","ASH (THAMES)",34021,1,"TQ",9300,67770,"TQ0930067770","GB106039023480",9,0.5,9.59,1,4.3,20.33,2,72,21,5,220,NA,NA,NA,"1995-01-01","1989-01-23","2019-11-08",54,FALSE,1,3597,"ASH (THAMES)","TQ0930067770",730739,1,"",2015-11-19,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",721975,"2016-01-19","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",24,123,5.13,29,149.6,5.16,27,50,1.85,7,5,7,12.96,23,103,4.48,12.87,19.36,66.48,6.01,11.13,54,25,168,6.72,32,228,7.13,30,67,44.78,24,49,48.98,29,147.8,5.1,"No",2015,11,"AA26F4BD-5A23-4D9E-B387-57ABDD3E8B3F","TH-PTHR0005",0.0696666666666667,7.78666666666667,89.1666666666667,8.27,18.9,5.08666666666667,0.00138666666666667,0.0642666666666667,0.092,5.15333333333333,NA,NA,NA,NA,"AA26F4BD-5A23-4D9E-B387-57ABDD3E8B3F",118,335,0,256,60,4,87,0,64,134,45,1069,12,147
"10",384,"THAMES - NORTH EAST","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","RODING",34034,1,"TQ",50300,97400,"TQ5030097400","GB106037028180",28,1,43.03,2,4.3,30,3,67,15,15,226,NA,NA,NA,"1995-01-01","1990-03-12","2020-11-12",46,FALSE,1,3708,"RODING","TQ5030097400",725852,1,"",2015-09-24,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",720534,"2015-12-31","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",21,105,5,24,110.2,4.59,24,36,1.5,5,5,5,7.5,20,94,4.7,5,13.2,37.88,3,9.56,31.38,22,139,6.32,29,184,6.34,13,68,19.12,12,46,26.09,24,117,4.88,"No",2015,9,"8DAD085A-36CB-487A-9F90-A8CA2CA1B837","TH-PRGR0032",0.0386666666666667,7.88333333333333,92.6666666666667,8.99666666666667,16.5333333333333,4.12666666666667,0.000716666666666667,0.0254,0.530333333333333,4.15333333333333,NA,NA,NA,NA,"8DAD085A-36CB-487A-9F90-A8CA2CA1B837",113,182,1,56,272,1,332,0,273,323,39,1622,8,604
