"","X.x","AGENCY_AREA","CATCHMENT","WATERBODY_TYPE_DESCRIPTION","WATER_BODY.x","SITE_ID","SITE_VERSION","NGR_PREFIX","EASTING","NORTHING","NGR_10_FIG.x","WFD_WATERBODY_ID","ALTITUDE","SLOPE","DIST_FROM_SOURCE","DISCHARGE","WIDTH","DEPTH","BOULDERS_COBBLES","PEBBLES_GRAVEL","SAND","SILT_CLAY","ALKALINITY","CONDUCTIVITY","TOTAL_HARDNESS","CALCIUM","BASE_DATA_DATE","MIN_SAMPLE_DATE","MAX_SAMPLE_DATE","COUNT_OF_SAMPLES","ECN_SITE_INV","SAMPLES_PER_SITE","X.y","WATER_BODY.y","NGR_10_FIG.y","SAMPLE_ID","SAMPLE_VERSION","REPLICATE_CODE","SAMPLE_DATE","SAMPLE_TYPE_DESCRIPTION","SAMPLE_METHOD_DESCRIPTION","SAMPLE_REASON","ANALYSIS_ID","DATE_OF_ANALYSIS","ANALYSIS_TYPE_DESCRIPTION","ANALYSIS_METHOD_DESCRIPTION","BMWP_N_TAXA","BMWP_TOTAL","BMWP_ASPT","WHPT_N_TAXA","WHPT_TOTAL","WHPT_ASPT","CCI_N_TAXA","CCI_CS_TOTAL","CCI_ASPT","CSmax_CoS","BMWP_CoS","CCI_CoS","CCI","DEHLI_N_TAXA","DIS_TOTAL","DEHLI","EPSI_ML_S_GRP","EPSI_ML_ALL_GRP","EPSI_MIXED_LEVEL_SCORE","EPSI_S_GRP","EPSI_ALL_GRP","EPSI_FAMILY_SCORE","LIFE_N_TAXA","LIFE_SCORES_TOTAL","LIFE_FAMILY_INDEX","LIFE_SPECIES_N_TAXA","LIFE_SPECIES_SCORES_TOTAL","LIFE_SPECIES_INDEX","PSI_ML_AB","PSI_ML_ABCD","PSI_MIXED_LEVEL_SCORE","PSI_AB","PSI_ABCD","PSI_FAMILY_SCORE","WHPT_NW_N_TAXA","WHPT_NW_TOTAL","WHPT_NW_ASPT","IS_THIRD_PARTY_DATA","SAMPLE_DATE_YEAR","SAMPLE_DATE_MONTH","identifier.x","sample.samplingPoint.notation","pH_phunits","Oxygen, Dissolved, % Saturation_%","Orthophosphate, reactive as P_mg/l","Oxygen, Dissolved as O2_mg/l","Ammonia un-ionised as N_mg/l","Ammoniacal Nitrogen as N_mg/l","Nitrite as N_mg/l","Nitrate as N_mg/l","Nitrogen, Total Oxidised as N_mg/l","Temperature of Water_cel","Solids, Suspended at 105 C_mg/l","Phosphorus, Total as P_mg/l","Chlorophyll : Acetone Extract_ug/l","BOD : 5 Day ATU_mg/l","identifier.y","annelid","crustacean","flatworm (Turbellaria)","insect - beetle (Coleoptera)","insect - caddis fly (Trichoptera)","insect - dragonfly (Odonata)","insect - mayfly (Ephemeroptera)","insect - stonefly (Plecoptera)","insect - true fly (Diptera)","mollusc","macro_richness","total_abundance","ept_richness","ept_abundance"
"1",188,"THAMES - WEST","CHERWELL AND RAY (OXON)","RIVER: Natural/semi-natural flowing fresh watercourse","ASHBY BROOK (CHERWELL AND RAY)",33222,1,"SP",53407,48805,"SP5340748805","GB106039037360",115,3.1,10.2,1,2.5,23.33,33,27,20,20,187,NA,NA,NA,"1995-01-01","1990-11-20","2019-10-10",19,FALSE,1,1728,"ASHBY BROOK (CHERWELL AND RAY)","SP5340748805",746458,1,"",2016-09-30,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",735235,"2016-11-14","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",10,48,4.8,10,46.3,4.63,7,15,2.14,5,1,5,10.71,8,41,5.13,2.5,4.22,59.24,1,3.66,27.32,8,51,6.38,11,74,6.73,5,24,20.83,5,16,31.25,10,46.1,4.61,"No",2016,9,"445F9027-CD79-493E-959F-A8DD2ED4307D","TH-PCHR0095",7.95,86,0.186,9,0.00062,0.03,0.0107,4.08,4.09,13.2,NA,NA,NA,NA,"445F9027-CD79-493E-959F-A8DD2ED4307D",10,3,0,16,13,4,0,0,80,60,15,186,2,13
"2",192,"THAMES - SOUTH EAST","THAMES SOURCE TO TEDDINGTON (SE SECTION)","RIVER: Natural/semi-natural flowing fresh watercourse","BULL BROOK (THAMES SE)",33233,1,"SU",88270,70310,"SU8827070310","GB106039017670",62,3.9,4.758,1,2.4,26.67,20,25,28,27,158,NA,NA,NA,"1995-01-01","1990-03-12","2016-10-06",24,FALSE,1,1773,"BULL BROOK (THAMES SE)","SU8827070310",747244,1,"",2016-10-06,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",736870,"2016-12-20","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",15,62,4.13,17,66.3,3.9,11,19,1.73,5,3,5,8.64,13,67,5.15,7.76,10.83,71.65,4.03,7.68,52.47,14,94,6.71,14,103,7.36,15,38,39.47,13,37,35.14,17,70.8,4.16,"No",2016,10,"AB169000-5831-40AB-9153-EB078DCC3CB5","TH-PTHR0012",8.09,74.8,1.01,7.32,0.00251,0.087,0.0473,18.6,18.6,16.3,NA,NA,NA,NA,"AB169000-5831-40AB-9153-EB078DCC3CB5",513,301,26,0,50,1,20,0,217,70,23,1198,2,70
"3",199,"THAMES - NORTH EAST","STORT","RIVER: Natural/semi-natural flowing fresh watercourse","FIDDLERS BROOK",33303,2,"TL",44904,11950,"TL4490411950","GB106038033260",45,10,8.58,1,2,14,14,33,4,49,273.5,NA,NA,NA,"2012-10-04","1998-05-20","2019-11-22",10,FALSE,1,1809,"FIDDLERS BROOK","TL4490411950",749095,1,"",2016-11-08,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",738734,"2017-02-06","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",15,68,4.53,16,61.6,3.85,15,21,1.4,5,3,5,7,13,47,3.62,1.87,7.51,24.9,1.26,5.91,21.32,15,90,6,16,95,5.94,4,31,12.9,8,33,24.24,16,67.1,4.19,"No",2016,11,"9E94C9F1-729E-409B-ABB4-965BF7297140","TH-PLER0308",7.775,58.95,0.1665,5.55,0.001465,0.0745,0.04985,2.1585,2.21,18.05,NA,NA,NA,NA,"9E94C9F1-729E-409B-ABB4-965BF7297140",0,16,0,23,12,0,7,0,6,188,22,278,3,19
"4",218,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","VER",33449,1,"TL",12748,8590,"TL1274808590","GB106039029920",82,1.3,15.2,1,3,29,2,77,9,13,243.5,NA,NA,NA,"1995-01-01","1997-01-13","2021-04-07",48,FALSE,1,1992,"VER","TL1274808590",746457,1,"",2016-09-30,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",739704,"2017-02-27","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",15,77,5.13,19,107.4,5.65,12,24,2,5,3,5,10,15,90,6,12.5,14.22,87.9,9.29,11.46,81.06,15,117,7.8,18,145,8.06,34,44,77.27,28,38,73.68,19,107.4,5.65,"No",2016,9,"274E5E06-0E2B-4FAE-9DB4-32C45668B7D6","TH-PCNR0093",7.72,92.7,0.022,8.83,0.00051,0.03,0.0273,4.9,4.93,17.6,NA,NA,NA,NA,"274E5E06-0E2B-4FAE-9DB4-32C45668B7D6",19,190,0,6,129,0,100,0,394,101,33,944,11,229
"5",365,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","COLNE BROOK",34013,1,"TQ",1900,72300,"TQ0190072300","GB106039023000",17,0.7,57.9,4,13,40,4,71,12,13,229,NA,NA,NA,"2012-10-04","1990-05-10","2020-11-06",35,FALSE,1,3434,"COLNE BROOK","TQ0190072300",748361,1,"",2016-10-26,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",739017,"2017-02-09","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",20,117,5.85,21,121.1,5.77,15,26,1.73,5,5,5,8.67,18,101,5.61,11,15.16,72.56,10.51,14.64,71.79,19,143,7.53,21,158,7.52,25,47,53.19,26,44,59.09,21,120.6,5.74,"No",2016,10,"A460A276-DCC6-4C90-AAD4-05423A267E2F","TH-PCNR0039",8.135,94.9,0.307,9.17,0.00097,0.032,0.01875,6.685,6.705,16.9,NA,NA,NA,NA,"A460A276-DCC6-4C90-AAD4-05423A267E2F",13,30,0,100,36,0,44,0,14,94,28,341,12,80
"6",366,"THAMES - NORTH EAST","LEE","RIVER: Natural/semi-natural flowing fresh watercourse","LEE (THAMES)",34014,1,"TL",38500,8200,"TL3850008200","GB106038077851",28,0.6,57.51,5,20.8,176.67,1,14,17,68,224,NA,NA,NA,"1995-01-01","1975-01-15","2016-09-09",43,FALSE,1,3461,"LEE (THAMES)","TL3850008200",744969,1,"",2016-09-09,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",739574,"2016-09-09","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",14,52,3.71,17,59,3.47,5,6,1.2,1,3,3,3.6,13,48,3.69,NA,3.44,0,0.75,4.9,15.31,14,83,5.93,9,52,5.78,NA,20,0,4,28,14.29,17,64.3,3.78,"No",2016,9,"F00A2255-F0DC-4EC4-8C04-2EB3B18BC1EB","TH-PLER0060",7.88,87.1,0.239,8.11,0.00118,0.045,0.0586,14.2,14.3,18.7,NA,NA,NA,NA,"F00A2255-F0DC-4EC4-8C04-2EB3B18BC1EB",47,104,0,0,1,1,2,0,370,107,21,632,2,3
"7",368,"THAMES - NORTH EAST","BEANE","RIVER: Natural/semi-natural flowing fresh watercourse","BEANE",34017,1,"TL",29771,19790,"TL2977119790","GB106038033310",58,2,18.41,2,4.2,13.67,10,72,10,8,203,NA,NA,NA,"1995-01-01","1990-04-09","2020-10-06",82,FALSE,1,3514,"BEANE","TL2977119790",751797,1,"",2016-11-10,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",739039,"2017-02-09","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",18,80,4.44,20,93.5,4.68,17,22,1.29,5,3,5,6.47,15,75,5,10.39,14.06,73.9,5.55,8.69,63.87,18,132,7.33,21,156,7.43,23,46,50,22,40,55,20,97.4,4.87,"No",2016,11,"9A0DCC33-D666-4C01-A7AB-02B7B6476AC2","TH-PLER0012",7.865,85.25,0.131,8.26,0.001255,0.0535,0.04115,8.575,8.63,16.75,NA,NA,NA,NA,"9A0DCC33-D666-4C01-A7AB-02B7B6476AC2",157,801,0,14,48,0,2,0,190,199,27,1411,7,50
"8",372,"THAMES - NORTH EAST","THAMES SOURCE TO TEDDINGTON (NE SECTION)","RIVER: Natural/semi-natural flowing fresh watercourse","ASH (THAMES)",34021,1,"TQ",9300,67770,"TQ0930067770","GB106039023480",9,0.5,9.59,1,4.3,20.33,2,72,21,5,220,NA,NA,NA,"1995-01-01","1989-01-23","2019-11-08",54,FALSE,1,3599,"ASH (THAMES)","TQ0930067770",745355,1,"",2016-09-14,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",739706,"2017-02-27","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",21,109,5.19,22,118.9,5.4,21,36,1.71,5,5,5,8.57,18,95,5.28,12.5,18.88,66.21,7.02,11.41,61.52,19,135,7.11,25,190,7.6,30,58,51.72,24,43,55.81,22,117.9,5.36,"No",2016,9,"AA26F4BD-5A23-4D9E-B387-57ABDD3E8B3F","TH-PTHR0005",7.86,83.7,0.061,7.44,0.00154,0.052,0.072,4.58,4.65,21,NA,NA,NA,NA,"AA26F4BD-5A23-4D9E-B387-57ABDD3E8B3F",12,269,0,68,72,4,60,0,568,82,38,1136,9,132
"9",382,"THAMES - NORTH EAST","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","BROOKHOUSE BROOK",34032,1,"TQ",47800,98000,"TQ4780098000","GB106037028150",27,1.7,7.4,1,2.8,10,3,83,5,8,206,NA,NA,NA,"1995-01-01","1989-07-05","2019-11-25",30,FALSE,1,3676,"BROOKHOUSE BROOK","TQ4780098000",746459,1,"",2016-09-30,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",738774,"2017-02-06","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",19,88,4.63,20,86.6,4.33,12,13,1.08,1,3,3,3.25,13,58,4.46,5.63,8.19,68.74,4.01,7.17,55.93,17,113,6.65,17,116,6.82,13,36,36.11,12,34,35.29,20,88,4.4,"No",2016,9,"EE8405B8-00FC-4FEA-A64E-D149B59A3D8C","TH-PRGR0005",8.12,97.55,1.56,9.23,0.00215,0.067,0.0581,20.1,20.15,17.85,NA,NA,NA,NA,"EE8405B8-00FC-4FEA-A64E-D149B59A3D8C",86,26,0,5,28,1,51,0,206,28,24,431,6,79
"10",384,"THAMES - NORTH EAST","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","RODING",34034,1,"TQ",50300,97400,"TQ5030097400","GB106037028180",28,1,43.03,2,4.3,30,3,67,15,15,226,NA,NA,NA,"1995-01-01","1990-03-12","2020-11-12",46,FALSE,1,3710,"RODING","TQ5030097400",748618,1,"",2016-11-01,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",739580,"2016-11-01","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",31,155,5,36,169.2,4.7,23,39,1.7,5,7,7,11.87,28,122,4.36,8.5,15.96,53.26,4.75,12.3,38.62,32,203,6.34,35,236,6.74,20,72,27.78,22,64,34.38,36,172.6,4.79,"No",2016,11,"8DAD085A-36CB-487A-9F90-A8CA2CA1B837","TH-PRGR0032",7.925,92.6,0.436,8.36,0.00113,0.035,0.032,5.355,5.385,20.2,NA,NA,NA,NA,"8DAD085A-36CB-487A-9F90-A8CA2CA1B837",149,231,3,113,244,42,217,0,118,280,59,1425,20,461
