"","X.x","AGENCY_AREA","REPORTING_AREA","CATCHMENT","WATERBODY_TYPE_DESCRIPTION","WATER_BODY.x","SITE_ID","SITE_VERSION","NGR_PREFIX","EASTING","NORTHING","NGR_10_FIG.x","WFD_WATERBODY_ID","ALTITUDE","SLOPE","DIST_FROM_SOURCE","DISCHARGE","WIDTH","DEPTH","BOULDERS_COBBLES","PEBBLES_GRAVEL","SAND","SILT_CLAY","ALKALINITY","CONDUCTIVITY","TOTAL_HARDNESS","CALCIUM","BASE_DATA_DATE","MIN_SAMPLE_DATE","MAX_SAMPLE_DATE","COUNT_OF_SAMPLES","ECN_SITE_INV","SAMPLES_PER_SITE","X.y","WATER_BODY.y","NGR_10_FIG.y","SAMPLE_ID","SAMPLE_VERSION","REPLICATE_CODE","SAMPLE_DATE","SAMPLE_TYPE_DESCRIPTION","SAMPLE_METHOD_DESCRIPTION","SAMPLE_REASON","ANALYSIS_ID","DATE_OF_ANALYSIS","ANALYSIS_TYPE_DESCRIPTION","ANALYSIS_METHOD_DESCRIPTION","BMWP_N_TAXA","BMWP_TOTAL","BMWP_ASPT","WHPT_N_TAXA","WHPT_TOTAL","WHPT_ASPT","CCI_N_TAXA","CCI_CS_TOTAL","CCI_ASPT","CSmax_CoS","BMWP_CoS","CCI_CoS","CCI","DEHLI_N_TAXA","DIS_TOTAL","DEHLI","EPSI_ML_S_GRP","EPSI_ML_ALL_GRP","EPSI_MIXED_LEVEL_SCORE","EPSI_S_GRP","EPSI_ALL_GRP","EPSI_FAMILY_SCORE","LIFE_N_TAXA","LIFE_SCORES_TOTAL","LIFE_FAMILY_INDEX","LIFE_SPECIES_N_TAXA","LIFE_SPECIES_SCORES_TOTAL","LIFE_SPECIES_INDEX","PSI_ML_AB","PSI_ML_ABCD","PSI_MIXED_LEVEL_SCORE","PSI_AB","PSI_ABCD","PSI_FAMILY_SCORE","WHPT_NW_N_TAXA","WHPT_NW_TOTAL","WHPT_NW_ASPT","IS_THIRD_PARTY_DATA","SAMPLE_DATE_YEAR","SAMPLE_DATE_MONTH","identifier.x","sample.samplingPoint.notation","Oxygen, Dissolved, % Saturation_%","Temperature of Water_cel","Oxygen, Dissolved as O2_mg/l","pH_phunits","Ammonia un-ionised as N_mg/l","Ammoniacal Nitrogen as N_mg/l","Nitrate as N_mg/l","Nitrite as N_mg/l","Orthophosphate, reactive as P_mg/l","Nitrogen, Total Oxidised as N_mg/l","Solids, Suspended at 105 C_mg/l","Phosphorus, Total as P_mg/l","BOD : 5 Day ATU_mg/l","identifier.y","annelid","crustacean","flatworm (Turbellaria)","insect - beetle (Coleoptera)","insect - caddis fly (Trichoptera)","insect - dragonfly (Odonata)","insect - mayfly (Ephemeroptera)","insect - stonefly (Plecoptera)","insect - true fly (Diptera)","mollusc","macro_richness","total_abundance","ept_richness","ept_abundance"
"1",85,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","VER",33449,1,"TL",12748,8590,"TL1274808590","GB106039029920",82,1.3,15.2,1,3,29,2,77,9,13,243.5,NA,NA,NA,"1995-01-01","1997-01-13","2022-09-12",51,FALSE,1,846,"VER","TL1274808590",761139,1,"",2017-09-26,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",754795,"2017-09-26","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",16,85,5.31,21,117.2,5.58,12,19,1.58,3,3,3,4.75,19,96,5.05,9,11.21,80.29,6.26,7.96,78.64,15,113,7.53,17,128,7.53,22,38,57.89,24,38,63.16,21,117.1,5.58,"No",2017,9,"274E5E06-0E2B-4FAE-9DB4-32C45668B7D6","TH-PCNR0093",76.5,15.3,7.645,7.56,0.0003,0.03,3.11,0.0071,0.0275,3.115,NA,NA,NA,"274E5E06-0E2B-4FAE-9DB4-32C45668B7D6",4,280,0,2,32,2,72,0,334,15,35,749,10,104
"2",126,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","RIB","RIVER: Natural/semi-natural flowing fresh watercourse","RIB",33648,1,"TL",33800,16350,"TL3380016350","GB106038033360",46,1,31.07,2,8,20,17,65,5,13,276,NA,NA,NA,"2012-10-04","1993-11-23","2022-04-11",35,FALSE,1,1259,"RIB","TL3380016350",764131,1,"",2017-11-20,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","Local Investigative monitoring",754932,"2017-11-20","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",26,144,5.54,29,161.4,5.57,23,42,1.83,5,5,5,9.13,25,113,4.52,12.5,18.85,66.31,6.8,12.62,53.88,25,178,7.12,33,245,7.42,34,75,45.33,25,53,47.17,29,163,5.62,"No",2017,11,"311D3BF5-7E69-42F2-82BC-D414705860AB","TH-PLER0121",62.8,16.8,6.08,8.01,0.00132,0.044,5.3,0.0254,0.56,5.33,NA,NA,NA,"311D3BF5-7E69-42F2-82BC-D414705860AB",104,147,1,81,158,0,126,0,84,330,60,1032,28,284
"3",233,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","COLNE BROOK",34013,1,"TQ",1900,72300,"TQ0190072300","GB106039023000",17,0.7,57.9,4,13,40,4,71,12,13,229,NA,NA,NA,"2012-10-04","1990-05-10","2020-11-06",35,FALSE,1,2384,"COLNE BROOK","TQ0190072300",761438,1,"",2017-10-02,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",754800,"2018-02-16","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",22,141,6.41,23,135,5.87,14,22,1.57,5,5,5,7.86,21,119,5.67,10,15.39,64.98,9,14.33,62.81,21,155,7.38,25,187,7.48,23,50,46,26,47,55.32,23,136.4,5.93,"No",2017,10,"A460A276-DCC6-4C90-AAD4-05423A267E2F","TH-PCNR0039",88.45,18.3,8.305,7.82,0.00074,0.0325,9.89,0.0162,0.414,9.9,NA,NA,NA,"A460A276-DCC6-4C90-AAD4-05423A267E2F",17,56,1,141,34,1,32,0,9,226,32,534,12,66
"4",236,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","BEANE","RIVER: Natural/semi-natural flowing fresh watercourse","BEANE",34017,1,"TL",29771,19790,"TL2977119790","GB106038033310",58,2,18.41,2,4.2,13.67,10,72,10,8,203,NA,NA,NA,"1995-01-01","1990-04-09","2022-04-13",85,FALSE,2,2464,"BEANE","TL2977119790",761688,1,"",2017-10-04,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",754772,"2017-10-04","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",20,99,4.95,22,99,4.5,18,23,1.28,3,3,3,3.83,18,76,4.22,6.88,13.86,49.64,3.27,8.35,39.16,19,124,6.53,24,161,6.71,16,56,28.57,14,42,33.33,22,102.9,4.68,"No",2017,10,"9A0DCC33-D666-4C01-A7AB-02B7B6476AC2","TH-PLER0012",94.1,17.95,8.87,7.975,0.000985,0.033,2.13,0.01675,0.18,2.145,NA,NA,NA,"9A0DCC33-D666-4C01-A7AB-02B7B6476AC2",91,164,1,25,64,2,5,0,300,546,37,1205,7,69
"5",236,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","BEANE","RIVER: Natural/semi-natural flowing fresh watercourse","BEANE",34017,1,"TL",29771,19790,"TL2977119790","GB106038033310",58,2,18.41,2,4.2,13.67,10,72,10,8,203,NA,NA,NA,"1995-01-01","1990-04-09","2022-04-13",85,FALSE,2,2467,"BEANE","TL2977119790",768202,1,"",2017-10-18,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","Local Investigative monitoring",756313,"2017-10-18","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",23,124,5.39,27,146.6,5.43,20,31,1.55,3,5,5,7.75,22,105,4.77,16.27,21.54,75.53,10.08,13.69,73.63,22,161,7.32,26,198,7.62,33,59,55.93,30,52,57.69,27,144.5,5.35,"No",2017,10,"9A0DCC33-D666-4C01-A7AB-02B7B6476AC2","TH-PLER0012",94.1,17.95,8.87,7.975,0.000985,0.033,2.13,0.01675,0.18,2.145,NA,NA,NA,"9A0DCC33-D666-4C01-A7AB-02B7B6476AC2",169,50,0,109,240,0,49,0,94,544,41,1257,18,289
"6",240,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","THAMES SOURCE TO TEDDINGTON (NE SECTION)","RIVER: Natural/semi-natural flowing fresh watercourse","ASH (THAMES)",34021,1,"TQ",9300,67770,"TQ0930067770","GB106039023480",9,0.5,9.59,1,4.3,20.33,2,72,21,5,220,NA,NA,NA,"1995-01-01","1989-01-23","2022-04-07",55,FALSE,1,2554,"ASH (THAMES)","TQ0930067770",761446,1,"",2017-10-02,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",754724,"2017-10-02","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",22,117,5.32,24,125.6,5.23,21,36,1.71,5,5,5,8.57,20,91,4.55,15.87,19.67,80.68,7.77,11.44,67.92,22,157,7.14,27,208,7.7,40,61,65.57,23,44,52.27,24,121.7,5.07,"No",2017,10,"AA26F4BD-5A23-4D9E-B387-57ABDD3E8B3F","TH-PTHR0005",71.2,23.4,6.05,7.615,0.00132,0.032,6.14,0.0267,0.11,6.17,NA,NA,NA,"AA26F4BD-5A23-4D9E-B387-57ABDD3E8B3F",12,536,1,27,29,5,177,0,109,101,38,997,12,206
"7",252,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","RODING",34034,1,"TQ",50300,97400,"TQ5030097400","GB106037028180",28,1,43.03,2,4.3,30,3,67,15,15,226,NA,NA,NA,"1995-01-01","1990-03-12","2022-04-20",49,FALSE,1,2668,"RODING","TQ5030097400",761205,1,"",2017-09-27,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",754222,"2018-02-06","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",29,152,5.24,33,161.4,4.89,30,48,1.6,5,7,7,11.2,29,136,4.69,11,21.01,52.36,7.76,16.74,46.36,30,198,6.6,34,229,6.74,26,87,29.89,26,67,38.81,33,161.5,4.89,"No",2017,9,"8DAD085A-36CB-487A-9F90-A8CA2CA1B837","TH-PRGR0032",51.9,15.6666666666667,5.16333333333333,7.66333333333333,0.000673333333333333,0.0573333333333333,9.40333333333333,0.0429666666666667,0.611,9.43333333333333,NA,NA,NA,"8DAD085A-36CB-487A-9F90-A8CA2CA1B837",61,323,0,162,270,56,287,0,431,381,59,2016,18,557
"8",256,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","ALDERBOURNE",34038,1,"TQ",4157,83566,"TQ0415783566","GB106039023080",30,1.7,6.68,1,4.2,24.33,5,59,18,18,199.2,NA,NA,NA,"1995-01-01","1990-03-20","2022-05-13",42,FALSE,1,2729,"ALDERBOURNE","TQ0415783566",762295,1,"",2017-10-13,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",749528,"2017-11-02","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",28,168,6,33,186.8,5.66,32,68,2.13,10,7,10,21.25,29,142,4.9,16.14,22.89,70.51,9.79,16.35,59.88,28,203,7.25,42,314,7.48,38,79,48.1,29,57,50.88,33,188.1,5.7,"No",2017,10,"64611936-C05E-4170-AC54-C80E00D83ACA","TH-PCNR0001",98.6666666666667,16.9666666666667,9.51,7.94333333333333,0.00111,0.0413333333333333,4.19,0.0202666666666667,0.0256666666666667,4.21,NA,NA,NA,"64611936-C05E-4170-AC54-C80E00D83ACA",110,95,0,6,149,9,39,0,71,579,60,1064,23,188
"9",309,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","MIMRAM","RIVER: Natural/semi-natural flowing fresh watercourse","MIMRAM",34171,1,"TL",20754,18006,"TL2075418006","GB106038033270",74,3.1,7.31,1,4.5,14,19,66,8,7,254,NA,NA,NA,"1995-01-01","1975-01-09","2022-04-14",92,FALSE,2,3539,"MIMRAM","TL2075418006",763647,1,"",2017-11-08,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",753684,"2018-01-25","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",23,143,6.22,29,169.3,5.84,23,39,1.7,5,5,5,8.48,25,122,4.88,16.15,20.2,79.95,8.32,10.77,77.25,23,170,7.39,30,227,7.57,42,71,59.15,32,54,59.26,29,172.8,5.96,"No",2017,11,"CBA0A40E-F999-4046-BCBD-33C83E7552DE","TH-PLER0089",95.7,15.7,9.48,7.76,0.00059,0.0375,5.83,0.0441,0.384,5.87,NA,NA,NA,"CBA0A40E-F999-4046-BCBD-33C83E7552DE",70,205,6,96,93,0,268,0,212,15,52,995,21,361
"10",309,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","MIMRAM","RIVER: Natural/semi-natural flowing fresh watercourse","MIMRAM",34171,1,"TL",20754,18006,"TL2075418006","GB106038033270",74,3.1,7.31,1,4.5,14,19,66,8,7,254,NA,NA,NA,"1995-01-01","1975-01-09","2022-04-14",92,FALSE,2,3541,"MIMRAM","TL2075418006",768196,1,"",2017-10-17,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","Local Investigative monitoring",756306,"2018-03-23","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",26,146,5.62,30,169.8,5.66,25,59,2.36,5,5,5,11.8,28,133,4.75,20.15,27.38,73.59,10.06,14.69,68.48,25,182,7.28,36,271,7.53,46,81,56.79,33,63,52.38,30,165.7,5.52,"No",2017,10,"CBA0A40E-F999-4046-BCBD-33C83E7552DE","TH-PLER0089",95.7,15.7,9.48,7.76,0.00059,0.0375,5.83,0.0441,0.384,5.87,NA,NA,NA,"CBA0A40E-F999-4046-BCBD-33C83E7552DE",442,504,2,392,47,0,303,0,179,143,51,2039,17,350
