"","X.x","AGENCY_AREA","REPORTING_AREA","CATCHMENT","WATERBODY_TYPE_DESCRIPTION","WATER_BODY.x","SITE_ID","SITE_VERSION","NGR_PREFIX","EASTING","NORTHING","NGR_10_FIG.x","WFD_WATERBODY_ID","ALTITUDE","SLOPE","DIST_FROM_SOURCE","DISCHARGE","WIDTH","DEPTH","BOULDERS_COBBLES","PEBBLES_GRAVEL","SAND","SILT_CLAY","ALKALINITY","CONDUCTIVITY","TOTAL_HARDNESS","CALCIUM","BASE_DATA_DATE","MIN_SAMPLE_DATE","MAX_SAMPLE_DATE","COUNT_OF_SAMPLES","ECN_SITE_INV","SAMPLES_PER_SITE","X.y","WATER_BODY.y","NGR_10_FIG.y","SAMPLE_ID","SAMPLE_VERSION","REPLICATE_CODE","SAMPLE_DATE","SAMPLE_TYPE_DESCRIPTION","SAMPLE_METHOD_DESCRIPTION","SAMPLE_REASON","ANALYSIS_ID","DATE_OF_ANALYSIS","ANALYSIS_TYPE_DESCRIPTION","ANALYSIS_METHOD_DESCRIPTION","BMWP_N_TAXA","BMWP_TOTAL","BMWP_ASPT","WHPT_N_TAXA","WHPT_TOTAL","WHPT_ASPT","CCI_N_TAXA","CCI_CS_TOTAL","CCI_ASPT","CSmax_CoS","BMWP_CoS","CCI_CoS","CCI","DEHLI_N_TAXA","DIS_TOTAL","DEHLI","EPSI_ML_S_GRP","EPSI_ML_ALL_GRP","EPSI_MIXED_LEVEL_SCORE","EPSI_S_GRP","EPSI_ALL_GRP","EPSI_FAMILY_SCORE","LIFE_N_TAXA","LIFE_SCORES_TOTAL","LIFE_FAMILY_INDEX","LIFE_SPECIES_N_TAXA","LIFE_SPECIES_SCORES_TOTAL","LIFE_SPECIES_INDEX","PSI_ML_AB","PSI_ML_ABCD","PSI_MIXED_LEVEL_SCORE","PSI_AB","PSI_ABCD","PSI_FAMILY_SCORE","WHPT_NW_N_TAXA","WHPT_NW_TOTAL","WHPT_NW_ASPT","IS_THIRD_PARTY_DATA","SAMPLE_DATE_YEAR","SAMPLE_DATE_MONTH","identifier.x","sample.samplingPoint.notation","Oxygen, Dissolved as O2_mg/l","Temperature of Water_cel","Nitrite as N_mg/l","Ammonia un-ionised as N_mg/l","Nitrate as N_mg/l","Ammoniacal Nitrogen as N_mg/l","Nitrogen, Total Oxidised as N_mg/l","Orthophosphate, reactive as P_mg/l","pH_phunits","Oxygen, Dissolved, % Saturation_%","Phosphorus, Total as P_mg/l","Solids, Suspended at 105 C_mg/l","BOD : 5 Day ATU_mg/l","identifier.y","annelid","crustacean","flatworm (Turbellaria)","insect - beetle (Coleoptera)","insect - caddis fly (Trichoptera)","insect - dragonfly (Odonata)","insect - mayfly (Ephemeroptera)","insect - stonefly (Plecoptera)","insect - true fly (Diptera)","mollusc","macro_richness","total_abundance","ept_richness","ept_abundance"
"1",57,"THAMES - SOUTH EAST","THAMES","LODDON","RIVER: Natural/semi-natural flowing fresh watercourse","BARKHAM BROOK",33224,1,"SU",76340,68870,"SU7634068870","GB106039017400",41,2.4,4.927,1,3.1,40,8,27,28,37,172,NA,NA,NA,"1995-01-01","1990-04-05","2023-04-21",35,FALSE,1,581,"BARKHAM BROOK","SU7634068870",785135,1,"",2018-10-04,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",783573,"2019-02-28","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",15,65,4.33,17,68.2,4.01,13,19,1.46,5,3,5,7.31,13,45,3.46,2,9.23,21.67,1,5.14,19.46,13,78,6,16,98,6.13,4,43,9.3,4,30,13.33,17,70.5,4.15,"No",2018,10,"E61E208D-2167-4180-81B0-582FF8ACAE79","TH-PLDR0001",NA,NA,NA,NA,NA,NA,NA,NA,7.69,NA,NA,NA,NA,"E61E208D-2167-4180-81B0-582FF8ACAE79",51,77,0,21,56,14,0,0,206,299,33,725,6,56
"2",85,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","VER",33449,1,"TL",12748,8590,"TL1274808590","GB106039029920",82,1.3,15.2,1,3,29,2,77,9,13,243.5,NA,NA,NA,"1995-01-01","1997-01-13","2022-09-12",51,FALSE,1,848,"VER","TL1274808590",786030,1,"",2018-10-18,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",781624,"2018-10-18","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",14,71,5.07,17,88,5.18,11,30,2.73,5,3,5,13.64,14,70,5,9,10.72,83.96,6,7.95,75.47,13,103,7.92,16,126,7.88,23,35,65.71,22,34,64.71,17,88.9,5.23,"No",2018,10,"274E5E06-0E2B-4FAE-9DB4-32C45668B7D6","TH-PCNR0093",6.98,17.9,0.0101,0.0004,2.44,0.03,2.45,0.029,7.61,73.8,NA,4.73,NA,"274E5E06-0E2B-4FAE-9DB4-32C45668B7D6",63,472,0,3,20,1,163,0,165,9,23,896,5,183
"3",224,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","CRIPSEY BROOK",34001,1,"TL",53350,6850,"TL5335006850","GB106037033470",55,2,8.58,1,3,14,6,73,10,11,231,NA,NA,NA,"1995-01-01","1990-05-16","2022-09-07",39,FALSE,1,2243,"CRIPSEY BROOK","TL5335006850",785605,1,"",2018-10-10,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",781521,"2018-10-10","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",21,102,4.86,23,113.2,4.92,17,27,1.59,5,5,5,7.94,21,99,4.71,13.39,19.63,68.21,9.02,12.89,69.98,19,133,7,23,170,7.39,27,59,45.76,22,47,46.81,23,112.3,4.88,"No",2018,10,"7534859B-1B9C-45DB-B5AA-38701EDC7ACB","TH-PRGR0012",9.31,16,0.0397333333333333,0.00123,15.82,0.043,15.8566666666667,2.27,8.08333333333333,94.5666666666667,NA,11.49,NA,"7534859B-1B9C-45DB-B5AA-38701EDC7ACB",117,316,0,94,209,1,59,0,40,1035,37,1872,12,268
"4",236,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","BEANE","RIVER: Natural/semi-natural flowing fresh watercourse","BEANE",34017,1,"TL",29771,19790,"TL2977119790","GB106038033310",58,2,18.41,2,4.2,13.67,10,72,10,8,203,NA,NA,NA,"1995-01-01","1990-04-09","2022-04-13",85,FALSE,2,2469,"BEANE","TL2977119790",784738,1,"",2018-09-24,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",781660,"2018-09-24","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",19,102,5.37,20,105.7,5.29,16,22,1.38,3,5,5,6.88,15,74,4.93,11.38,15.54,73.23,5.29,8.43,62.75,18,131,7.28,22,163,7.41,22,42,52.38,20,34,58.82,20,104.4,5.22,"No",2018,9,"9A0DCC33-D666-4C01-A7AB-02B7B6476AC2","TH-PLER0012",10.67,16.3333333333333,0.0229,0.00084,2.78333333333333,0.0323333333333333,2.80666666666667,0.09,7.96,109,NA,4.18666666666667,NA,"9A0DCC33-D666-4C01-A7AB-02B7B6476AC2",68,890,0,15,66,0,26,0,19,126,27,1210,11,92
"5",236,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","BEANE","RIVER: Natural/semi-natural flowing fresh watercourse","BEANE",34017,1,"TL",29771,19790,"TL2977119790","GB106038033310",58,2,18.41,2,4.2,13.67,10,72,10,8,203,NA,NA,NA,"1995-01-01","1990-04-09","2022-04-13",85,FALSE,2,2472,"BEANE","TL2977119790",790903,1,"",2018-10-24,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","Local Investigative monitoring",783602,"2018-10-24","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",24,129,5.38,28,154.6,5.52,19,27,1.42,5,5,5,7.11,20,100,5,16.15,20.43,79.05,9.07,11.73,77.32,24,178,7.42,28,215,7.68,32,58,55.17,31,48,64.58,28,152.7,5.45,"No",2018,10,"9A0DCC33-D666-4C01-A7AB-02B7B6476AC2","TH-PLER0012",10.67,16.3333333333333,0.0229,0.00084,2.78333333333333,0.0323333333333333,2.80666666666667,0.09,7.96,109,NA,4.18666666666667,NA,"9A0DCC33-D666-4C01-A7AB-02B7B6476AC2",153,188,0,49,169,0,17,0,15,225,38,816,15,186
"6",238,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","BEANE","RIVER: Natural/semi-natural flowing fresh watercourse","BEANE",34019,1,"TL",28947,20514,"TL2894720514","GB106038040110",60,2.6,16.95,1,2.7,13.8,2,41,12,45,184,NA,NA,NA,"2010-01-01","1989-04-14","2022-04-11",35,FALSE,1,2510,"BEANE","TL2894720514",790902,1,"",2018-10-24,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","Local Investigative monitoring",783600,"2018-10-24","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",14,59,4.21,19,79.7,4.19,7,10,1.43,3,3,3,4.29,18,72,4,3,8.77,34.21,1,4.67,21.41,13,80,6.15,12,71,5.92,3,31,9.68,9,37,24.32,19,87.1,4.58,"No",2018,10,"629ADC92-A6EA-4202-AF94-F7487FD2BCA8","TH-PLER0299",6.06,14.1,0.0132,0.00024,2.85,0.03,2.86,0.058,7.5,59.1,NA,NA,NA,"629ADC92-A6EA-4202-AF94-F7487FD2BCA8",20,733,0,9,30,3,0,0,214,296,24,1306,1,30
"7",240,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","THAMES SOURCE TO TEDDINGTON (NE SECTION)","RIVER: Natural/semi-natural flowing fresh watercourse","ASH (THAMES)",34021,1,"TQ",9300,67770,"TQ0930067770","GB106039023480",9,0.5,9.59,1,4.3,20.33,2,72,21,5,220,NA,NA,NA,"1995-01-01","1989-01-23","2022-04-07",55,FALSE,1,2556,"ASH (THAMES)","TQ0930067770",787411,1,"",2018-11-13,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",783362,"2018-11-13","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",22,122,5.55,23,112.5,4.89,19,26,1.37,3,5,5,6.84,18,81,4.5,6.37,12.24,52.04,1,5.4,18.52,21,133,6.33,26,180,6.92,12,50,24,7,33,21.21,23,114.3,4.97,"No",2018,11,"AA26F4BD-5A23-4D9E-B387-57ABDD3E8B3F","TH-PTHR0005",NA,NA,NA,NA,NA,NA,NA,NA,7.86,NA,NA,NA,NA,"AA26F4BD-5A23-4D9E-B387-57ABDD3E8B3F",46,95,5,47,67,7,39,0,321,23,43,652,14,106
"8",252,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","RODING",34034,1,"TQ",50300,97400,"TQ5030097400","GB106037028180",28,1,43.03,2,4.3,30,3,67,15,15,226,NA,NA,NA,"1995-01-01","1990-03-12","2022-04-20",49,FALSE,1,2670,"RODING","TQ5030097400",784688,1,"",2018-09-27,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",783045,"2018-09-27","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",28,152,5.43,32,164.7,5.15,28,43,1.54,5,7,7,10.75,28,133,4.75,8,20.46,39.1,4.76,12.82,37.13,28,184,6.57,34,227,6.68,17,77,22.08,18,58,31.03,32,163.9,5.12,"No",2018,9,"8DAD085A-36CB-487A-9F90-A8CA2CA1B837","TH-PRGR0032",8.14,18.4,0.0256,0.00073,5.45,0.038,5.48,0.444,7.75,86.9,NA,NA,NA,"8DAD085A-36CB-487A-9F90-A8CA2CA1B837",78,82,0,124,258,89,402,0,66,227,50,1327,15,660
"9",256,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","ALDERBOURNE",34038,1,"TQ",4157,83566,"TQ0415783566","GB106039023080",30,1.7,6.68,1,4.2,24.33,5,59,18,18,199.2,NA,NA,NA,"1995-01-01","1990-03-20","2022-05-13",42,FALSE,1,2733,"ALDERBOURNE","TQ0415783566",785498,1,"",2018-10-09,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",781541,"2018-10-09","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",28,164,5.86,31,178.5,5.76,21,37,1.76,5,7,7,12.33,28,133,4.75,15.25,22.36,68.2,8.05,14.37,56.02,26,180,6.92,29,220,7.59,31,66,46.97,26,52,50,31,178.8,5.77,"No",2018,10,"64611936-C05E-4170-AC54-C80E00D83ACA","TH-PCNR0001",9.61,14.1,0.0089,0.000905,3.845,0.039,3.855,0.029,8.04,93.5,NA,5,NA,"64611936-C05E-4170-AC54-C80E00D83ACA",5,231,0,45,244,3,121,0,308,1062,43,2025,18,365
"10",263,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","COLNE",34046,1,"TQ",12029,98067,"TQ1202998067","GB106039029840",55,1,18.57,3,6.7,48.33,6,69,11,14,227,NA,NA,NA,"1995-01-01","1986-09-29","2022-05-18",47,FALSE,1,2830,"COLNE","TQ1202998067",785473,1,"",2018-10-09,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",781548,"2018-10-09","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",21,112,5.33,22,107,4.86,16,30,1.88,5,5,5,9.38,18,84,4.67,10,14.79,67.61,5.02,9.14,54.92,20,140,7,22,164,7.45,24,52,46.15,19,40,47.5,22,110.2,5.01,"No",2018,10,"47236A17-7553-4DF4-AA3A-4880745E0B56","TH-PCNR0026",8.04333333333333,18.4,0.0256,0.000836666666666667,19.7333333333333,0.039,19.7333333333333,0.379333333333333,7.79333333333333,85.8,NA,5.83,NA,"47236A17-7553-4DF4-AA3A-4880745E0B56",96,165,3,101,161,5,9,0,105,881,32,1526,12,170
