"","X.x","AGENCY_AREA","CATCHMENT","WATERBODY_TYPE_DESCRIPTION","WATER_BODY.x","SITE_ID","SITE_VERSION","NGR_PREFIX","EASTING","NORTHING","NGR_10_FIG.x","WFD_WATERBODY_ID","ALTITUDE","SLOPE","DIST_FROM_SOURCE","DISCHARGE","WIDTH","DEPTH","BOULDERS_COBBLES","PEBBLES_GRAVEL","SAND","SILT_CLAY","ALKALINITY","CONDUCTIVITY","TOTAL_HARDNESS","CALCIUM","BASE_DATA_DATE","MIN_SAMPLE_DATE","MAX_SAMPLE_DATE","COUNT_OF_SAMPLES","ECN_SITE_INV","SAMPLES_PER_SITE","X.y","WATER_BODY.y","NGR_10_FIG.y","SAMPLE_ID","SAMPLE_VERSION","REPLICATE_CODE","SAMPLE_DATE","SAMPLE_TYPE_DESCRIPTION","SAMPLE_METHOD_DESCRIPTION","SAMPLE_REASON","ANALYSIS_ID","DATE_OF_ANALYSIS","ANALYSIS_TYPE_DESCRIPTION","ANALYSIS_METHOD_DESCRIPTION","BMWP_N_TAXA","BMWP_TOTAL","BMWP_ASPT","WHPT_N_TAXA","WHPT_TOTAL","WHPT_ASPT","CCI_N_TAXA","CCI_CS_TOTAL","CCI_ASPT","CSmax_CoS","BMWP_CoS","CCI_CoS","CCI","DEHLI_N_TAXA","DIS_TOTAL","DEHLI","EPSI_ML_S_GRP","EPSI_ML_ALL_GRP","EPSI_MIXED_LEVEL_SCORE","EPSI_S_GRP","EPSI_ALL_GRP","EPSI_FAMILY_SCORE","LIFE_N_TAXA","LIFE_SCORES_TOTAL","LIFE_FAMILY_INDEX","LIFE_SPECIES_N_TAXA","LIFE_SPECIES_SCORES_TOTAL","LIFE_SPECIES_INDEX","PSI_ML_AB","PSI_ML_ABCD","PSI_MIXED_LEVEL_SCORE","PSI_AB","PSI_ABCD","PSI_FAMILY_SCORE","WHPT_NW_N_TAXA","WHPT_NW_TOTAL","WHPT_NW_ASPT","IS_THIRD_PARTY_DATA","SAMPLE_DATE_YEAR","SAMPLE_DATE_MONTH","identifier.x","sample.samplingPoint.notation","Orthophosphate, reactive as P_mg/l","Oxygen, Dissolved, % Saturation_%","Temperature of Water_cel","Nitrite as N_mg/l","Ammonia un-ionised as N_mg/l","Nitrogen, Total Oxidised as N_mg/l","Nitrate as N_mg/l","pH_phunits","Oxygen, Dissolved as O2_mg/l","Ammoniacal Nitrogen as N_mg/l","BOD : 5 Day ATU_mg/l","Phosphorus, Total as P_mg/l","Solids, Suspended at 105 C_mg/l","Chlorophyll : Acetone Extract_ug/l","identifier.y","annelid","crustacean","flatworm (Turbellaria)","insect - beetle (Coleoptera)","insect - caddis fly (Trichoptera)","insect - dragonfly (Odonata)","insect - mayfly (Ephemeroptera)","insect - stonefly (Plecoptera)","insect - true fly (Diptera)","mollusc","macro_richness","total_abundance","ept_richness","ept_abundance"
"1",188,"THAMES - WEST","CHERWELL AND RAY (OXON)","RIVER: Natural/semi-natural flowing fresh watercourse","ASHBY BROOK (CHERWELL AND RAY)",33222,1,"SP",53407,48805,"SP5340748805","GB106039037360",115,3.1,10.2,1,2.5,23.33,33,27,20,20,187,NA,NA,NA,"1995-01-01","1990-11-20","2019-10-10",19,FALSE,1,1730,"ASHBY BROOK (CHERWELL AND RAY)","SP5340748805",802733,1,"",2019-10-10,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",794639,"2019-10-30","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",19,101,5.32,20,104.7,5.24,12,21,1.75,5,5,5,8.75,17,81,4.76,7.5,10.57,70.96,3,7.63,39.32,17,117,6.88,18,134,7.44,13,32,40.63,16,35,45.71,20,105.8,5.29,"No",2019,10,"445F9027-CD79-493E-959F-A8DD2ED4307D","TH-PCHR0095",0.083,87.6,13.2,0.014,0.00061,3.8,3.79,7.9,9.17,0.033,NA,NA,NA,NA,"445F9027-CD79-493E-959F-A8DD2ED4307D",28,46,0,30,19,4,31,0,79,506,28,743,8,50
"2",190,"THAMES - SOUTH EAST","LODDON","RIVER: Natural/semi-natural flowing fresh watercourse","BARKHAM BROOK",33224,1,"SU",76340,68870,"SU7634068870","GB106039017400",41,2.4,4.927,1,3.1,40,8,27,28,37,172,NA,NA,NA,"1995-01-01","1990-04-05","2021-09-01",32,FALSE,1,1753,"BARKHAM BROOK","SU7634068870",802075,1,"",2019-09-26,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",797093,"2019-09-26","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",16,67,4.19,18,67.3,3.74,17,24,1.41,5,3,5,7.06,15,59,3.93,4,10.84,36.9,1.5,4.66,32.19,14,90,6.43,21,135,6.43,9,47,19.15,8,33,24.24,18,70.5,3.92,"No",2019,9,"E61E208D-2167-4180-81B0-582FF8ACAE79","TH-PLDR0001",NA,NA,NA,NA,NA,NA,NA,7.53,NA,NA,NA,NA,NA,NA,"E61E208D-2167-4180-81B0-582FF8ACAE79",160,250,0,63,7,0,0,0,217,324,33,1021,4,7
"3",199,"THAMES - NORTH EAST","STORT","RIVER: Natural/semi-natural flowing fresh watercourse","FIDDLERS BROOK",33303,2,"TL",44904,11950,"TL4490411950","GB106038033260",45,10,8.58,1,2,14,14,33,4,49,273.5,NA,NA,NA,"2012-10-04","1998-05-20","2019-11-22",10,FALSE,1,1811,"FIDDLERS BROOK","TL4490411950",805041,1,"",2019-11-22,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",798337,"2020-02-19","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",10,37,3.7,10,35.9,3.59,8,14,1.75,3,1,3,5.25,7,25,3.57,NA,3.3,0,NA,1.95,0,8,48,6,9,57,6.33,NA,16,0,1,15,6.67,10,34.6,3.46,"No",2019,11,"9E94C9F1-729E-409B-ABB4-965BF7297140","TH-PLER0308",0.47,27.4,16.9,0.025,0.0117,0.2,0.175,7.58,2.65,1,NA,NA,NA,NA,"9E94C9F1-729E-409B-ABB4-965BF7297140",88,7,8,1,3,0,0,0,70,3,20,180,2,3
"4",218,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","VER",33449,1,"TL",12748,8590,"TL1274808590","GB106039029920",82,1.3,15.2,1,3,29,2,77,9,13,243.5,NA,NA,NA,"1995-01-01","1997-01-13","2021-04-07",48,FALSE,1,1998,"VER","TL1274808590",805098,1,"",2019-11-25,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",797738,"2020-01-27","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",12,57,4.75,15,77.8,5.19,9,17,1.89,5,3,5,9.44,15,74,4.93,7,8.96,78.13,4,5.7,70.18,11,81,7.36,11,81,7.36,12,25,48,16,27,59.26,15,80.3,5.35,"No",2019,11,"274E5E06-0E2B-4FAE-9DB4-32C45668B7D6","TH-PCNR0093",0.033,81.95,15.15,0.0101,0.00042,2.43,2.42,7.7,8.22,0.0305,1,NA,6.65,2.85,"274E5E06-0E2B-4FAE-9DB4-32C45668B7D6",50,283,0,1,7,0,10,0,124,2,26,484,5,17
"5",227,"THAMES - NORTH EAST","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","HIGH LAVER BROOK",33514,1,"TL",53000,7050,"TL5300007050","GB106037033490",55,3.3,5.7,1,2.3,8,15,55,20,10,241,NA,NA,NA,"2012-10-04","1996-03-14","2020-11-13",12,FALSE,1,2213,"HIGH LAVER BROOK","TL5300007050",805037,1,"",2019-11-22,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",797593,"2020-01-27","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",10,51,5.1,12,61.2,5.1,6,9,1.5,3,3,3,4.5,11,52,4.73,3.5,5.96,58.72,1.01,3.41,29.62,8,55,6.88,8,59,7.38,8,22,36.36,9,21,42.86,12,63.6,5.3,"No",2019,11,"FBB34968-AFCD-4016-94DF-D9F2F36BA2CD","TH-PRGR0163",0.243333333333333,82.0666666666667,13.7666666666667,0.0396333333333333,0.000663333333333333,6.36666666666667,6.32333333333333,7.93,8.47666666666667,0.032,NA,NA,NA,NA,"FBB34968-AFCD-4016-94DF-D9F2F36BA2CD",108,97,0,5,6,0,0,0,77,228,18,522,4,6
"6",298,"THAMES - NORTH EAST","LEE","RIVER: Natural/semi-natural flowing fresh watercourse","SALMON BROOK",33825,1,"TQ",35300,93200,"TQ3530093200","GB106038027960",15,2,12.38,1,3,15.33,8,58,20,14,183,NA,NA,NA,"1995-01-01","1992-06-17","2019-11-21",22,FALSE,1,2762,"SALMON BROOK","TQ3530093200",804965,1,"",2019-11-21,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",798097,"2020-02-10","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",15,57,3.8,18,63.2,3.51,14,23,1.64,3,3,3,4.93,14,52,3.71,2.13,7.15,29.79,1.25,4.19,29.83,14,83,5.93,18,111,6.17,3,40,7.5,4,28,14.29,18,68.9,3.83,"No",2019,11,"B6CA56B7-95EB-4DD2-9522-CE04B7C3588F","TH-PLER0129",0.49,50.95,19.15,0.1845,0.02019,1.35,1.1655,7.635,4.735,1.04,NA,NA,NA,NA,"B6CA56B7-95EB-4DD2-9522-CE04B7C3588F",122,582,76,1,2,0,2,0,11,9,33,806,2,4
"7",356,"THAMES - NORTH EAST","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","CRIPSEY BROOK",34001,1,"TL",53350,6850,"TL5335006850","GB106037033470",55,2,8.58,1,3,14,6,73,10,11,231,NA,NA,NA,"1995-01-01","1990-05-16","2020-10-06",37,FALSE,1,3306,"CRIPSEY BROOK","TL5335006850",804687,1,"",2019-11-14,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",797739,"2020-01-28","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",25,125,5,30,143.5,4.78,21,50,2.38,15,5,15,35.71,25,116,4.64,11.89,20.22,58.8,7.05,12.89,54.69,24,166,6.92,27,191,7.07,29,65,44.62,24,59,40.68,30,146.6,4.89,"No",2019,11,"7534859B-1B9C-45DB-B5AA-38701EDC7ACB","TH-PRGR0012",1.14866666666667,91.3333333333333,14,0.0303333333333333,0.00107333333333333,6.55333333333333,6.52333333333333,8.10666666666667,9.38666666666667,0.0446666666666667,NA,NA,8.53333333333333,3.23333333333333,"7534859B-1B9C-45DB-B5AA-38701EDC7ACB",57,397,1,64,365,2,62,0,184,224,51,1356,14,427
"8",368,"THAMES - NORTH EAST","BEANE","RIVER: Natural/semi-natural flowing fresh watercourse","BEANE",34017,1,"TL",29771,19790,"TL2977119790","GB106038033310",58,2,18.41,2,4.2,13.67,10,72,10,8,203,NA,NA,NA,"1995-01-01","1990-04-09","2020-10-06",82,FALSE,1,3528,"BEANE","TL2977119790",806349,1,"",2019-10-15,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",797585,"2019-10-15","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",20,90,4.5,25,117.7,4.71,14,16,1.14,1,3,3,3.43,18,88,4.89,11.76,17.15,68.57,7.31,11.42,64.01,20,144,7.2,21,156,7.43,25,51,49.02,24,46,52.17,25,118.4,4.74,"No",2019,10,"9A0DCC33-D666-4C01-A7AB-02B7B6476AC2","TH-PLER0012",0.086,74,15.1,0.028,0.0019,1.7,1.67,7.88,7.43,0.094,NA,NA,6.3,59,"9A0DCC33-D666-4C01-A7AB-02B7B6476AC2",65,1686,1,30,156,0,11,0,15,1795,31,3759,8,167
"9",372,"THAMES - NORTH EAST","THAMES SOURCE TO TEDDINGTON (NE SECTION)","RIVER: Natural/semi-natural flowing fresh watercourse","ASH (THAMES)",34021,1,"TQ",9300,67770,"TQ0930067770","GB106039023480",9,0.5,9.59,1,4.3,20.33,2,72,21,5,220,NA,NA,NA,"1995-01-01","1989-01-23","2019-11-08",54,FALSE,1,3605,"ASH (THAMES)","TQ0930067770",804396,1,"",2019-11-08,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",798003,"2020-02-12","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",26,133,5.12,27,140.7,5.21,27,51,1.89,5,5,5,9.44,20,84,4.2,16.37,23.22,70.5,7.26,11.4,63.68,24,166,6.92,33,245,7.42,34,71,47.89,23,49,46.94,27,136.5,5.06,"No",2019,11,"AA26F4BD-5A23-4D9E-B387-57ABDD3E8B3F","TH-PTHR0005",0.119333333333333,77.4333333333333,20.2333333333333,0.0502666666666667,0.00159,7.76,7.71,7.91,7.02333333333333,0.053,NA,NA,NA,NA,"AA26F4BD-5A23-4D9E-B387-57ABDD3E8B3F",66,505,2,275,43,0,248,0,56,126,41,1321,14,291
"10",382,"THAMES - NORTH EAST","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","BROOKHOUSE BROOK",34032,1,"TQ",47800,98000,"TQ4780098000","GB106037028150",27,1.7,7.4,1,2.8,10,3,83,5,8,206,NA,NA,NA,"1995-01-01","1989-07-05","2019-11-25",30,FALSE,1,3678,"BROOKHOUSE BROOK","TQ4780098000",805072,1,"",2019-11-25,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",798041,"2019-11-25","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",17,67,3.94,18,72.2,4.01,12,16,1.33,3,3,3,4,15,57,3.8,5.5,9.29,59.2,3.26,6.17,52.84,15,99,6.6,15,102,6.8,10,33,30.3,11,33,33.33,18,76.1,4.23,"No",2019,11,"EE8405B8-00FC-4FEA-A64E-D149B59A3D8C","TH-PRGR0005",3.55,86.15,18.1,0.0765,0.002125,17.5,17.45,7.93,8.115,0.077,2.05,NA,NA,NA,"EE8405B8-00FC-4FEA-A64E-D149B59A3D8C",194,110,0,0,3,0,58,0,116,48,25,529,5,61
