"","X.x","AGENCY_AREA","REPORTING_AREA","CATCHMENT","WATERBODY_TYPE_DESCRIPTION","WATER_BODY.x","SITE_ID","SITE_VERSION","NGR_PREFIX","EASTING","NORTHING","NGR_10_FIG.x","WFD_WATERBODY_ID","ALTITUDE","SLOPE","DIST_FROM_SOURCE","DISCHARGE","WIDTH","DEPTH","BOULDERS_COBBLES","PEBBLES_GRAVEL","SAND","SILT_CLAY","ALKALINITY","CONDUCTIVITY","TOTAL_HARDNESS","CALCIUM","BASE_DATA_DATE","MIN_SAMPLE_DATE","MAX_SAMPLE_DATE","COUNT_OF_SAMPLES","ECN_SITE_INV","SAMPLES_PER_SITE","X.y","WATER_BODY.y","NGR_10_FIG.y","SAMPLE_ID","SAMPLE_VERSION","REPLICATE_CODE","SAMPLE_DATE","SAMPLE_TYPE_DESCRIPTION","SAMPLE_METHOD_DESCRIPTION","SAMPLE_REASON","ANALYSIS_ID","DATE_OF_ANALYSIS","ANALYSIS_TYPE_DESCRIPTION","ANALYSIS_METHOD_DESCRIPTION","BMWP_N_TAXA","BMWP_TOTAL","BMWP_ASPT","WHPT_N_TAXA","WHPT_TOTAL","WHPT_ASPT","CCI_N_TAXA","CCI_CS_TOTAL","CCI_ASPT","CSmax_CoS","BMWP_CoS","CCI_CoS","CCI","DEHLI_N_TAXA","DIS_TOTAL","DEHLI","EPSI_ML_S_GRP","EPSI_ML_ALL_GRP","EPSI_MIXED_LEVEL_SCORE","EPSI_S_GRP","EPSI_ALL_GRP","EPSI_FAMILY_SCORE","LIFE_N_TAXA","LIFE_SCORES_TOTAL","LIFE_FAMILY_INDEX","LIFE_SPECIES_N_TAXA","LIFE_SPECIES_SCORES_TOTAL","LIFE_SPECIES_INDEX","PSI_ML_AB","PSI_ML_ABCD","PSI_MIXED_LEVEL_SCORE","PSI_AB","PSI_ABCD","PSI_FAMILY_SCORE","WHPT_NW_N_TAXA","WHPT_NW_TOTAL","WHPT_NW_ASPT","IS_THIRD_PARTY_DATA","SAMPLE_DATE_YEAR","SAMPLE_DATE_MONTH","identifier.x","sample.samplingPoint.notation","Orthophosphate, reactive as P_mg/l","Nitrogen, Total Oxidised as N_mg/l","Ammoniacal Nitrogen as N_mg/l","Oxygen, Dissolved as O2_mg/l","pH_phunits","Nitrate as N_mg/l","Oxygen, Dissolved, % Saturation_%","Ammonia un-ionised as N_mg/l","Temperature of Water_cel","Nitrite as N_mg/l","BOD : 5 Day ATU_mg/l","Phosphorus, Total as P_mg/l","Solids, Suspended at 105 C_mg/l","identifier.y","annelid","crustacean","flatworm (Turbellaria)","insect - beetle (Coleoptera)","insect - caddis fly (Trichoptera)","insect - dragonfly (Odonata)","insect - mayfly (Ephemeroptera)","insect - stonefly (Plecoptera)","insect - true fly (Diptera)","mollusc","macro_richness","total_abundance","ept_richness","ept_abundance"
"1",85,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","VER",33449,1,"TL",12748,8590,"TL1274808590","GB106039029920",82,1.3,15.2,1,3,29,2,77,9,13,243.5,NA,NA,NA,"1995-01-01","1997-01-13","2022-09-12",51,FALSE,1,853,"VER","TL1274808590",849842,1,"",2021-10-06,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",878384,"2022-02-07","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",16,80,5,20,107.1,5.36,18,43,2.39,7,3,7,16.72,16,79,4.94,15.88,17.6,90.23,8.81,9.78,90.08,14,114,8.14,20,165,8.25,47,57,82.46,29,41,70.73,20,108.2,5.41,"Yes",2021,10,"274E5E06-0E2B-4FAE-9DB4-32C45668B7D6","TH-PCNR0093",0.0393333333333333,5,0.03,8.26333333333333,7.85,4.98666666666667,83.2333333333333,0.00059,15.6333333333333,0.0145666666666667,1,NA,5.66666666666667,"274E5E06-0E2B-4FAE-9DB4-32C45668B7D6",151,1089,0,8,1613,0,31,0,78,17,41,2991,17,1644
"2",109,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","INGREBOURNE","RIVER: Natural/semi-natural flowing fresh watercourse","ROM/BEAM",33567,1,"TQ",50250,83200,"TQ5025083200","GB106037028100",5,0.5,19.87,1,7,100,5,5,0,90,172,NA,NA,NA,"1995-01-01","1995-05-10","2021-10-14",15,FALSE,1,1167,"ROM/BEAM","TQ5025083200",853092,1,"",2021-10-14,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",894524,"2021-10-14","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",22,91,4.14,25,93.6,3.74,18,38,2.11,5,3,5,10.56,20,77,3.85,1.5,9.71,15.45,2.75,10.57,26.02,23,136,5.91,26,151,5.81,4,56,7.14,8,51,15.69,25,94.1,3.76,"No",2021,10,"638658A9-38F5-4B38-88A7-3B1C5AB315DF","TH-PRGR0001",0.405,3,0.49,4.94,7.625,2.815,52.35,0.006435,18.5,0.185,NA,NA,NA,"638658A9-38F5-4B38-88A7-3B1C5AB315DF",48,251,7,6,3,29,120,0,18,165,45,675,3,123
"3",126,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","RIB","RIVER: Natural/semi-natural flowing fresh watercourse","RIB",33648,1,"TL",33800,16350,"TL3380016350","GB106038033360",46,1,31.07,2,8,20,17,65,5,13,276,NA,NA,NA,"2012-10-04","1993-11-23","2022-04-11",35,FALSE,1,1266,"RIB","TL3380016350",843100,1,"",2021-09-02,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",893136,"2021-09-02","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",20,116,5.8,20,117.2,5.86,9,12,1.33,1,5,5,6.67,17,81,4.76,6.37,9.8,65,5.25,8.64,60.76,18,127,7.06,17,128,7.53,13,37,35.14,15,31,48.39,20,116.9,5.85,"No",2021,9,"311D3BF5-7E69-42F2-82BC-D414705860AB","TH-PLER0121",0.41,7,0.03,7.36,8.12,6.98,75.7,0.00089,16.6,0.023,1,NA,NA,"311D3BF5-7E69-42F2-82BC-D414705860AB",30,8,0,61,40,0,80,20,40,32,31,312,11,140
"4",236,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","BEANE","RIVER: Natural/semi-natural flowing fresh watercourse","BEANE",34017,1,"TL",29771,19790,"TL2977119790","GB106038033310",58,2,18.41,2,4.2,13.67,10,72,10,8,203,NA,NA,NA,"1995-01-01","1990-04-09","2022-04-13",85,FALSE,1,2479,"BEANE","TL2977119790",869445,1,"",2021-10-26,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",889817,"2022-08-18","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",20,105,5.25,23,131.6,5.72,16,24,1.5,5,5,5,7.5,17,94,5.53,13.64,17.68,77.15,9.58,12.24,78.27,19,144,7.58,21,162,7.71,29,48,60.42,29,44,65.91,23,129.7,5.64,"Yes",2021,10,"9A0DCC33-D666-4C01-A7AB-02B7B6476AC2","TH-PLER0012",0.045,4,0.03,9.49,7.63,3.97,91.9,0.00031,13.8,0.03,NA,NA,4.3,"9A0DCC33-D666-4C01-A7AB-02B7B6476AC2",121,1405,1,18,157,0,132,0,38,109,31,1981,13,289
"5",238,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","BEANE","RIVER: Natural/semi-natural flowing fresh watercourse","BEANE",34019,1,"TL",28947,20514,"TL2894720514","GB106038040110",60,2.6,16.95,1,2.7,13.8,2,41,12,45,184,NA,NA,NA,"2010-01-01","1989-04-14","2022-04-11",35,FALSE,1,2513,"BEANE","TL2894720514",869443,1,"",2021-10-25,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",889815,"2022-08-18","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",15,57,3.8,22,87,3.95,11,23,2.09,10,3,10,20.91,19,75,3.95,4.5,10.64,42.29,1.25,5.87,21.29,15,92,6.13,13,83,6.38,7,36,19.44,10,44,22.73,22,96.6,4.39,"No",2021,10,"629ADC92-A6EA-4202-AF94-F7487FD2BCA8","TH-PLER0299",0.047,5.45,0.035,8.875,7.48,5.41,84.85,0.000245,13.2,0.042,NA,NA,NA,"629ADC92-A6EA-4202-AF94-F7487FD2BCA8",48,510,0,5,7,0,6,0,421,106,27,1104,2,13
"6",252,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","RODING",34034,1,"TQ",50300,97400,"TQ5030097400","GB106037028180",28,1,43.03,2,4.3,30,3,67,15,15,226,NA,NA,NA,"1995-01-01","1990-03-12","2022-04-20",49,FALSE,1,2675,"RODING","TQ5030097400",857492,1,"",2021-10-14,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",894518,"2021-10-14","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",26,129,4.96,30,136.6,4.55,18,20,1.11,1,5,5,5.56,26,112,4.31,9.63,18.44,52.22,5.5,12.33,44.61,26,165,6.35,30,197,6.57,15,66,22.73,15,56,26.79,30,141.9,4.73,"No",2021,10,"8DAD085A-36CB-487A-9F90-A8CA2CA1B837","TH-PRGR0032",0.4,4.45,0.049,7.54,7.605,4.42,78.15,0.00057,17,0.029,2.2,NA,NA,"8DAD085A-36CB-487A-9F90-A8CA2CA1B837",92,91,3,70,370,9,5,0,58,328,44,1029,11,375
"7",256,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","ALDERBOURNE",34038,1,"TQ",4157,83566,"TQ0415783566","GB106039023080",30,1.7,6.68,1,4.2,24.33,5,59,18,18,199.2,NA,NA,NA,"1995-01-01","1990-03-20","2022-05-13",42,FALSE,1,2741,"ALDERBOURNE","TQ0415783566",850216,1,"",2021-10-11,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",893153,"2021-10-11","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",22,122,5.55,25,145.1,5.8,13,17,1.31,3,5,5,6.54,23,107,4.65,9.63,14.29,67.39,6.02,11.59,51.94,20,139,6.95,19,141,7.42,22,47,46.81,17,41,41.46,25,143.1,5.72,"No",2021,10,"64611936-C05E-4170-AC54-C80E00D83ACA","TH-PCNR0001",0.054,3.3,0.03,9.19,8.07,3.29,90,0.00075,14.3,0.01,1.6,NA,7.7,"64611936-C05E-4170-AC54-C80E00D83ACA",60,496,0,76,64,3,61,0,29,196,41,988,13,125
"8",261,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","VER",34044,1,"TL",14222,1418,"TL1422201418","GB106039029920",60,1.7,27.03,2,6.2,39,3,64,17,16,258,NA,NA,NA,"1995-01-01","1990-04-02","2022-09-17",68,FALSE,1,2805,"VER","TL1422201418",850220,1,"",2021-10-11,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",878383,"2022-02-07","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",13,76,5.85,16,95.1,5.94,11,24,2.18,5,3,5,10.91,15,81,5.4,12.38,14.47,85.56,5.77,7.71,74.84,12,100,8.33,17,145,8.53,32,42,76.19,21,29,72.41,16,92.7,5.79,"No",2021,10,"78C22281-DD60-4EE9-B5C5-3481DAF21D79","TH-PCNR0088",0.043,4,0.03,9.56666666666667,8.01666666666667,3.98333333333333,96.0333333333333,0.000796666666666667,15.4333333333333,0.0176666666666667,NA,NA,NA,"78C22281-DD60-4EE9-B5C5-3481DAF21D79",2,2763,0,270,58,0,101,0,68,19,27,3281,14,159
"9",263,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","COLNE",34046,1,"TQ",12029,98067,"TQ1202998067","GB106039029840",55,1,18.57,3,6.7,48.33,6,69,11,14,227,NA,NA,NA,"1995-01-01","1986-09-29","2022-05-18",47,FALSE,1,2838,"COLNE","TQ1202998067",850256,1,"",2021-10-11,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",893138,"2021-10-11","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",18,104,5.78,20,109,5.45,11,14,1.27,1,5,5,6.36,14,68,4.86,7.5,10.2,73.53,3.26,6.16,52.92,18,127,7.06,18,134,7.44,16,36,44.44,17,32,53.13,20,108,5.4,"No",2021,10,"47236A17-7553-4DF4-AA3A-4880745E0B56","TH-PCNR0026",0.275,10.5,0.032,8.09,7.825,10.485,82.85,0.00063,16.45,0.022,NA,NA,15.5,"47236A17-7553-4DF4-AA3A-4880745E0B56",40,152,0,100,19,0,5,0,72,71,30,460,13,24
"10",309,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","MIMRAM","RIVER: Natural/semi-natural flowing fresh watercourse","MIMRAM",34171,1,"TL",20754,18006,"TL2075418006","GB106038033270",74,3.1,7.31,1,4.5,14,19,66,8,7,254,NA,NA,NA,"1995-01-01","1975-01-09","2022-04-14",92,FALSE,1,3550,"MIMRAM","TL2075418006",869392,1,"",2021-10-27,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","Local Investigative monitoring",889797,"2022-08-18","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",21,126,6,24,142.2,5.93,16,26,1.63,5,5,5,8.13,20,113,5.65,18.65,22.09,84.43,10.33,13.95,74.05,20,156,7.8,25,204,8.16,41,56,73.21,32,46,69.57,24,140.4,5.85,"Yes",2021,10,"CBA0A40E-F999-4046-BCBD-33C83E7552DE","TH-PLER0089",0.143333333333333,7.56666666666667,0.03,10.2933333333333,8,7.54333333333333,102.466666666667,0.000673333333333333,15.0666666666667,0.0236666666666667,NA,NA,NA,"CBA0A40E-F999-4046-BCBD-33C83E7552DE",317,1130,0,95,416,0,383,0,37,252,34,2630,18,799
