"","Site","RCP","Variable","Differences","Estimate","LandUse"
"1","Crick","rcp26","flow",-0.749428243727597,"median","no_land"
"2","Crick","rcp45","flow",-1.03665878136201,"median","no_land"
"3","Ox","rcp26","flow",-2.81197537634408,"median","no_land"
"4","Ox","rcp45","flow",-3.93073584229389,"median","no_land"
"5","Lon","rcp26","flow",-13.0715901433691,"median","no_land"
"6","Lon","rcp45","flow",-18.372929390681,"median","no_land"
"7","Caver","rcp45","flow",-8.53473369175623,"median","no_land"
"8","Caver","rcp26","flow",-6.09062765232973,"median","no_land"
"9","Egham","rcp26","flow",-10.7194275985663,"median","no_land"
"10","Egham","rcp45","flow",-15.0819670250896,"median","no_land"
"11","Crick","rcp26","temp",1.64847541218637,"median","no_land"
"12","Crick","rcp45","temp",3.2565474551971,"median","no_land"
"13","Ox","rcp26","temp",1.64847541218637,"median","no_land"
"14","Ox","rcp45","temp",3.2565474551971,"median","no_land"
"15","Lon","rcp26","temp",1.64847541218637,"median","no_land"
"16","Lon","rcp45","temp",3.2565474551971,"median","no_land"
"17","Caver","rcp26","temp",1.64847541218637,"median","no_land"
"18","Caver","rcp45","temp",3.2565474551971,"median","no_land"
"19","Egham","rcp26","temp",1.64847541218637,"median","no_land"
"20","Egham","rcp45","temp",3.2565474551971,"median","no_land"
"21","Crick","rcp26","P",0.0802715086021507,"median","no_land"
"22","Crick","rcp45","P",0.114287429749104,"median","no_land"
"23","Ox","rcp26","P",0.030836511827957,"median","no_land"
"24","Ox","rcp45","P",0.044316177060932,"median","no_land"
"25","Lon","rcp26","P",0.076654612903226,"median","no_land"
"26","Lon","rcp45","P",0.112873534050179,"median","no_land"
"27","Caver","rcp26","P",0.046167964336918,"median","no_land"
"28","Caver","rcp45","P",0.0667276860215057,"median","no_land"
"29","Egham","rcp26","P",0.062124950179211,"median","no_land"
"30","Egham","rcp45","P",0.092312946594982,"median","no_land"
"31","Crick","rcp26","DO",-0.424458584229373,"median","no_land"
"32","Crick","rcp45","DO",-0.79818860215052,"median","no_land"
"33","Ox","rcp26","DO",-0.375056738351253,"median","no_land"
"34","Ox","rcp45","DO",-0.738198387096777,"median","no_land"
"35","Lon","rcp26","DO",-0.435431469534057,"median","no_land"
"36","Lon","rcp45","DO",-0.832012186379934,"median","no_land"
"37","Caver","rcp26","DO",-0.448805501792103,"median","no_land"
"38","Caver","rcp45","DO",-0.865218566308236,"median","no_land"
"39","Egham","rcp26","DO",-0.29270401433692,"median","no_land"
"40","Egham","rcp45","DO",-0.599805627240147,"median","no_land"
"41","Crick","rcp26","Ni",-0.0836162186379899,"median","no_land"
"42","Crick","rcp45","Ni",-0.223136774193547,"median","no_land"
"43","Ox","rcp26","Ni",-0.254770896057347,"median","no_land"
"44","Ox","rcp45","Ni",-0.48838978494624,"median","no_land"
"45","Lon","rcp26","Ni",-0.0984749820788533,"median","no_land"
"46","Lon","rcp45","Ni",-0.24495440860215,"median","no_land"
"47","Caver","rcp26","Ni",-0.236614910394267,"median","no_land"
"48","Caver","rcp45","Ni",-0.46444136200717,"median","no_land"
"49","Egham","rcp26","Ni",-0.175079516129033,"median","no_land"
"50","Egham","rcp45","Ni",-0.364108315412183,"median","no_land"
"51","Crick","rcp26","Am",-0.00436297132616486,"median","no_land"
"52","Crick","rcp45","Am",-0.0070486268817204,"median","no_land"
"53","Ox","rcp26","Am",-0.0027275519713262,"median","no_land"
"54","Ox","rcp45","Am",-0.00474352795698927,"median","no_land"
"55","Lon","rcp26","Am",0.0059198507168456,"median","no_land"
"56","Lon","rcp45","Am",0.00582559283154116,"median","no_land"
