"","AGENCY_AREA","CATCHMENT","WATERBODY_TYPE_DESCRIPTION","WATER_BODY","SITE_ID","SITE_VERSION","NGR_PREFIX","EASTING","NORTHING","NGR_10_FIG","FULL_EASTING","FULL_NORTHING","WFD_WATERBODY_ID","ALTITUDE","SLOPE","DIST_FROM_SOURCE","DISCHARGE","WIDTH","DEPTH","BOULDERS_COBBLES","PEBBLES_GRAVEL","SAND","SILT_CLAY","ALKALINITY","CONDUCTIVITY","TOTAL_HARDNESS","CALCIUM","BASE_DATA_DATE","MIN_SAMPLE_DATE","MAX_SAMPLE_DATE","COUNT_OF_SAMPLES","ECN_SITE_INV"
"1","SOUTH WEST - NORTH WESSEX","CAM BK/WELLOW BK","RIVER: Natural/semi-natural flowing fresh watercourse","MIDFORD BROOK",7637,1,"ST",76300,61100,"ST7630061100",376300,161100,"GB109053022271",35,2.8,20.6,4,7.8,92.75,0,38,25,37,248.1,633.3,,,1995-01-01,1995-05-01,2004-11-03,6,FALSE
"2","SOUTH WEST - NORTH WESSEX","CAM BK/WELLOW BK","RIVER: Natural/semi-natural flowing fresh watercourse","CAM BROOK",7638,1,"ST",76101,60559,"ST7610160559",376101,160559,"GB109053022290",35,2.6,20.1,3,5,27.44,3,72,18,7,252.6,683.3,,,1995-01-01,1995-05-01,2013-09-03,15,FALSE
"3","SOUTH WEST - NORTH WESSEX","CAM BK/WELLOW BK","RIVER: Natural/semi-natural flowing fresh watercourse","WELLOW BROOK",7639,1,"ST",75131,58265,"ST7513158265",375131,158265,"GB109053022271",35,2.8,9.4,4,5.1,30.87,53,32,12,3,235.2,503.3,,,1995-01-01,1995-05-01,2013-09-10,12,FALSE
"4","SOUTH WEST - NORTH WESSEX","CAM BK/WELLOW BK","RIVER: Natural/semi-natural flowing fresh watercourse","LYDE BROOK",7640,1,"ST",76100,57100,"ST7610057100",376100,157100,"",60,10,4.7,1,2.3,19.22,52,28,13,7,254.5,646.7,,,1995-01-01,1995-05-01,2000-11-15,4,FALSE
"5","SOUTH WEST - NORTH WESSEX","CAM BK/WELLOW BK","RIVER: Natural/semi-natural flowing fresh watercourse","WELLOW BROOK",7641,1,"ST",74100,58100,"ST7410058100",374100,158100,"",50,1.3,8.4,4,5,22.78,33,47,16,4,231.2,506.7,,,1995-01-01,1995-05-01,2000-10-24,4,FALSE
"6","SOUTH WEST - NORTH WESSEX","CAM BK/WELLOW BK","RIVER: Natural/semi-natural flowing fresh watercourse","CAM BROOK",7642,1,"ST",71101,59350,"ST7110159350",371101,159350,"GB109053022290",45,4,14.1,3,5.1,27.09,17,50,22,12,257.1,600,,,1995-01-01,1995-05-01,2013-10-10,9,FALSE
"7","SOUTH WEST - NORTH WESSEX","LITTLE AVON","RIVER: Natural/semi-natural flowing fresh watercourse","LITTLE AVON",7646,1,"ST",68162,98793,"ST6816298793",368162,198793,"GB109054026620",5,2.2,25.7,3,5.8,27.52,40,50,7,3,229.5,647,,,1995-01-01,1995-03-08,2014-10-08,14,FALSE
"8","SOUTH WEST - NORTH WESSEX","CHEW","RIVER: Natural/semi-natural flowing fresh watercourse","CHEW",7655,1,"ST",65699,68057,"ST6569968057",365699,168057,"GB109053021950",15,2,26.2,3,13.5,26,50,30,11,9,237.4,544,,,2017-02-22,1995-04-28,2015-09-29,14,FALSE
"9","SOUTH WEST - NORTH WESSEX","CHEW","RIVER: Natural/semi-natural flowing fresh watercourse","CHEW",7656,1,"ST",62323,64092,"ST6232364092",362323,164092,"GB109053021950",30,1.1,18.2,4,7.4,14.67,6,67,17,11,228.9,514,,,1995-01-01,1995-04-28,2017-10-12,32,FALSE
"10","SOUTH WEST - NORTH WESSEX","SOMERSET FROME/MELLS","RIVER: Natural/semi-natural flowing fresh watercourse","SOMERSET FROME",7661,1,"ST",78750,51490,"ST7875051490",378750,151490,"",50,3.2,20.8,5,12.4,117.63,0,0,0,100,200,506,,,1995-01-01,1995-05-31,2000-11-15,4,FALSE
"11","SOUTH WEST - NORTH WESSEX","LITTLE AVON","RIVER: Natural/semi-natural flowing fresh watercourse","LITTLE AVON",7686,1,"ST",72893,92451,"ST7289392451",372893,192451,"GB109054026580",30,3.4,11.6,1,3.9,16.1,18,67,7,8,267.5,807.3,,,1995-01-01,1995-03-08,2014-10-17,12,FALSE
"12","SOUTH WEST - NORTH WESSEX","BY BROOK","RIVER: Natural/semi-natural flowing fresh watercourse","BROADMEAD BROOK",7688,1,"ST",82270,76930,"ST8227076930",382270,176930,"GB109053027490",90,7.4,10,2,5.1,17.67,25,60,15,0,196.7,632.3,,,1995-01-01,1995-03-20,2016-11-10,14,FALSE
"13","SOUTH WEST - NORTH WESSEX","BY BROOK","RIVER: Natural/semi-natural flowing fresh watercourse","BY BROOK",7689,1,"ST",84100,77100,"ST8410077100",384100,177100,"GB109053027480",100,4.2,12.6,2,6.3,12.75,17,70,12,2,230.6,616,,,1995-01-01,1995-03-20,2015-10-06,20,FALSE
"14","SOUTH WEST - NORTH WESSEX","BY BROOK","RIVER: Natural/semi-natural flowing fresh watercourse","BY BROOK",7690,1,"ST",85050,75550,"ST8505075550",385050,175550,"",70,4.6,12.9,3,4.1,26.55,28,60,10,2,209.2,610.3,,,1995-01-01,1995-03-20,2000-09-25,4,FALSE
"15","SOUTH WEST - NORTH WESSEX","BY BROOK","RIVER: Natural/semi-natural flowing fresh watercourse","DONCOMBE BROOK",7691,1,"ST",83880,74704,"ST8388074704",383880,174704,"GB109053027400",60,7.4,6.8,1,2.9,12.67,8,82,8,2,202.9,516.7,,,1995-01-01,1995-03-20,2013-10-11,10,FALSE
"16","SOUTH WEST - NORTH WESSEX","BY BROOK","RIVER: Natural/semi-natural flowing fresh watercourse","BY BROOK",7692,1,"ST",83200,69800,"ST8320069800",383200,169800,"",40,2.8,21.3,1,7.4,46.54,5,70,22,3,211.8,593.3,,,1995-01-01,1995-03-20,2000-05-08,3,FALSE
"17","SOUTH WEST - NORTH WESSEX","BY BROOK","RIVER: Natural/semi-natural flowing fresh watercourse","BY BROOK",7693,1,"ST",81400,68800,"ST8140068800",381400,168800,"",30,1.7,24,4,7.9,25.78,20,65,13,2,204.5,596.7,,,1995-01-01,1995-03-20,2000-05-10,6,FALSE
"18","SOUTH WEST - NORTH WESSEX","BY BROOK","RIVER: Natural/semi-natural flowing fresh watercourse","BY BROOK",7694,1,"ST",78630,67000,"ST7863067000",378630,167000,"GB109053027380",30,1.7,27.9,3,6,34,38,52,10,0,205.8,585,,,1995-01-01,1995-03-20,2013-10-22,11,FALSE
