"","AGENCY_AREA","REPORTING_AREA","CATCHMENT","WATERBODY_TYPE_DESCRIPTION","WATER_BODY","SITE_ID","SITE_VERSION","NGR_PREFIX","EASTING","NORTHING","NGR_10_FIG","FULL_EASTING","FULL_NORTHING","WFD_WATERBODY_ID","ALTITUDE","SLOPE","DIST_FROM_SOURCE","DISCHARGE","WIDTH","DEPTH","BOULDERS_COBBLES","PEBBLES_GRAVEL","SAND","SILT_CLAY","ALKALINITY","CONDUCTIVITY","TOTAL_HARDNESS","CALCIUM","BASE_DATA_DATE","MIN_SAMPLE_DATE","MAX_SAMPLE_DATE","COUNT_OF_SAMPLES","ECN_SITE_INV"
"1","SOUTH WEST - NORTH WESSEX","WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","RODBOURNE BROOK",7760,1,"ST",94099,83184,"ST9409983184",394099,183184,"GB109053027720",60,3,11.2,1,2.8,29.33,8,65,20,7,250.1,631,,,1995-01-01,1995-03-30,2022-04-27,14,FALSE
"2","SOUTH WEST - NORTH WESSEX","WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","BRISTOL AVON",7764,1,"ST",95800,78750,"ST9580078750",395800,178750,"",60,0.9,33.5,5,12.8,147.67,17,42,8,33,238.2,667,,,1995-01-01,1995-04-04,2000-03-21,3,FALSE
"3","SOUTH WEST - NORTH WESSEX","WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","SHERSTON AVON",7771,1,"ST",92900,87250,"ST9290087250",392900,187250,"GB109053027690",80,1.6,18.9,3,8.5,126.57,10,40,10,40,232.2,603.7,,,1995-01-01,1995-03-27,2008-10-16,11,FALSE
"4","SOUTH WEST - NORTH WESSEX","WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","BRISTOL AVON",7772,1,"ST",94150,86900,"ST9415086900",394150,186900,"",70,1.5,20.3,4,9.7,152.23,12,30,20,38,229.4,626,,,1995-01-01,1995-03-27,2000-03-07,3,FALSE
"5","SOUTH WEST - NORTH WESSEX","WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","CHARLTON STREAM",7773,1,"ST",95694,87708,"ST9569487708",395694,187708,"GB109053027770",70,1.4,8.2,1,3.3,14,10,73,13,3,234.2,603.3,,,1995-01-01,1995-03-27,2014-10-21,9,FALSE
"6","SOUTH WEST - NORTH WESSEX","WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","CHARLTON STREAM",7774,1,"ST",94800,86560,"ST9480086560",394800,186560,"GB109053027770",70,1.4,9.9,2,5.3,18.21,25,65,8,2,219.6,548,,,1995-01-01,1995-03-27,2008-10-16,7,FALSE
"7","SOUTH WEST - NORTH WESSEX","WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","SUTTON BENGER STREAM",7776,1,"ST",94647,79010,"ST9464779010",394647,179010,"GB109053027700",60,2.2,9,1,2.5,25.67,7,60,23,10,228.1,785,,,1995-01-01,1995-04-04,2016-11-10,11,FALSE
"8","SOUTH WEST - NORTH WESSEX","WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","BRISTOL AVON",7777,1,"ST",97897,82198,"ST9789782198",397897,182198,"GB109053027650",60,0.9,27.8,5,12.8,116.67,3,65,23,8,243.1,640.3,,,1995-01-01,1995-03-30,2016-10-20,11,FALSE
"9","SOUTH WEST - NORTH WESSEX","WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","BRISTOL AVON",7778,1,"ST",95987,78133,"ST9598778133",395987,178133,"GB109053027650",60,0.9,34,5,12.8,147.67,20,48,8,23,240.6,658.3,,,1995-01-01,1995-04-04,2016-11-10,13,FALSE
"10","SOUTH WEST - NORTH WESSEX","WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","GAUZE BROOK",7789,1,"ST",93800,84050,"ST9380084050",393800,184050,"GB109053027730",70,1.8,12.05,1,4.8,14.75,10,63,23,3,254.5,873,,,1995-01-01,1995-03-30,2004-09-30,6,FALSE
"11","SOUTH WEST - NORTH WESSEX","WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","BRISTOL AVON",7814,1,"ST",96490,83200,"ST9649083200",396490,183200,"GB109053027650",60,0.9,25.7,5,10.8,122,8,35,20,37,238,627,,,1995-01-01,1995-04-04,2008-10-16,15,FALSE
"12","SOUTH WEST - NORTH WESSEX","WESSEX","MARDEN","RIVER: Natural/semi-natural flowing fresh watercourse","RIVERS BROOK",7816,1,"SU",700,70250,"SU0070070250",400700,170250,"GB109053022050",80,6.2,3.8,1,1.9,23.33,2,42,20,37,232.1,812.3,,,1995-01-01,1995-04-05,2004-09-30,10,FALSE
"13","SOUTH WEST - NORTH WESSEX","WESSEX","BRINKWORTH BK","RIVER: Natural/semi-natural flowing fresh watercourse","BRINKWORTH BROOK",7818,1,"SU",7250,81050,"SU0725081050",407250,181050,"GB109053027740",90,30.7,50.5,1,1.7,6.78,8,67,17,8,272.2,702.7,,,1995-01-01,1995-04-28,2006-11-09,8,FALSE
"14","SOUTH WEST - NORTH WESSEX","WESSEX","BRINKWORTH BK","RIVER: Natural/semi-natural flowing fresh watercourse","HANCOCKS WATER",7819,1,"SU",7600,81500,"SU0760081500",407600,181500,"",90,3.2,1.2,1,0.8,14.5,8,25,8,60,211.7,855,,,1995-01-01,1995-04-28,2000-11-23,4,FALSE
"15","SOUTH WEST - NORTH WESSEX","WESSEX","BRINKWORTH BK","RIVER: Natural/semi-natural flowing fresh watercourse","HANCOCKS WATER",7820,1,"SU",7150,81200,"SU0715081200",407150,181200,"GB109053027740",90,3.2,1.6,1,1.9,16.1,0,33,28,38,250.4,1705,,,1995-01-01,1995-04-28,2008-10-08,10,FALSE
